Oklahoma, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.26,0.07
189601,1.19,1.00
189701,-2.52,-2.71
189801,.38,0.19
189901,-.19,-0.38
190001,-.17,-0.36
190101,-1.17,-1.36
190201,-4.13,-4.32
190301,1.77,1.58
190401,-1.59,-1.78
190501,-1.84,-2.03
190601,1.67,1.48
190701,3.77,3.58
190801,1.75,1.56
190901,-.54,-0.73
191001,-1.26,-1.45
191101,-5.09,-5.28
191201,-3.82,-4.01
191301,-2.52,-2.71
191401,-.24,-0.43
191501,-2.05,-2.24
191601,5.43,5.24
191701,-2.31,-2.50
191801,-3.59,-3.78
191901,1.76,1.57
192001,2.31,2.12
192101,2.66,2.47
192201,-2.42,-2.61
192301,-1.74,-1.93
192401,3.49,3.30
192501,-2.16,-2.35
192601,-.06,-0.25
192701,3.64,3.45
192801,1.94,1.75
192901,2.82,2.63
193001,.54,0.35
193101,.17,-0.02
193201,2.55,2.36
193301,-.15,-0.34
193401,-1.96,-2.15
193501,-.51,-0.70
193601,-.37,-0.56
193701,-2.12,-2.31
193801,-2.03,-2.22
193901,-1.89,-2.08
194001,-3.9,-4.09
194101,1.41,1.22
194201,3.86,3.67
194301,2.8,2.61
194401,.36,0.17
194501,.46,0.27
194601,.68,0.49
194701,1.31,1.12
194801,-.23,-0.42
194901,1.63,1.44
195001,-.76,-0.95
195101,-1.39,-1.58
195201,-.97,-1.16
195301,-3.44,-3.63
195401,-2.14,-2.33
195501,-4.67,-4.86
195601,-4.07,-4.26
195701,-5.8,-5.99
195801,2.95,2.76
195901,-1.82,-2.01
196001,3.82,3.63
196101,2.22,2.03
196201,3.88,3.69
196301,-.5,-0.69
196401,-4.41,-4.60
196501,-.15,-0.34
196601,-1.7,-1.89
196701,-3.63,-3.82
196801,1.13,0.94
196901,2.6,2.41
197001,-.92,-1.11
197101,-.57,-0.76
197201,-.18,-0.37
197301,2.62,2.43
197401,4.34,4.15
197501,4.4,4.21
197601,-1.15,-1.34
197701,-1.81,-2.00
197801,-2.42,-2.61
197901,.17,-0.02
198001,-.67,-0.86
198101,-3.61,-3.80
198201,2,1.81
198301,1.16,0.97
198401,.8,0.61
198501,2.81,2.62
198601,2.64,2.45
198701,4.12,3.93
198801,3.63,3.44
198901,.09,-0.10
199001,1.26,1.07
199101,-.78,-0.97
199201,3.06,2.87
199301,5.39,5.20
199401,2.74,2.55
199501,2.52,2.33
199601,-1.31,-1.50
199701,2.8,2.61
199801,4.54,4.35
199901,2.13,1.94
200001,-1.41,-1.60
200101,2.63,2.44
200201,-1.81,-2.00
200301,-.34,-0.53
200401,.04,-0.15
200501,3.67,3.48
200601,-3.17,-3.36
200701,1.09,0.90
200801,1.88,1.69
200901,-1.11,-1.30
201001,2.57,2.38
201101,-2,-2.19
201201,-2.49,-2.68
201301,-4.49,-4.68
201401,-.48,-0.67
201501,-.34,-0.53
201601,4.82,4.63
