New Hampshire, Palmer Drought Severity Index (PDSI), October
Base Period: 1901-2000
Date,Value,Anomaly
189510,.01,0.14
189610,1.19,1.32
189710,1.26,1.39
189810,1.94,2.07
189910,-2.51,-2.38
190010,-1.92,-1.79
190110,-.66,-0.53
190210,3.67,3.80
190310,-.58,-0.45
190410,-.13,0.00
190510,-.59,-0.46
190610,-1.16,-1.03
190710,2.35,2.48
190810,-2.78,-2.65
190910,-2.29,-2.16
191010,-2.79,-2.66
191110,.7,0.83
191210,-.78,-0.65
191310,-1.55,-1.42
191410,-2.68,-2.55
191510,-.87,-0.74
191610,-.58,-0.45
191710,.96,1.09
191810,1.43,1.56
191910,.07,0.20
192010,1.58,1.71
192110,-2.6,-2.47
192210,-.82,-0.69
192310,-2.24,-2.11
192410,-.94,-0.81
192510,1.26,1.39
192610,.6,0.73
192710,1.68,1.81
192810,-.38,-0.25
192910,-2.14,-2.01
193010,-2.06,-1.93
193110,-.6,-0.47
193210,1.42,1.55
193310,1.26,1.39
193410,.58,0.71
193510,-.76,-0.63
193610,-.65,-0.52
193710,1.3,1.43
193810,3.23,3.36
193910,-1.26,-1.13
194010,-1.03,-0.90
194110,-3.08,-2.95
194210,-2.11,-1.98
194310,1.98,2.11
194410,.73,0.86
194510,1.61,1.74
194610,-.14,-0.01
194710,-2.89,-2.76
194810,-3.34,-3.21
194910,-3.41,-3.28
195010,-3.19,-3.06
195110,1.76,1.89
195210,-1.62,-1.49
195310,-1.96,-1.83
195410,4.05,4.18
195510,1.36,1.49
195610,-.6,-0.47
195710,-3.36,-3.23
195810,-.27,-0.14
195910,1.36,1.49
196010,2.28,2.41
196110,-1.99,-1.86
196210,2.5,2.63
196310,-3.37,-3.24
196410,-3.75,-3.62
196510,-3.64,-3.51
196610,-1.82,-1.69
196710,-1.29,-1.16
196810,-2.38,-2.25
196910,.9,1.03
197010,-1.12,-0.99
197110,-1.54,-1.41
197210,1.05,1.18
197310,1.75,1.88
197410,.35,0.48
197510,2.31,2.44
197610,3.11,3.24
197710,2.23,2.36
197810,-1.97,-1.84
197910,.73,0.86
198010,-1.96,-1.83
198110,3.24,3.37
198210,-1.41,-1.28
198310,-1.96,-1.83
198410,-1.71,-1.58
198510,.6,0.73
198610,1.28,1.41
198710,1.38,1.51
198810,.8,0.93
198910,2.38,2.51
199010,3.52,3.65
199110,2.81,2.94
199210,.41,0.54
199310,.18,0.31
199410,-.88,-0.75
199510,1.73,1.86
199610,3.89,4.02
199710,1.01,1.14
199810,-.53,-0.40
199910,2.14,2.27
200010,-.3,-0.17
200110,-2.93,-2.80
200210,-2.26,-2.13
200310,2.57,2.70
200410,1.46,1.59
200510,5.32,5.45
200610,6.07,6.20
200710,2.35,2.48
200810,5.39,5.52
200910,4.8,4.93
201010,2.04,2.17
201110,4.99,5.12
201210,1.77,1.90
201310,1.51,1.64
201410,1.84,1.97
201510,1.55,1.68
