Louisiana, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,-.76,-0.57
189604,-.38,-0.19
189704,-2.19,-2.00
189804,-1.94,-1.75
189904,-1.05,-0.86
190004,1.92,2.11
190104,-1.01,-0.82
190204,-2.69,-2.50
190304,-.82,-0.63
190404,-3.7,-3.51
190504,2.33,2.52
190604,-.74,-0.55
190704,.39,0.58
190804,-1.65,-1.46
190904,-1.95,-1.76
191004,-3.06,-2.87
191104,-2.43,-2.24
191204,2.63,2.82
191304,1.55,1.74
191404,-.45,-0.26
191504,-1.04,-0.85
191604,-2.87,-2.68
191704,-1.57,-1.38
191804,-4.22,-4.03
191904,1.44,1.63
192004,1.63,1.82
192104,-.62,-0.43
192204,1.44,1.63
192304,1.4,1.59
192404,-.33,-0.14
192504,-5.42,-5.23
192604,2.57,2.76
192704,.81,1.00
192804,.78,0.97
192904,-.43,-0.24
193004,-1.62,-1.43
193104,-1.25,-1.06
193204,-.82,-0.63
193304,1.59,1.78
193404,-1.22,-1.03
193504,.46,0.65
193604,-1.92,-1.73
193704,-2.06,-1.87
193804,.68,0.87
193904,-1.82,-1.63
194004,1.19,1.38
194104,1.94,2.13
194204,1.54,1.73
194304,-1.55,-1.36
194404,1.24,1.43
194504,.93,1.12
194604,2.05,2.24
194704,3.3,3.49
194804,-.36,-0.17
194904,2.17,2.36
195004,.81,1.00
195104,-.99,-0.80
195204,-1.68,-1.49
195304,1.11,1.30
195404,-2.94,-2.75
195504,.35,0.54
195604,-1.06,-0.87
195704,1.27,1.46
195804,1.89,2.08
195904,.33,0.52
196004,-.94,-0.75
196104,1.51,1.70
196204,-1.18,-0.99
196304,-4.17,-3.98
196404,-1.64,-1.45
196504,-1.93,-1.74
196604,-.18,0.01
196704,-2.15,-1.96
196804,.44,0.63
196904,1.05,1.24
197004,-2.6,-2.41
197104,-2.22,-2.03
197204,-.96,-0.77
197304,3.23,3.42
197404,3.11,3.30
197504,2.2,2.39
197604,-1.97,-1.78
197704,.6,0.79
197804,-1.48,-1.29
197904,2.86,3.05
198004,3.7,3.89
198104,-3.78,-3.59
198204,-2.13,-1.94
198304,3.74,3.93
198404,1.51,1.70
198504,-1.14,-0.95
198604,-2.77,-2.58
198704,-.93,-0.74
198804,-.06,0.13
198904,-1.03,-0.84
199004,-.29,-0.10
199104,3.12,3.31
199204,2.86,3.05
199304,3.23,3.42
199404,-.88,-0.69
199504,1.93,2.12
199604,-1.62,-1.43
199704,2.33,2.52
199804,-.15,0.04
199904,-1.47,-1.28
200004,-3.93,-3.74
200104,-.83,-0.64
200204,-.82,-0.63
200304,-.88,-0.69
200404,-.84,-0.65
200504,-.87,-0.68
200604,-3.25,-3.06
200704,-1.75,-1.56
200804,-1.28,-1.09
200904,-.94,-0.75
201004,-1.45,-1.26
201104,-4.3,-4.11
201204,-1.95,-1.76
201304,-.23,-0.04
201404,.21,0.40
201504,.92,1.11
