Louisiana, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,.78,1.05
189606,-1.59,-1.32
189706,-2.77,-2.50
189806,.64,0.91
189906,-2.36,-2.09
190006,2.68,2.95
190106,-2.35,-2.08
190206,-3.51,-3.24
190306,-1.45,-1.18
190406,-3.57,-3.30
190506,2.44,2.71
190606,-1.91,-1.64
190706,-.64,-0.37
190806,.43,0.70
190906,-.79,-0.52
191006,.84,1.11
191106,-2.99,-2.72
191206,2.53,2.80
191306,1.03,1.30
191406,-1.84,-1.57
191506,-1.57,-1.30
191606,-1.68,-1.41
191706,-2.96,-2.69
191806,-4.74,-4.47
191906,2.94,3.21
192006,1.33,1.60
192106,-.97,-0.70
192206,1.78,2.05
192306,2.43,2.70
192406,-.84,-0.57
192506,-5.85,-5.58
192606,1.86,2.13
192706,.86,1.13
192806,1.71,1.98
192906,-.24,0.03
193006,-2.07,-1.80
193106,-2.01,-1.74
193206,-1.1,-0.83
193306,-.83,-0.56
193406,-1.11,-0.84
193506,1.1,1.37
193606,-2.75,-2.48
193706,-2.26,-1.99
193806,-.71,-0.44
193906,-1.21,-0.94
194006,1.63,1.90
194106,2.87,3.14
194206,2.2,2.47
194306,-2.39,-2.12
194406,-.68,-0.41
194506,.82,1.09
194606,3.94,4.21
194706,-.06,0.21
194806,-1.62,-1.35
194906,-.96,-0.69
195006,1.63,1.90
195106,-1.99,-1.72
195206,-2.07,-1.80
195306,-.35,-0.08
195406,-2.44,-2.17
195506,.28,0.55
195606,-1.23,-0.96
195706,1.9,2.17
195806,1.87,2.14
195906,.74,1.01
196006,-1.85,-1.58
196106,2.05,2.32
196206,-1.23,-0.96
196306,-4.57,-4.30
196406,-2.47,-2.20
196506,-2.87,-2.60
196606,-.59,-0.32
196706,.28,0.55
196806,.63,0.90
196906,-.76,-0.49
197006,-2.21,-1.94
197106,-1.98,-1.71
197206,-1.14,-0.87
197306,2.55,2.82
197406,2.56,2.83
197506,3.91,4.18
197606,.51,0.78
197706,-1.52,-1.25
197806,.29,0.56
197906,2.11,2.38
198006,-.52,-0.25
198106,-2.35,-2.08
198206,-2.17,-1.90
198306,4.71,4.98
198406,1.58,1.85
198506,-2.17,-1.90
198606,-1.65,-1.38
198706,.69,0.96
198806,-1.4,-1.13
198906,3.38,3.65
199006,-.34,-0.07
199106,4.31,4.58
199206,2.79,3.06
199306,3.33,3.60
199406,.62,0.89
199506,-.43,-0.16
199606,.29,0.56
199706,2.58,2.85
199806,-2.58,-2.31
199906,-.92,-0.65
200006,-3.39,-3.12
200106,1.92,2.19
200206,-1.36,-1.09
200306,.86,1.13
200406,3.18,3.45
200506,-1.62,-1.35
200606,-4.04,-3.77
200706,.14,0.41
200806,-1.15,-0.88
200906,-1.77,-1.50
201006,-2.56,-2.29
201106,-5.35,-5.08
201206,-2.83,-2.56
201306,-.02,0.25
201406,1.33,1.60
201506,1.69,1.96
