New Jersey, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.38,0.43
189601,-2.54,-2.49
189701,-1.51,-1.46
189801,2.26,2.31
189901,2.02,2.07
190001,.09,0.14
190101,-1.99,-1.94
190201,2.33,2.38
190301,4.06,4.11
190401,-.34,-0.29
190501,1.29,1.34
190601,-.46,-0.41
190701,-.1,-0.05
190801,2.7,2.75
190901,-.07,-0.02
191001,-1.24,-1.19
191101,-1.6,-1.55
191201,2.07,2.12
191301,.43,0.48
191401,-.14,-0.09
191501,1.73,1.78
191601,-1.03,-0.98
191701,-1.59,-1.54
191801,-.39,-0.34
191901,.09,0.14
192001,1.32,1.37
192101,-.3,-0.25
192201,-2.3,-2.25
192301,.66,0.71
192401,.55,0.60
192501,-.81,-0.76
192601,.14,0.19
192701,-.41,-0.36
192801,2.15,2.20
192901,-1.36,-1.31
193001,-1.1,-1.05
193101,-3.11,-3.06
193201,-2.95,-2.90
193301,1.02,1.07
193401,-.9,-0.85
193501,.32,0.37
193601,2.36,2.41
193701,1.87,1.92
193801,-.48,-0.43
193901,2.8,2.85
194001,-2.53,-2.48
194101,-.13,-0.08
194201,-2.07,-2.02
194301,-.18,-0.13
194401,.44,0.49
194501,-.24,-0.19
194601,-.58,-0.53
194701,-1.34,-1.29
194801,.98,1.03
194901,2.53,2.58
195001,-3.81,-3.76
195101,.4,0.45
195201,2.11,2.16
195301,2.74,2.79
195401,-1.73,-1.68
195501,-2.09,-2.04
195601,-1.48,-1.43
195701,-.53,-0.48
195801,1.31,1.36
195901,-1.11,-1.06
196001,.76,0.81
196101,.94,0.99
196201,-1.25,-1.20
196301,-.99,-0.94
196401,-2.1,-2.05
196501,-3.61,-3.56
196601,-5.61,-5.56
196701,.46,0.51
196801,-.28,-0.23
196901,-2.05,-2.00
197001,-.9,-0.85
197101,-.42,-0.37
197201,1.54,1.59
197301,4.05,4.10
197401,-.12,-0.07
197501,1.2,1.25
197601,3.38,3.43
197701,-1.29,-1.24
197801,3.67,3.72
197901,3.04,3.09
198001,-.9,-0.85
198101,-3.56,-3.51
198201,.66,0.71
198301,-.01,0.04
198401,1.46,1.51
198501,-2.54,-2.49
198601,-.29,-0.24
198701,1.95,2.00
198801,-.69,-0.64
198901,-2.02,-1.97
199001,-.63,-0.58
199101,1.35,1.40
199201,-2.31,-2.26
199301,1.03,1.08
199401,1.42,1.47
199501,-1.29,-1.24
199601,1.82,1.87
199701,3.95,4.00
199801,1.05,1.10
199901,-2.77,-2.72
200001,-.64,-0.59
200101,-.67,-0.62
200201,-4.17,-4.12
200301,1.32,1.37
200401,2.96,3.01
200501,2.33,2.38
200601,2.79,2.84
200701,2.28,2.33
200801,.04,0.09
200901,-.15,-0.10
201001,3.13,3.18
201101,0,0.05
201201,-.27,-0.22
201301,-.15,-0.10
201401,.29,0.34
201501,.89,0.94
201601,-1.3,-1.25
