North Dakota, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,1.25,0.73
189603,2.62,2.10
189703,6.41,5.89
189803,-1.52,-2.04
189903,.21,-0.31
190003,-.36,-0.88
190103,-.29,-0.81
190203,3.17,2.65
190303,1.93,1.41
190403,3.14,2.62
190503,1.8,1.28
190603,2.27,1.75
190703,3.79,3.27
190803,1.77,1.25
190903,.83,0.31
191003,-.44,-0.96
191103,-2.47,-2.99
191203,-.92,-1.44
191303,-.09,-0.61
191403,.12,-0.40
191503,-1.17,-1.69
191603,4.15,3.63
191703,4.75,4.23
191803,-2.54,-3.06
191903,.71,0.19
192003,1.65,1.13
192103,.15,-0.37
192203,1.46,0.94
192303,2.08,1.56
192403,.71,0.19
192503,-.36,-0.88
192603,-.86,-1.38
192703,.78,0.26
192803,3.17,2.65
192903,3.69,3.17
193003,-.47,-0.99
193103,-1,-1.52
193203,-1.79,-2.31
193303,.81,0.29
193403,-2.78,-3.30
193503,-5.09,-5.61
193603,-.68,-1.20
193703,-4.8,-5.32
193803,-2.45,-2.97
193903,-2.67,-3.19
194003,-3.39,-3.91
194103,-2.03,-2.55
194203,3.26,2.74
194303,3.96,3.44
194403,1.81,1.29
194503,3.52,3.00
194603,.45,-0.07
194703,.99,0.47
194803,2.09,1.57
194903,.03,-0.49
195003,2.15,1.63
195103,2.77,2.25
195203,-.11,-0.63
195303,-.04,-0.56
195403,1.27,0.75
195503,-1.02,-1.54
195603,-.04,-0.56
195703,-.97,-1.49
195803,-.46,-0.98
195903,-2.12,-2.64
196003,-1.34,-1.86
196103,-2.41,-2.93
196203,-.53,-1.05
196303,1.15,0.63
196403,-2.23,-2.75
196503,-1.05,-1.57
196603,3.46,2.94
196703,2.03,1.51
196803,-1.64,-2.16
196903,2.34,1.82
197003,-.79,-1.31
197103,1.39,0.87
197203,2.98,2.46
197303,-.65,-1.17
197403,1.1,0.58
197503,.71,0.19
197603,2.96,2.44
197703,-2.74,-3.26
197803,2.24,1.72
197903,2.43,1.91
198003,-1.47,-1.99
198103,-1.22,-1.74
198203,.79,0.27
198303,4.21,3.69
198403,1.59,1.07
198503,-.72,-1.24
198603,.59,0.07
198703,4.35,3.83
198803,-1.73,-2.25
198903,-3.5,-4.02
199003,-3.67,-4.19
199103,-4.06,-4.58
199203,-1.63,-2.15
199303,-1.6,-2.12
199403,4.96,4.44
199503,6.14,5.62
199603,5.28,4.76
199703,4.55,4.03
199803,-.19,-0.71
199903,3.05,2.53
200003,2.95,2.43
200103,2.93,2.41
200203,-2.08,-2.60
200303,-1.53,-2.05
200403,.74,0.22
200503,-.6,-1.12
200603,2.35,1.83
200703,.65,0.13
200803,-1.95,-2.47
200903,4.87,4.35
201003,4.85,4.33
201103,7.22,6.70
201203,-1.17,-1.69
201303,.77,0.25
201403,4.48,3.96
201503,2.99,2.47
