Arizona, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,1.88,1.67
189605,-2.37,-2.58
189705,-.03,-0.24
189805,-1.31,-1.52
189905,-2.77,-2.98
190005,-3.85,-4.06
190105,-2.21,-2.42
190205,-4.57,-4.78
190305,-2.33,-2.54
190405,-5.11,-5.32
190505,6.54,6.33
190605,6.04,5.83
190705,5.28,5.07
190805,2.28,2.07
190905,2.36,2.15
191005,-1.9,-2.11
191105,.68,0.47
191205,1.57,1.36
191305,-.46,-0.67
191405,-.74,-0.95
191505,5.03,4.82
191605,4.68,4.47
191705,3.82,3.61
191805,-.41,-0.62
191905,1.51,1.30
192005,5.42,5.21
192105,-2.82,-3.03
192205,1.88,1.67
192305,-1.19,-1.40
192405,1.04,0.83
192505,-2.51,-2.72
192605,1.85,1.64
192705,1.41,1.20
192805,-1.17,-1.38
192905,-2.21,-2.42
193005,.48,0.27
193105,1.36,1.15
193205,3.7,3.49
193305,.76,0.55
193405,-3.74,-3.95
193505,2.12,1.91
193605,-1.24,-1.45
193705,2.15,1.94
193805,.76,0.55
193905,-.75,-0.96
194005,-2.04,-2.25
194105,7.07,6.86
194205,-.28,-0.49
194305,-2.17,-2.38
194405,1.78,1.57
194505,.86,0.65
194605,-2.26,-2.47
194705,-2.88,-3.09
194805,-1.95,-2.16
194905,1.45,1.24
195005,-2.56,-2.77
195105,-3,-3.21
195205,3.75,3.54
195305,-1.01,-1.22
195405,-1.93,-2.14
195505,-2.47,-2.68
195605,-3.69,-3.90
195705,.36,0.15
195805,2.01,1.80
195905,-3.27,-3.48
196005,-.38,-0.59
196105,-2.85,-3.06
196205,-.33,-0.54
196305,-2.23,-2.44
196405,-2.01,-2.22
196505,2.2,1.99
196605,3.11,2.90
196705,-2.25,-2.46
196805,1.43,1.22
196905,.41,0.20
197005,-.59,-0.80
197105,-2.92,-3.13
197205,-3.74,-3.95
197305,5.94,5.73
197405,-3.24,-3.45
197505,-.72,-0.93
197605,-1,-1.21
197705,-2.1,-2.31
197805,3.78,3.57
197905,6.77,6.56
198005,4.92,4.71
198105,-2.23,-2.44
198205,1.12,0.91
198305,4.62,4.41
198405,-2.45,-2.66
198505,3.89,3.68
198605,-1.25,-1.46
198705,.23,0.02
198805,.77,0.56
198905,-3.39,-3.60
199005,-3.69,-3.90
199105,1.73,1.52
199205,4.22,4.01
199305,6.98,6.77
199405,-1.12,-1.33
199505,3.01,2.80
199605,-4.96,-5.17
199705,-3.55,-3.76
199805,2.93,2.72
199905,-2.89,-3.10
200005,-4.35,-4.56
200105,1.56,1.35
200205,-5.05,-5.26
200305,-3.22,-3.43
200405,-3.67,-3.88
200505,5.09,4.88
200605,-4.28,-4.49
200705,-4.47,-4.68
200805,-1.63,-1.84
200905,-2.44,-2.65
201005,2.03,1.82
201105,-2.54,-2.75
201205,-4.24,-4.45
201305,-3.69,-3.90
201405,-4.48,-4.69
201505,-2.17,-2.38
