North Dakota, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,2.56,1.78
189609,4.84,4.06
189709,-1.21,-1.99
189809,-1.87,-2.65
189909,-.6,-1.38
190009,3.02,2.24
190109,2.32,1.54
190209,3.36,2.58
190309,3.52,2.74
190409,4.16,3.38
190509,3.76,2.98
190609,3.35,2.57
190709,3.39,2.61
190809,1.42,0.64
190909,-.55,-1.33
191009,-3.05,-3.83
191109,1.3,0.52
191209,3.84,3.06
191309,-.12,-0.90
191409,-.41,-1.19
191509,3.21,2.43
191609,5.94,5.16
191709,-2.36,-3.14
191809,-1.83,-2.61
191909,-2.63,-3.41
192009,-.02,-0.80
192109,1.26,0.48
192209,-.45,-1.23
192309,2.99,2.21
192409,2.3,1.52
192509,.69,-0.09
192609,.8,0.02
192709,4.88,4.10
192809,5.38,4.60
192909,.25,-0.53
193009,-2.49,-3.27
193109,-2.41,-3.19
193209,-2.57,-3.35
193309,-3.44,-4.22
193409,-7,-7.78
193509,-1.69,-2.47
193609,-6.61,-7.39
193709,-3.75,-4.53
193809,-3.33,-4.11
193909,-3.71,-4.49
194009,-2.7,-3.48
194109,3.66,2.88
194209,5.63,4.85
194309,4.65,3.87
194409,4.03,3.25
194509,3.15,2.37
194609,.74,-0.04
194709,2.22,1.44
194809,1.17,0.39
194909,-2.35,-3.13
195009,4.23,3.45
195109,2.4,1.62
195209,-3.27,-4.05
195309,2.75,1.97
195409,3.52,2.74
195509,-1.56,-2.34
195609,-.6,-1.38
195709,1.52,0.74
195809,-2.71,-3.49
195909,-2.79,-3.57
196009,-1.83,-2.61
196109,1.54,0.76
196209,3.78,3.00
196309,-.6,-1.38
196409,1.9,1.12
196509,4.86,4.08
196609,3.78,3.00
196709,-1.95,-2.73
196809,2.07,1.29
196909,-1.05,-1.83
197009,1.94,1.16
197109,1.31,0.53
197209,3.1,2.32
197309,1.59,0.81
197409,-1.16,-1.94
197509,4.18,3.40
197609,-3.21,-3.99
197709,1.99,1.21
197809,2.88,2.10
197909,-.8,-1.58
198009,1.72,0.94
198109,-1.54,-2.32
198209,.89,0.11
198309,2.93,2.15
198409,-2.18,-2.96
198509,1.02,0.24
198609,4.48,3.70
198709,-.55,-1.33
198809,-6.57,-7.35
198909,-4.16,-4.94
199009,-3.86,-4.64
199109,-2.29,-3.07
199209,-1.89,-2.67
199309,5.95,5.17
199409,4.11,3.33
199509,5.97,5.19
199609,4.41,3.63
199709,2.86,2.08
199809,-.9,-1.68
199909,6.52,5.74
200009,3.01,2.23
200109,-.85,-1.63
200209,-1.91,-2.69
200309,-1.38,-2.16
200409,1.74,0.96
200509,2.48,1.70
200609,-2.4,-3.18
200709,-.42,-1.20
200809,.65,-0.13
200909,4.02,3.24
201009,7.82,7.04
201109,8.7,7.92
201209,-3.84,-4.62
201309,4.15,3.37
201409,6.66,5.88
201509,1.61,0.83
