North Carolina, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,-.39,-0.49
189606,.26,0.16
189706,-.15,-0.25
189806,.01,-0.09
189906,-.34,-0.44
190006,.53,0.43
190106,3.1,3.00
190206,-1.25,-1.35
190306,.8,0.70
190406,.05,-0.05
190506,.78,0.68
190606,.94,0.84
190706,2.4,2.30
190806,1.79,1.69
190906,3.51,3.41
191006,2.15,2.05
191106,-2.94,-3.04
191206,2.26,2.16
191306,.67,0.57
191406,-2.17,-2.27
191506,.64,0.54
191606,1.18,1.08
191706,1.56,1.46
191806,.7,0.60
191906,.71,0.61
192006,.9,0.80
192106,-.8,-0.90
192206,2.68,2.58
192306,-.96,-1.06
192406,1.43,1.33
192506,-1.98,-2.08
192606,-3.05,-3.15
192706,.4,0.30
192806,2.09,1.99
192906,4.04,3.94
193006,-2,-2.10
193106,-2.47,-2.57
193206,-1.95,-2.05
193306,-1.67,-1.77
193406,.66,0.56
193506,-1.19,-1.29
193606,-1.33,-1.43
193706,-.92,-1.02
193806,1.67,1.57
193906,.6,0.50
194006,-1.88,-1.98
194106,-2.67,-2.77
194206,-3.13,-3.23
194306,.03,-0.07
194406,-1.82,-1.92
194506,-2,-2.10
194606,1.7,1.60
194706,.07,-0.03
194806,-.3,-0.40
194906,1.22,1.12
195006,.8,0.70
195106,-1.49,-1.59
195206,-1.66,-1.76
195306,-.77,-0.87
195406,-1.96,-2.06
195506,.03,-0.07
195606,-.6,-0.70
195706,.7,0.60
195806,2.76,2.66
195906,-.96,-1.06
196006,1.85,1.75
196106,2.64,2.54
196206,1.43,1.33
196306,-.44,-0.54
196406,-1.25,-1.35
196506,1.79,1.69
196606,-.12,-0.22
196706,.25,0.15
196806,-1,-1.10
196906,.96,0.86
197006,-1.33,-1.43
197106,.99,0.89
197206,2.29,2.19
197306,3.8,3.70
197406,1.55,1.45
197506,2.15,2.05
197606,1.48,1.38
197706,-.81,-0.91
197806,-.01,-0.11
197906,2.7,2.60
198006,-.1,-0.20
198106,-3.11,-3.21
198206,1.64,1.54
198306,.08,-0.02
198406,2.64,2.54
198506,-3.22,-3.32
198606,-4.45,-4.55
198706,-1.02,-1.12
198806,-2.34,-2.44
198906,2.98,2.88
199006,-1.14,-1.24
199106,-.76,-0.86
199206,1.24,1.14
199306,-1.2,-1.30
199406,.26,0.16
199506,2.3,2.20
199606,.89,0.79
199706,-.41,-0.51
199806,-.38,-0.48
199906,-2.3,-2.40
200006,-1.3,-1.40
200106,-1.57,-1.67
200206,-4.39,-4.49
200306,4.06,3.96
200406,.39,0.29
200506,.42,0.32
200606,1.46,1.36
200706,-2.27,-2.37
200806,-4.34,-4.44
200906,.64,0.54
201006,-1.62,-1.72
201106,-2.79,-2.89
201206,-.46,-0.56
201306,2.42,2.32
201406,-.37,-0.47
201506,-.65,-0.75
