South Dakota, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.69,-0.25
189601,1.27,0.33
189701,4.15,3.21
189801,-.72,-1.66
189901,-1.43,-2.37
190001,-1.13,-2.07
190101,-1.12,-2.06
190201,1.22,0.28
190301,1.67,0.73
190401,2.36,1.42
190501,-.49,-1.43
190601,4.7,3.76
190701,6.83,5.89
190801,3.76,2.82
190901,5.13,4.19
191001,5.86,4.92
191101,-2.58,-3.52
191201,1.62,0.68
191301,-1.37,-2.31
191401,-1.76,-2.70
191501,.31,-0.63
191601,7.18,6.24
191701,5.7,4.76
191801,2.01,1.07
191901,1.37,0.43
192001,2.13,1.19
192101,3.97,3.03
192201,1.74,0.80
192301,1.87,0.93
192401,2.63,1.69
192501,2.39,1.45
192601,-.8,-1.74
192701,-.25,-1.19
192801,-.16,-1.10
192901,1.55,0.61
193001,2.17,1.23
193101,-.42,-1.36
193201,-1.92,-2.86
193301,-1.5,-2.44
193401,-3.71,-4.65
193501,-5.84,-6.78
193601,-2.34,-3.28
193701,-4.74,-5.68
193801,-3.05,-3.99
193901,-2.28,-3.22
194001,-4.2,-5.14
194101,-3.31,-4.25
194201,-.88,-1.82
194301,-.03,-0.97
194401,.72,-0.22
194501,3.4,2.46
194601,1.81,0.87
194701,4.42,3.48
194801,2.52,1.58
194901,1.8,0.86
195001,.26,-0.68
195101,-.86,-1.80
195201,3.81,2.87
195301,.14,-0.80
195401,-.77,-1.71
195501,-1.42,-2.36
195601,-3.02,-3.96
195701,-2.2,-3.14
195801,2.92,1.98
195901,-1.77,-2.71
196001,.9,-0.04
196101,-.76,-1.70
196201,-.61,-1.55
196301,3.16,2.22
196401,-1.2,-2.14
196501,-1.46,-2.40
196601,1.96,1.02
196701,-.13,-1.07
196801,-.78,-1.72
196901,2.42,1.48
197001,-.44,-1.38
197101,1.14,0.20
197201,2.79,1.85
197301,3.59,2.65
197401,-.32,-1.26
197501,.45,-0.49
197601,-.78,-1.72
197701,-3.94,-4.88
197801,2.9,1.96
197901,2.59,1.65
198001,-.81,-1.75
198101,-3.06,-4.00
198201,.39,-0.55
198301,4.69,3.75
198401,3.94,3.00
198501,3.9,2.96
198601,1.9,0.96
198701,4.35,3.41
198801,-1.31,-2.25
198901,-3.51,-4.45
199001,-2.68,-3.62
199101,-2.7,-3.64
199201,-.22,-1.16
199301,1.77,0.83
199401,6.49,5.55
199501,3.62,2.68
199601,6.18,5.24
199701,7.52,6.58
199801,4.89,3.95
199901,5.96,5.02
200001,4.05,3.11
200101,2.18,1.24
200201,-.87,-1.81
200301,-2.51,-3.45
200401,-2.35,-3.29
200501,-.63,-1.57
200601,-.13,-1.07
200701,.4,-0.54
200801,-.48,-1.42
200901,4.29,3.35
201001,6.66,5.72
201101,7.17,6.23
201201,-.76,-1.70
201301,-3.8,-4.74
201401,4.49,3.55
201501,4.23,3.29
201601,3.56,2.62
