New Hampshire, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-1.46,-1.38
189609,.79,0.87
189709,2.27,2.35
189809,1.28,1.36
189909,-1.98,-1.90
190009,-1.75,-1.67
190109,-.53,-0.45
190209,3.17,3.25
190309,-.6,-0.52
190409,1.05,1.13
190509,2.53,2.61
190609,-1.13,-1.05
190709,1.64,1.72
190809,-2.11,-2.03
190909,-1.69,-1.61
191009,-2.18,-2.10
191109,.41,0.49
191209,-.61,-0.53
191309,-2.22,-2.14
191409,-1.65,-1.57
191509,-.53,-0.45
191609,1.91,1.99
191709,-.77,-0.69
191809,1.49,1.57
191909,.02,0.10
192009,2.51,2.59
192109,-2.33,-2.25
192209,-.44,-0.36
192309,-2.49,-2.41
192409,1.38,1.46
192509,.35,0.43
192609,-1.56,-1.48
192709,.96,1.04
192809,2.76,2.84
192909,-1.6,-1.52
193009,-1.98,-1.90
193109,-.66,-0.58
193209,1.31,1.39
193309,.72,0.80
193409,.8,0.88
193509,.62,0.70
193609,-1.37,-1.29
193709,.97,1.05
193809,4.05,4.13
193909,-1.53,-1.45
194009,-.26,-0.18
194109,-3.11,-3.03
194209,-1.93,-1.85
194309,1.43,1.51
194409,.8,0.88
194509,1.45,1.53
194609,1.53,1.61
194709,-1.52,-1.44
194809,-2.88,-2.80
194909,-3.04,-2.96
195009,-2.86,-2.78
195109,1.69,1.77
195209,-1.14,-1.06
195309,-2,-1.92
195409,4.69,4.77
195509,.64,0.72
195609,-.14,-0.06
195709,-3.13,-3.05
195809,-.43,-0.35
195909,-2.09,-2.01
196009,2.23,2.31
196109,-1.32,-1.24
196209,.75,0.83
196309,-2.28,-2.20
196409,-3.36,-3.28
196509,-4.08,-4.00
196609,-2.13,-2.05
196709,-1.01,-0.93
196809,-1.81,-1.73
196909,1.46,1.54
197009,-1.1,-1.02
197109,-1.14,-1.06
197209,1.1,1.18
197309,2.13,2.21
197409,.7,0.78
197509,1.64,1.72
197609,2.2,2.28
197709,.89,0.97
197809,-2.05,-1.97
197909,.3,0.38
198009,-2.39,-2.31
198109,2.29,2.37
198209,-.82,-0.74
198309,-1.88,-1.80
198409,-1.61,-1.53
198509,.72,0.80
198609,1.79,1.87
198709,.72,0.80
198809,1.12,1.20
198909,1.81,1.89
199009,2.42,2.50
199109,2.67,2.75
199209,.52,0.60
199309,.19,0.27
199409,.82,0.90
199509,-2.9,-2.82
199609,2.46,2.54
199709,1.83,1.91
199809,-.76,-0.68
199909,1.91,1.99
200009,-.16,-0.08
200109,-2.23,-2.15
200209,-2.37,-2.29
200309,1.39,1.47
200409,2.12,2.20
200509,1.67,1.75
200609,4.74,4.82
200709,2.3,2.38
200809,5.65,5.73
200909,4.13,4.21
201009,.66,0.74
201109,4.32,4.40
201209,1.11,1.19
201309,2.45,2.53
201409,1.35,1.43
201509,1.27,1.35
