Virginia, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,1.04,1.13
189601,-2.93,-2.84
189701,-1.31,-1.22
189801,-1.74,-1.65
189901,1.29,1.38
190001,-1.84,-1.75
190101,-2.53,-2.44
190201,3.55,3.64
190301,1.01,1.10
190401,-1.16,-1.07
190501,-.91,-0.82
190601,1.69,1.78
190701,1.54,1.63
190801,2.72,2.81
190901,1.77,1.86
191001,-1.43,-1.34
191101,.47,0.56
191201,.43,0.52
191301,-1.54,-1.45
191401,-.18,-0.09
191501,1.72,1.81
191601,-.57,-0.48
191701,-.68,-0.59
191801,.94,1.03
191901,.79,0.88
192001,-1.55,-1.46
192101,1.92,2.01
192201,.39,0.48
192301,.51,0.60
192401,.4,0.49
192501,.88,0.97
192601,-2.45,-2.36
192701,-.76,-0.67
192801,-.45,-0.36
192901,.71,0.80
193001,-.49,-0.40
193101,-6.58,-6.49
193201,-3.05,-2.96
193301,1.82,1.91
193401,-3.47,-3.38
193501,1.7,1.79
193601,3.19,3.28
193701,2.41,2.50
193801,-.72,-0.63
193901,.03,0.12
194001,-1.54,-1.45
194101,-.77,-0.68
194201,-4.41,-4.32
194301,-.12,-0.03
194401,-2.71,-2.62
194501,-.23,-0.14
194601,-.05,0.04
194701,.77,0.86
194801,.33,0.42
194901,3.02,3.11
195001,-.76,-0.67
195101,-.65,-0.56
195201,1.5,1.59
195301,.44,0.53
195401,-2.95,-2.86
195501,-2.88,-2.79
195601,-1.52,-1.43
195701,.9,0.99
195801,1.77,1.86
195901,-.97,-0.88
196001,.46,0.55
196101,-1.26,-1.17
196201,2.16,2.25
196301,.46,0.55
196401,-2.4,-2.31
196501,-1.71,-1.62
196601,-4.47,-4.38
196701,-.59,-0.50
196801,-.01,0.08
196901,-1.96,-1.87
197001,-.61,-0.52
197101,-1.76,-1.67
197201,.87,0.96
197301,4.21,4.30
197401,1.34,1.43
197501,1.04,1.13
197601,2.83,2.92
197701,-.57,-0.48
197801,3.45,3.54
197901,1.65,1.74
198001,-.13,-0.04
198101,-4.14,-4.05
198201,.6,0.69
198301,-.68,-0.59
198401,1.47,1.56
198501,-1.57,-1.48
198601,-1.18,-1.09
198701,1.4,1.49
198801,-1.1,-1.01
198901,-2.6,-2.51
199001,2.94,3.03
199101,.6,0.69
199201,-.24,-0.15
199301,1.48,1.57
199401,1.03,1.12
199501,-.63,-0.54
199601,1.92,2.01
199701,-.19,-0.10
199801,1.74,1.83
199901,-3.34,-3.25
200001,-.46,-0.37
200101,-1.7,-1.61
200201,-3.15,-3.06
200301,1.23,1.32
200401,4.76,4.85
200501,-.07,0.02
200601,-.99,-0.90
200701,-.58,-0.49
200801,-4.06,-3.97
200901,-1.79,-1.70
201001,4.17,4.26
201101,-2.48,-2.39
201201,-.45,-0.36
201301,1.17,1.26
201401,2.39,2.48
201501,.1,0.19
201601,2.15,2.24
