Montana, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,1.69,1.21
189601,1.08,0.60
189701,3.44,2.96
189801,3.57,3.09
189901,3.59,3.11
190001,2.57,2.09
190101,-1.45,-1.93
190201,0,-0.48
190301,1.59,1.11
190401,2.43,1.95
190501,-4.63,-5.11
190601,-3.8,-4.28
190701,4.19,3.71
190801,1.84,1.36
190901,2.97,2.49
191001,4.17,3.69
191101,-.17,-0.65
191201,3.68,3.20
191301,4.32,3.84
191401,1.99,1.51
191501,-1.1,-1.58
191601,4.84,4.36
191701,5.33,4.85
191801,2.07,1.59
191901,-1.54,-2.02
192001,1.6,1.12
192101,-1.69,-2.17
192201,.86,0.38
192301,-.05,-0.53
192401,2.6,2.12
192501,1.48,1.00
192601,1.88,1.40
192701,1.32,0.84
192801,6.8,6.32
192901,-.78,-1.26
193001,-.17,-0.65
193101,-1.95,-2.43
193201,-5.26,-5.74
193301,.99,0.51
193401,1.08,0.60
193501,-4.01,-4.49
193601,-4.79,-5.27
193701,-6.43,-6.91
193801,-5.29,-5.77
193901,-.55,-1.03
194001,-2.86,-3.34
194101,-3.12,-3.60
194201,2.35,1.87
194301,3.84,3.36
194401,-2.28,-2.76
194501,-1.53,-2.01
194601,-.19,-0.67
194701,4.28,3.80
194801,2.53,2.05
194901,2.58,2.10
195001,.34,-0.14
195101,2.15,1.67
195201,4.37,3.89
195301,.22,-0.26
195401,.5,0.02
195501,-2.54,-3.02
195601,1.87,1.39
195701,-1.23,-1.71
195801,-.64,-1.12
195901,1.88,1.40
196001,-.43,-0.91
196101,-3.52,-4.00
196201,-.21,-0.69
196301,1.67,1.19
196401,-1.38,-1.86
196501,3.53,3.05
196601,.37,-0.11
196701,.51,0.03
196801,1.66,1.18
196901,4.47,3.99
197001,1.36,0.88
197101,2.51,2.03
197201,2.17,1.69
197301,-.62,-1.10
197401,1.43,0.95
197501,.27,-0.21
197601,5.54,5.06
197701,-1.83,-2.31
197801,1.84,1.36
197901,3.56,3.08
198001,-3.39,-3.87
198101,-2.34,-2.82
198201,.46,-0.02
198301,2.44,1.96
198401,-.24,-0.72
198501,-.7,-1.18
198601,1.73,1.25
198701,-.49,-0.97
198801,-2.85,-3.33
198901,-5.33,-5.81
199001,1.6,1.12
199101,-1.26,-1.74
199201,-.81,-1.29
199301,-1.98,-2.46
199401,4.6,4.12
199501,.38,-0.10
199601,4.54,4.06
199701,3.3,2.82
199801,-.83,-1.31
199901,1.1,0.62
200001,-1.44,-1.92
200101,-4.16,-4.64
200201,-6.08,-6.56
200301,-3.93,-4.41
200401,-3.32,-3.80
200501,-3.85,-4.33
200601,.89,0.41
200701,-.71,-1.19
200801,-1.99,-2.47
200901,.86,0.38
201001,-.74,-1.22
201101,3.69,3.21
201201,-1.1,-1.58
201301,-2.43,-2.91
201401,1.02,0.54
201501,.65,0.17
