New Hampshire, Palmer Drought Severity Index (PDSI), November
Base Period: 1901-2000
Date,Value,Anomaly
189511,1.02,1.33
189611,-.13,0.18
189711,2.16,2.47
189811,2.1,2.41
189911,-3.13,-2.82
190011,-.99,-0.68
190111,-1.3,-0.99
190211,2.11,2.42
190311,-1.37,-1.06
190411,-1.04,-0.73
190511,-1.06,-0.75
190611,-1.59,-1.28
190711,2.26,2.57
190811,-3.97,-3.66
190911,-2.89,-2.58
191011,-3.17,-2.86
191111,-.19,0.12
191211,-.83,-0.52
191311,-2.21,-1.90
191411,-3.42,-3.11
191511,-1.29,-0.98
191611,-.63,-0.32
191711,-1.16,-0.85
191811,-.53,-0.22
191911,.65,0.96
192011,1.67,1.98
192111,-1.67,-1.36
192211,-1.8,-1.49
192311,-1.71,-1.40
192411,-1.05,-0.74
192511,1.18,1.49
192611,.94,1.25
192711,3.19,3.50
192811,-.98,-0.67
192911,-2.74,-2.43
193011,-2.32,-2.01
193111,-1.66,-1.35
193211,1.87,2.18
193311,-.65,-0.34
193411,.42,0.73
193511,-.34,-0.03
193611,-1.11,-0.80
193711,1.84,2.15
193811,2.53,2.84
193911,-2.14,-1.83
194011,.86,1.17
194111,-3.38,-3.07
194211,-1.53,-1.22
194311,2.8,3.11
194411,.4,0.71
194511,1.87,2.18
194611,-.89,-0.58
194711,-2.41,-2.10
194811,-2.67,-2.36
194911,-3.63,-3.32
195011,.63,0.94
195111,2.44,2.75
195211,-2.48,-2.17
195311,-2.45,-2.14
195411,4.08,4.39
195511,-.05,0.26
195611,-.93,-0.62
195711,.15,0.46
195811,-.35,-0.04
195911,2.12,2.43
196011,-.49,-0.18
196111,-2.15,-1.84
196211,-.11,0.20
196311,-2.07,-1.76
196411,-3.94,-3.63
196511,-3.32,-3.01
196611,-1.87,-1.56
196711,-1.49,-1.18
196811,.56,0.87
196911,1.94,2.25
197011,-1.53,-1.22
197111,-1.46,-1.15
197211,1.99,2.30
197311,1.28,1.59
197411,.34,0.65
197511,2.32,2.63
197611,-.8,-0.49
197711,1.87,2.18
197811,-2.68,-2.37
197911,-.41,-0.10
198011,-1.66,-1.35
198111,2.45,2.76
198211,-1.58,-1.27
198311,1.64,1.95
198411,-1.99,-1.68
198511,1.04,1.35
198611,1.52,1.83
198711,-.47,-0.16
198811,1.53,1.84
198911,2.49,2.80
199011,2.9,3.21
199111,-.11,0.20
199211,.67,0.98
199311,.14,0.45
199411,-1.36,-1.05
199511,2.25,2.56
199611,3.15,3.46
199711,1.67,1.98
199811,-.89,-0.58
199911,-.56,-0.25
200011,-.4,-0.09
200111,-3.89,-3.58
200211,-1.84,-1.53
200311,2.1,2.41
200411,1.3,1.61
200511,5.34,5.65
200611,5.48,5.79
200711,2.31,2.62
200811,4.97,5.28
200911,4.15,4.46
201011,1.63,1.94
201111,-.44,-0.13
201211,-1.27,-0.96
201311,1.33,1.64
201411,1.38,1.69
201511,.57,0.88
