South Dakota, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,1.33,0.45
189602,1.31,0.43
189702,4.29,3.41
189802,-.85,-1.73
189902,-1.52,-2.40
190002,-1.31,-2.19
190102,-1.23,-2.11
190202,1.25,0.37
190302,1.65,0.77
190402,2.37,1.49
190502,-.56,-1.44
190602,4.33,3.45
190702,6.48,5.60
190802,3.76,2.88
190902,5.21,4.33
191002,5.47,4.59
191102,-2.41,-3.29
191202,1.24,0.36
191302,-1.5,-2.38
191402,-1.39,-2.27
191502,1.43,0.55
191602,6.81,5.93
191702,5.26,4.38
191802,1.83,0.95
191902,1.87,0.99
192002,2.07,1.19
192102,3.3,2.42
192202,2.18,1.30
192302,1.58,0.70
192402,2.71,1.83
192502,-.22,-1.10
192602,-1.01,-1.89
192702,-.52,-1.40
192802,-.13,-1.01
192902,1.55,0.67
193002,2.38,1.50
193102,-.54,-1.42
193202,-2,-2.88
193302,-1.7,-2.58
193402,-3.86,-4.74
193502,-5.39,-6.27
193602,-1.91,-2.79
193702,-4.48,-5.36
193802,-2.78,-3.66
193902,-1.94,-2.82
194002,-3.89,-4.77
194102,-3.33,-4.21
194202,-.9,-1.78
194302,0,-0.88
194402,.82,-0.06
194502,3.37,2.49
194602,1.65,0.77
194702,4.05,3.17
194802,2.45,1.57
194902,-.3,-1.18
195002,.22,-0.66
195102,-.67,-1.55
195202,4.2,3.32
195302,.71,-0.17
195402,-.98,-1.86
195502,-1.02,-1.90
195602,-3.08,-3.96
195702,-2.21,-3.09
195802,3.17,2.29
195902,-1.56,-2.44
196002,.89,0.01
196102,-.93,-1.81
196202,.65,-0.23
196302,2.83,1.95
196402,-1.47,-2.35
196502,-1.6,-2.48
196602,1.95,1.07
196702,-.08,-0.96
196802,-1.11,-1.99
196902,3,2.12
197002,-.7,-1.58
197102,1.42,0.54
197202,2.56,1.68
197302,3.16,2.28
197402,-.48,-1.36
197502,.06,-0.82
197602,-.67,-1.55
197702,.16,-0.72
197802,3.06,2.18
197902,2.35,1.47
198002,-.87,-1.75
198102,-3.15,-4.03
198202,-.37,-1.25
198302,4.2,3.32
198402,3.61,2.73
198502,-.32,-1.20
198602,1.92,1.04
198702,5.01,4.13
198802,-1.4,-2.28
198902,-3.37,-4.25
199002,-2.69,-3.57
199102,-2.24,-3.12
199202,-.05,-0.93
199302,1.91,1.03
199402,6.37,5.49
199502,3.3,2.42
199602,5.64,4.76
199702,7.55,6.67
199802,4.7,3.82
199902,5.51,4.63
200002,3.9,3.02
200102,2.44,1.56
200202,-1.2,-2.08
200302,-2.24,-3.12
200402,-2.26,-3.14
200502,-.7,-1.58
200602,-.35,-1.23
200702,.63,-0.25
200802,-.58,-1.46
200902,4.67,3.79
201002,6.53,5.65
201102,7.34,6.46
201202,-.05,-0.93
201302,-3.36,-4.24
201402,4.29,3.41
201502,3.76,2.88
