Montana, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,.52,0.13
189612,3.33,2.94
189712,3.59,3.20
189812,3.23,2.84
189912,3.23,2.84
190012,-1.37,-1.76
190112,.53,0.14
190212,1.69,1.30
190312,2.4,2.01
190412,-4.29,-4.68
190512,-3.71,-4.10
190612,3.02,2.63
190712,2.58,2.19
190812,2.12,1.73
190912,4.29,3.90
191012,-.48,-0.87
191112,3.36,2.97
191212,3.85,3.46
191312,2.26,1.87
191412,-.82,-1.21
191512,4,3.61
191612,5.36,4.97
191712,1.38,0.99
191812,-.9,-1.29
191912,1.42,1.03
192012,-1.23,-1.62
192112,1,0.61
192212,.21,-0.18
192312,2.78,2.39
192412,1.57,1.18
192512,2.16,1.77
192612,1.23,0.84
192712,6.27,5.88
192812,-.92,-1.31
192912,1.01,0.62
193012,-1.32,-1.71
193112,-5.23,-5.62
193212,.92,0.53
193312,1.21,0.82
193412,-3.87,-4.26
193512,-4.85,-5.24
193612,-6.45,-6.84
193712,-5.24,-5.63
193812,-.28,-0.67
193912,-2.39,-2.78
194012,-2.45,-2.84
194112,2.49,2.10
194212,3.13,2.74
194312,-1.43,-1.82
194412,-1.25,-1.64
194512,.34,-0.05
194612,4.09,3.70
194712,2.6,2.21
194812,2.64,2.25
194912,-2.38,-2.77
195012,2.1,1.71
195112,4.32,3.93
195212,-3.49,-3.88
195312,-1.82,-2.21
195412,-1.79,-2.18
195512,1.67,1.28
195612,-1.16,-1.55
195712,-.28,-0.67
195812,1.41,1.02
195912,-.34,-0.73
196012,-2.82,-3.21
196112,-.15,-0.54
196212,1.61,1.22
196312,-1.27,-1.66
196412,2.83,2.44
196512,.01,-0.38
196612,.21,-0.18
196712,1.69,1.30
196812,3.14,2.75
196912,1.14,0.75
197012,1.63,1.24
197112,1.37,0.98
197212,-.24,-0.63
197312,.95,0.56
197412,-1.04,-1.43
197512,5.45,5.06
197612,-1.5,-1.89
197712,1.54,1.15
197812,3.8,3.41
197912,-3.38,-3.77
198012,-1.86,-2.25
198112,-.58,-0.97
198212,2.82,2.43
198312,.22,-0.17
198412,.43,0.04
198512,1.96,1.57
198612,-.25,-0.64
198712,-2.4,-2.79
198812,-5.77,-6.16
198912,1.36,0.97
199012,-1.03,-1.42
199112,-.32,-0.71
199212,-1.86,-2.25
199312,4.53,4.14
199412,.73,0.34
199512,3.94,3.55
199612,3.07,2.68
199712,-.8,-1.19
199812,.94,0.55
199912,-1.16,-1.55
200012,-3.47,-3.86
200112,-5.96,-6.35
200212,-3.94,-4.33
200312,-3.31,-3.70
200412,-3.42,-3.81
200512,.85,0.46
200612,-.26,-0.65
200712,-1.78,-2.17
200812,.93,0.54
200912,-.62,-1.01
201012,3.23,2.84
201112,-.94,-1.33
201212,-2.39,-2.78
201312,1.26,0.87
201412,.68,0.29
201512,-1.72,-2.11
