Virginia, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,.9,0.89
189604,-.77,-0.78
189704,-.36,-0.37
189804,.26,0.25
189904,-.5,-0.51
190004,-.83,-0.84
190104,1.66,1.65
190204,-.5,-0.51
190304,2.57,2.56
190404,-1.42,-1.43
190504,-1.21,-1.22
190604,-.55,-0.56
190704,1.26,1.25
190804,1.66,1.65
190904,1.2,1.19
191004,.54,0.53
191104,.48,0.47
191204,1.65,1.64
191304,.4,0.39
191404,-.32,-0.33
191504,-1.51,-1.52
191604,-.77,-0.78
191704,1.14,1.13
191804,1.6,1.59
191904,.33,0.32
192004,1.04,1.03
192104,-1.38,-1.39
192204,.94,0.93
192304,1.31,1.30
192404,.66,0.65
192504,-1.75,-1.76
192604,-2.3,-2.31
192704,.92,0.91
192804,.92,0.91
192904,1.14,1.13
193004,-2.1,-2.11
193104,-4.98,-4.99
193204,-2.03,-2.04
193304,1.67,1.66
193404,.78,0.77
193504,1.9,1.89
193604,3.54,3.53
193704,2.31,2.30
193804,-2,-2.01
193904,-.2,-0.21
194004,.65,0.64
194104,-1.79,-1.80
194204,-4.7,-4.71
194304,-.35,-0.36
194404,.02,0.01
194504,-1.47,-1.48
194604,-1.08,-1.09
194704,-1.12,-1.13
194804,.71,0.70
194904,1.58,1.57
195004,-1.55,-1.56
195104,-.27,-0.28
195204,2.04,2.03
195304,-.07,-0.08
195404,-3.1,-3.11
195504,-.16,-0.17
195604,.55,0.54
195704,-.25,-0.26
195804,2.57,2.56
195904,-.92,-0.93
196004,.84,0.83
196104,1.09,1.08
196204,2.24,2.23
196304,-1.08,-1.09
196404,-1.53,-1.54
196504,-.97,-0.98
196604,-3.7,-3.71
196704,-1.47,-1.48
196804,-1.2,-1.21
196904,-1.94,-1.95
197004,-.47,-0.48
197104,-.62,-0.63
197204,1.1,1.09
197304,4.13,4.12
197404,.26,0.25
197504,2.25,2.24
197604,-2.31,-2.32
197704,-1.64,-1.65
197804,2.58,2.57
197904,2.04,2.03
198004,.98,0.97
198104,-4,-4.01
198204,-.27,-0.28
198304,2.31,2.30
198404,3.51,3.50
198504,-2.98,-2.99
198604,-2.56,-2.57
198704,2.57,2.56
198804,-2.05,-2.06
198904,.88,0.87
199004,1.7,1.69
199104,-.54,-0.55
199204,-.31,-0.32
199304,3.08,3.07
199404,-.53,-0.54
199504,-2.08,-2.09
199604,1.23,1.22
199704,-.02,-0.03
199804,3.46,3.45
199904,-3.09,-3.10
200004,.61,0.60
200104,-2.2,-2.21
200204,-3.18,-3.19
200304,2.81,2.80
200404,2.78,2.77
200504,-.56,-0.57
200604,-2.7,-2.71
200704,-.8,-0.81
200804,-2.46,-2.47
200904,-.16,-0.17
201004,-.96,-0.97
201104,.98,0.97
201204,-1.21,-1.22
201304,.73,0.72
201404,2.41,2.40
201504,.48,0.47
