Louisiana, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-.76,-0.62
189609,-3.62,-3.48
189709,-3.28,-3.14
189809,2.71,2.85
189909,-3.57,-3.43
190009,-.61,-0.47
190109,-1.96,-1.82
190209,.42,0.56
190309,-1.33,-1.19
190409,-2.42,-2.28
190509,3.23,3.37
190609,-1.52,-1.38
190709,-1.88,-1.74
190809,2.89,3.03
190909,-.67,-0.53
191009,-.41,-0.27
191109,1.19,1.33
191209,-.66,-0.52
191309,3.68,3.82
191409,-1.47,-1.33
191509,-1.13,-0.99
191609,-1.07,-0.93
191709,-2.94,-2.80
191809,-4.47,-4.33
191909,2.27,2.41
192009,2.71,2.85
192109,-1.73,-1.59
192209,-.35,-0.21
192309,2.78,2.92
192409,-3.91,-3.77
192509,-.02,0.12
192609,-.58,-0.44
192709,-.77,-0.63
192809,-.35,-0.21
192909,-1.07,-0.93
193009,-2.11,-1.97
193109,-2.67,-2.53
193209,-1.65,-1.51
193309,-.85,-0.71
193409,-1.2,-1.06
193509,-.32,-0.18
193609,-3.28,-3.14
193709,-2.03,-1.89
193809,-.43,-0.29
193909,-1.59,-1.45
194009,3.77,3.91
194109,3.28,3.42
194209,2.61,2.75
194309,1.58,1.72
194409,-.97,-0.83
194509,1.78,1.92
194609,4.05,4.19
194709,-1.92,-1.78
194809,-2.43,-2.29
194909,.18,0.32
195009,-.13,0.01
195109,-2.09,-1.95
195209,-2.97,-2.83
195309,-1.35,-1.21
195409,-3.67,-3.53
195509,-.25,-0.11
195609,-2.51,-2.37
195709,1.6,1.74
195809,4.04,4.18
195909,1.35,1.49
196009,-.53,-0.39
196109,3.23,3.37
196209,-2.54,-2.40
196309,-3.92,-3.78
196409,-1.73,-1.59
196509,-2.01,-1.87
196609,-.39,-0.25
196709,.66,0.80
196809,.87,1.01
196909,-1.89,-1.75
197009,.26,0.40
197109,1.47,1.61
197209,-1.23,-1.09
197309,3.45,3.59
197409,3,3.14
197509,4.65,4.79
197609,-.59,-0.45
197709,1.18,1.32
197809,-.26,-0.12
197909,3.01,3.15
198009,-2.85,-2.71
198109,-2.41,-2.27
198209,-.04,0.10
198309,3.32,3.46
198409,1.35,1.49
198509,.73,0.87
198609,-2.39,-2.25
198709,-.34,-0.20
198809,.6,0.74
198909,2.75,2.89
199009,-2.08,-1.94
199109,3.85,3.99
199209,3.06,3.20
199309,-1.44,-1.30
199409,.87,1.01
199509,-1.14,-1.00
199609,1.27,1.41
199709,.8,0.94
199809,1.68,1.82
199909,-2.21,-2.07
200009,-4.61,-4.47
200109,2.65,2.79
200209,.49,0.63
200309,1.1,1.24
200409,1.17,1.31
200509,-1.46,-1.32
200609,-3.79,-3.65
200709,-.1,0.04
200809,2.26,2.40
200909,.44,0.58
201009,-3.2,-3.06
201109,-4.56,-4.42
201209,2.24,2.38
201309,-.59,-0.45
201409,-.19,-0.05
201509,-2.12,-1.98
