South Carolina, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,1.23,1.18
189602,-1.18,-1.23
189702,1.25,1.20
189802,-2.74,-2.79
189902,3.46,3.41
190002,.72,0.67
190102,.39,0.34
190202,2.5,2.45
190302,1.84,1.79
190402,-.63,-0.68
190502,-.92,-0.97
190602,-.29,-0.34
190702,-1.47,-1.52
190802,2.95,2.90
190902,1.27,1.22
191002,-.37,-0.42
191102,-1.82,-1.87
191202,2.3,2.25
191302,1.36,1.31
191402,.7,0.65
191502,-.23,-0.28
191602,-.69,-0.74
191702,.06,0.01
191802,-1.39,-1.44
191902,1.09,1.04
192002,.19,0.14
192102,.09,0.04
192202,.69,0.64
192302,1.38,1.33
192402,-.72,-0.77
192502,-.81,-0.86
192602,-2.38,-2.43
192702,-3.96,-4.01
192802,.66,0.61
192902,4.02,3.97
193002,-1.03,-1.08
193102,-2.17,-2.22
193202,-3.5,-3.55
193302,-.02,-0.07
193402,-4.55,-4.60
193502,-2.63,-2.68
193602,2,1.95
193702,1.42,1.37
193802,-1.88,-1.93
193902,1.43,1.38
194002,-1.47,-1.52
194102,-2.21,-2.26
194202,.48,0.43
194302,-1.36,-1.41
194402,.57,0.52
194502,-2.4,-2.45
194602,-.33,-0.38
194702,-1.26,-1.31
194802,3.35,3.30
194902,2.82,2.77
195002,-2.09,-2.14
195102,-1.94,-1.99
195202,-2.32,-2.37
195302,-.79,-0.84
195402,-1.97,-2.02
195502,-4.1,-4.15
195602,-2.15,-2.20
195702,-3.37,-3.42
195802,1.88,1.83
195902,.3,0.25
196002,4.35,4.30
196102,.69,0.64
196202,.6,0.55
196302,.78,0.73
196402,2.4,2.35
196502,4.16,4.11
196602,2.18,2.13
196702,-.43,-0.48
196802,-.78,-0.83
196902,.73,0.68
197002,1.21,1.16
197102,.5,0.45
197202,2.96,2.91
197302,2.55,2.50
197402,-.45,-0.50
197502,1.93,1.88
197602,-.97,-1.02
197702,-.68,-0.73
197802,-.72,-0.77
197902,1.28,1.23
198002,1.65,1.60
198102,-2.74,-2.79
198202,1.7,1.65
198302,1.82,1.77
198402,1.92,1.87
198502,-1.86,-1.91
198602,-1.4,-1.45
198702,2.33,2.28
198802,-1.5,-1.55
198902,-2.25,-2.30
199002,-.29,-0.34
199102,1.59,1.54
199202,-1.34,-1.39
199302,3.5,3.45
199402,-2.07,-2.12
199502,4.06,4.01
199602,-.61,-0.66
199702,.8,0.75
199802,4.76,4.71
199902,-2.48,-2.53
200002,-1.35,-1.40
200102,-2.67,-2.72
200202,-5.31,-5.36
200302,.86,0.81
200402,-.55,-0.60
200502,-.02,-0.07
200602,-.5,-0.55
200702,-.44,-0.49
200802,-3.66,-3.71
200902,-1.18,-1.23
201002,-.04,-0.09
201102,-3.9,-3.95
201202,-5.37,-5.42
201302,.82,0.77
201402,.38,0.33
201502,.83,0.78
201602,3.84,3.79
