Michigan, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,-4.28,-4.13
189608,.85,1.00
189708,-.56,-0.41
189808,-1.17,-1.02
189908,-.97,-0.82
190008,1.62,1.77
190108,-1.25,-1.10
190208,1.95,2.10
190308,2.9,3.05
190408,.21,0.36
190508,2.27,2.42
190608,-.81,-0.66
190708,-.96,-0.81
190808,-1.08,-0.93
190908,-1.59,-1.44
191008,-3.66,-3.51
191108,-2.97,-2.82
191208,1.52,1.67
191308,-1.39,-1.24
191408,-.69,-0.54
191508,2.02,2.17
191608,-1.73,-1.58
191708,-.19,-0.04
191808,-2.42,-2.27
191908,-2.05,-1.90
192008,-.16,-0.01
192108,-2.61,-2.46
192208,-.6,-0.45
192308,-1.27,-1.12
192408,1.82,1.97
192508,-3.35,-3.20
192608,.62,0.77
192708,-1.2,-1.05
192808,2.01,2.16
192908,-1.14,-0.99
193008,-3.37,-3.22
193108,-6.49,-6.34
193208,.82,0.97
193308,-2.86,-2.71
193408,-5.44,-5.29
193508,-1.13,-0.98
193608,-3.61,-3.46
193708,-.63,-0.48
193808,1.57,1.72
193908,-.14,0.01
194008,1.83,1.98
194108,.13,0.28
194208,1.19,1.34
194308,-.26,-0.11
194408,-1.3,-1.15
194508,2.16,2.31
194608,-1.88,-1.73
194708,-.74,-0.59
194808,-1.93,-1.78
194908,-.48,-0.33
195008,2.62,2.77
195108,2.83,2.98
195208,2.88,3.03
195308,-.18,-0.03
195408,.95,1.10
195508,-2.26,-2.11
195608,2.09,2.24
195708,.73,0.88
195808,.89,1.04
195908,.65,0.80
196008,-.02,0.13
196108,.31,0.46
196208,-1.5,-1.35
196308,-2.87,-2.72
196408,-3.04,-2.89
196508,.6,0.75
196608,-1.71,-1.56
196708,1.78,1.93
196808,2.07,2.22
196908,-1.23,-1.08
197008,-1,-0.85
197108,-1.58,-1.43
197208,1.75,1.90
197308,-.27,-0.12
197408,1.73,1.88
197508,3.33,3.48
197608,-1.99,-1.84
197708,.81,0.96
197808,.42,0.57
197908,2.27,2.42
198008,1.19,1.34
198108,1.21,1.36
198208,1.48,1.63
198308,-1.51,-1.36
198408,-.87,-0.72
198508,2.19,2.34
198608,2.2,2.35
198708,1.32,1.47
198808,.19,0.34
198908,-.54,-0.39
199008,1.05,1.20
199108,-.83,-0.68
199208,1.38,1.53
199308,2.78,2.93
199408,3.26,3.41
199508,-.84,-0.69
199608,1.51,1.66
199708,-.14,0.01
199808,-2.64,-2.49
199908,-1.26,-1.11
200008,1.38,1.53
200108,-.8,-0.65
200208,-.33,-0.18
200308,-1.71,-1.56
200408,2.21,2.36
200508,-2.72,-2.57
200608,.3,0.45
200708,-1.73,-1.58
200808,1.07,1.22
200908,3.11,3.26
201008,1.3,1.45
201108,1.56,1.71
201208,-1.92,-1.77
201308,2.62,2.77
201408,2.75,2.90
201508,1.44,1.59
