Iowa, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-.13,-0.46
189602,-1.49,-1.82
189702,2.89,2.56
189802,-3.28,-3.61
189902,-.54,-0.87
190002,-2.08,-2.41
190102,1.8,1.47
190202,-3.86,-4.19
190302,4.16,3.83
190402,2.93,2.60
190502,.36,0.03
190602,2.28,1.95
190702,.85,0.52
190802,1.86,1.53
190902,2.29,1.96
191002,-.17,-0.50
191102,-4.08,-4.41
191202,1.21,0.88
191302,.06,-0.27
191402,-2.67,-3.00
191502,2.73,2.40
191602,-.09,-0.42
191702,-2.14,-2.47
191802,-2.47,-2.80
191902,1.35,1.02
192002,1.35,1.02
192102,-.61,-0.94
192202,.57,0.24
192302,-1.67,-2.00
192402,.3,-0.03
192502,-.5,-0.83
192602,0,-0.33
192702,1.95,1.62
192802,-1.18,-1.51
192902,3.75,3.42
193002,-.8,-1.13
193102,-3.58,-3.91
193202,3.04,2.71
193302,1.29,0.96
193402,-4.48,-4.81
193502,-.12,-0.45
193602,1.31,0.98
193702,-2.35,-2.68
193802,-3.22,-3.55
193902,1.55,1.22
194002,-4.18,-4.51
194102,-1.16,-1.49
194202,2.74,2.41
194302,1.76,1.43
194402,1.3,0.97
194502,1.88,1.55
194602,1.41,1.08
194702,1.53,1.20
194802,-2.01,-2.34
194902,1.19,0.86
195002,.25,-0.08
195102,.8,0.47
195202,3.55,3.22
195302,.55,0.22
195402,-4.07,-4.40
195502,-.01,-0.34
195602,-5.51,-5.84
195702,-6.58,-6.91
195802,-.15,-0.48
195902,.21,-0.12
196002,2.87,2.54
196102,1.3,0.97
196202,3.64,3.31
196302,-.72,-1.05
196402,-3.76,-4.09
196502,.71,0.38
196602,2.65,2.32
196702,-2.51,-2.84
196802,-1.24,-1.57
196902,2.49,2.16
197002,-.59,-0.92
197102,2.87,2.54
197202,.6,0.27
197302,3.86,3.53
197402,3.97,3.64
197502,1.8,1.47
197602,.2,-0.13
197702,-5.22,-5.55
197802,2.21,1.88
197902,2.49,2.16
198002,.01,-0.32
198102,-.37,-0.70
198202,1.89,1.56
198302,4.63,4.30
198402,2.48,2.15
198502,2.57,2.24
198602,1.34,1.01
198702,-.54,-0.87
198802,-.16,-0.49
198902,-4.68,-5.01
199002,-4.21,-4.54
199102,1.34,1.01
199202,2.17,1.84
199302,3.74,3.41
199402,5.66,5.33
199502,1.39,1.06
199602,-1.11,-1.44
199702,2.16,1.83
199802,.53,0.20
199902,1.91,1.58
200002,-1.89,-2.22
200102,1.39,1.06
200202,-1.18,-1.51
200302,-1.12,-1.45
200402,.59,0.26
200502,1.68,1.35
200602,-1.95,-2.28
200702,1.43,1.10
200802,3.68,3.35
200902,4.13,3.80
201002,4.86,4.53
201102,4.57,4.24
201202,-1.13,-1.46
201302,-3.9,-4.23
201402,-2.51,-2.84
201502,2.71,2.38
201602,4.92,4.59
