Kansas, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-.22,-0.50
189603,.93,0.65
189703,1.87,1.59
189803,.02,-0.26
189903,1.57,1.29
190003,-.68,-0.96
190103,.07,-0.21
190203,-2.74,-3.02
190303,2.58,2.30
190403,1.12,0.84
190503,2.11,1.83
190603,1.8,1.52
190703,2.01,1.73
190803,1.11,0.83
190903,2.44,2.16
191003,-1,-1.28
191103,-1.72,-2.00
191203,1.17,0.89
191303,-.79,-1.07
191403,-1.69,-1.97
191503,.93,0.65
191603,3.91,3.63
191703,-2.54,-2.82
191803,-3.36,-3.64
191903,1.88,1.60
192003,-1.35,-1.63
192103,-.81,-1.09
192203,.63,0.35
192303,-1.99,-2.27
192403,3.19,2.91
192503,-1.62,-1.90
192603,-1.67,-1.95
192703,.98,0.70
192803,2.15,1.87
192903,3.64,3.36
193003,-1.11,-1.39
193103,.49,0.21
193203,-.22,-0.50
193303,-2.27,-2.55
193403,-3.89,-4.17
193503,-5.46,-5.74
193603,-2.75,-3.03
193703,-3.65,-3.93
193803,-4.5,-4.78
193903,-2.78,-3.06
194003,-4.69,-4.97
194103,.69,0.41
194203,3.67,3.39
194303,3.02,2.74
194403,1.38,1.10
194503,3.02,2.74
194603,-.63,-0.91
194703,1.25,0.97
194803,1.33,1.05
194903,2.65,2.37
195003,-1.2,-1.48
195103,1.64,1.36
195203,5.04,4.76
195303,-3.36,-3.64
195403,-4.28,-4.56
195503,-4.78,-5.06
195603,-5.52,-5.80
195703,.3,0.02
195803,3.1,2.82
195903,2.33,2.05
196003,3.75,3.47
196103,1.32,1.04
196203,4.33,4.05
196303,-1.03,-1.31
196403,-4,-4.28
196503,-.07,-0.35
196603,-.54,-0.82
196703,-3.68,-3.96
196803,-1.14,-1.42
196903,2.06,1.78
197003,.12,-0.16
197103,-.49,-0.77
197203,-.94,-1.22
197303,5.39,5.11
197403,4.94,4.66
197503,1.89,1.61
197603,-1.28,-1.56
197703,-2.59,-2.87
197803,-.42,-0.70
197903,1.2,0.92
198003,3.16,2.88
198103,-3.34,-3.62
198203,1.01,0.73
198303,2.14,1.86
198403,1.25,0.97
198503,2.15,1.87
198603,2.66,2.38
198703,5.55,5.27
198803,.06,-0.22
198903,-2.99,-3.27
199003,.69,0.41
199103,-2.27,-2.55
199203,0,-0.28
199303,5.37,5.09
199403,4.58,4.30
199503,1.13,0.85
199603,-1.94,-2.22
199703,1.86,1.58
199803,4.17,3.89
199903,3.19,2.91
200003,1.09,0.81
200103,1.64,1.36
200203,-2.1,-2.38
200303,-1.89,-2.17
200403,-.96,-1.24
200503,2.02,1.74
200603,-1.49,-1.77
200703,1.03,0.75
200803,1.73,1.45
200903,3.19,2.91
201003,4.19,3.91
201103,-1.07,-1.35
201203,-1,-1.28
201303,-3.46,-3.74
201403,-1.63,-1.91
201503,-1.12,-1.40
201603,1.14,0.86
