Illinois, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,-1.69,-1.68
189604,-1.94,-1.93
189704,3.3,3.31
189804,2.22,2.23
189904,-.88,-0.87
190004,-2.22,-2.21
190104,-1.41,-1.40
190204,-5.18,-5.17
190304,2.66,2.67
190404,2.26,2.27
190504,.02,0.03
190604,-.75,-0.74
190704,.88,0.89
190804,2.94,2.95
190904,1.58,1.59
191004,-1.91,-1.90
191104,-.63,-0.62
191204,2.16,2.17
191304,-.31,-0.30
191404,-2.73,-2.72
191504,-5.21,-5.20
191604,-1.32,-1.31
191704,.51,0.52
191804,.86,0.87
191904,-.74,-0.73
192004,1.35,1.36
192104,-2.18,-2.17
192204,2.59,2.60
192304,-2.59,-2.58
192404,-.68,-0.67
192504,-1.74,-1.73
192604,.05,0.06
192704,4.1,4.11
192804,2.57,2.58
192904,2.64,2.65
193004,-1.08,-1.07
193104,-6.37,-6.36
193204,-2.11,-2.10
193304,1.38,1.39
193404,-5.67,-5.66
193504,.89,0.90
193604,-1.32,-1.31
193704,1.38,1.39
193804,.9,0.91
193904,1.65,1.66
194004,-3.17,-3.16
194104,-3.91,-3.90
194204,1.38,1.39
194304,1.41,1.42
194404,1.82,1.83
194504,1.4,1.41
194604,.7,0.71
194704,1.72,1.73
194804,-.84,-0.83
194904,-.7,-0.69
195004,3.5,3.51
195104,2.23,2.24
195204,-.01,0.00
195304,-1.07,-1.06
195404,-5.69,-5.68
195504,-2.01,-2.00
195604,-2.14,-2.13
195704,1.28,1.29
195804,-1.19,-1.18
195904,-.21,-0.20
196004,-.31,-0.30
196104,.51,0.52
196204,-.65,-0.64
196304,-2.22,-2.21
196404,-3.08,-3.07
196504,.96,0.97
196604,1.47,1.48
196704,.2,0.21
196804,-.95,-0.94
196904,-.37,-0.36
197004,1.56,1.57
197104,-1.47,-1.46
197204,.8,0.81
197304,3.72,3.73
197404,3.12,3.13
197504,2.88,2.89
197604,-.51,-0.50
197704,-2.85,-2.84
197804,.13,0.14
197904,2.24,2.25
198004,-1.46,-1.45
198104,.27,0.28
198204,2.81,2.82
198304,3.79,3.80
198404,2.47,2.48
198504,1.9,1.91
198604,.74,0.75
198704,-1.57,-1.56
198804,-.73,-0.72
198904,-2.16,-2.15
199004,.56,0.57
199104,-.43,-0.42
199204,-1.26,-1.25
199304,3.07,3.08
199404,.91,0.92
199504,.48,0.49
199604,.69,0.70
199704,-.48,-0.47
199804,1.47,1.48
199904,1.66,1.67
200004,-2.98,-2.97
200104,-1.25,-1.24
200204,2.09,2.10
200304,-2.59,-2.58
200404,-.97,-0.96
200504,-1.16,-1.15
200604,-.21,-0.20
200704,-.22,-0.21
200804,2.29,2.30
200904,4.22,4.23
201004,3.23,3.24
201104,3.18,3.19
201204,-1.51,-1.50
201304,2.27,2.28
201404,.56,0.57
201504,1.2,1.21
