Maine, Palmer Drought Severity Index (PDSI), July
Base Period: 1901-2000
Date,Value,Anomaly
189507,-2.16,-2.06
189607,.37,0.47
189707,1.95,2.05
189807,-.82,-0.72
189907,1.02,1.12
190007,-.02,0.08
190107,-.75,-0.65
190207,3.08,3.18
190307,-1.13,-1.03
190407,.55,0.65
190507,-2,-1.90
190607,1.4,1.50
190707,1.89,1.99
190807,-1.21,-1.11
190907,1.27,1.37
191007,-.47,-0.37
191107,-2.99,-2.89
191207,-.69,-0.59
191307,-1.33,-1.23
191407,-.85,-0.75
191507,1.59,1.69
191607,1.4,1.50
191707,3.13,3.23
191807,1.69,1.79
191907,-.86,-0.76
192007,1.34,1.44
192107,-3.2,-3.10
192207,-.53,-0.43
192307,-1.04,-0.94
192407,-1.95,-1.85
192507,.9,1.00
192607,-.97,-0.87
192707,.66,0.76
192807,2.23,2.33
192907,-.95,-0.85
193007,-1.21,-1.11
193107,1.14,1.24
193207,.26,0.36
193307,-.61,-0.51
193407,.47,0.57
193507,-.25,-0.15
193607,-.24,-0.14
193707,-.6,-0.50
193807,1.41,1.51
193907,-1.09,-0.99
194007,-.36,-0.26
194107,-3.02,-2.92
194207,-1.17,-1.07
194307,.9,1.00
194407,-2.3,-2.20
194507,2.02,2.12
194607,-1.74,-1.64
194707,1.98,2.08
194807,-2.26,-2.16
194907,-3.37,-3.27
195007,-2.69,-2.59
195107,2.9,3.00
195207,-1.45,-1.35
195307,-.82,-0.72
195407,3.02,3.12
195507,-1.76,-1.66
195607,-1.22,-1.12
195707,-2.55,-2.45
195807,2.23,2.33
195907,.35,0.45
196007,.43,0.53
196107,.05,0.15
196207,.83,0.93
196307,-1.74,-1.64
196407,-1.94,-1.84
196507,-4.5,-4.40
196607,-2.99,-2.89
196707,.95,1.05
196807,-1.4,-1.30
196907,1.27,1.37
197007,-.73,-0.63
197107,-1.29,-1.19
197207,2.28,2.38
197307,3.41,3.51
197407,3.8,3.90
197507,-1.22,-1.12
197607,2.84,2.94
197707,1.32,1.42
197807,-1.51,-1.41
197907,-1.27,-1.17
198007,-1.5,-1.40
198107,.77,0.87
198207,-1,-0.90
198307,-.6,-0.50
198407,4.46,4.56
198507,.34,0.44
198607,.85,0.95
198707,-1.51,-1.41
198807,.18,0.28
198907,.59,0.69
199007,.97,1.07
199107,-1.52,-1.42
199207,.57,0.67
199307,-.72,-0.62
199407,-.17,-0.07
199507,-1.59,-1.49
199607,4.42,4.52
199707,-.31,-0.21
199807,1.91,2.01
199907,-2.41,-2.31
200007,-.07,0.03
200107,-2.74,-2.64
200207,-1.7,-1.60
200307,-2.22,-2.12
200407,.53,0.63
200507,2.41,2.51
200607,4.65,4.75
200707,2.67,2.77
200807,3.5,3.60
200907,5.29,5.39
201007,-1.07,-0.97
201107,2.77,2.87
201207,1.13,1.23
201307,2.41,2.51
201407,3.16,3.26
201507,1.03,1.13
