Oklahoma, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,.21,0.05
189606,-2.29,-2.45
189706,-1.01,-1.17
189806,1.35,1.19
189906,.17,0.01
190006,-.56,-0.72
190106,-1.93,-2.09
190206,.7,0.54
190306,-.24,-0.40
190406,1.15,0.99
190506,1.02,0.86
190606,1.07,0.91
190706,2.62,2.46
190806,4.43,4.27
190906,-.77,-0.93
191006,-2.79,-2.95
191106,-6.76,-6.92
191206,-1.33,-1.49
191306,-2.64,-2.80
191406,-1.06,-1.22
191506,3.18,3.02
191606,-.02,-0.18
191706,-3.52,-3.68
191806,-4.16,-4.32
191906,1.68,1.52
192006,1.07,0.91
192106,2.27,2.11
192206,-.63,-0.79
192306,1.29,1.13
192406,-.8,-0.96
192506,-4.83,-4.99
192606,.05,-0.11
192706,2.52,2.36
192806,2.35,2.19
192906,-.1,-0.26
193006,-.05,-0.21
193106,-1.01,-1.17
193206,.93,0.77
193306,-1.48,-1.64
193406,-3.77,-3.93
193506,2.19,2.03
193606,-3.5,-3.66
193706,-2.23,-2.39
193806,1.47,1.31
193906,-1.57,-1.73
194006,.12,-0.04
194106,2.46,2.30
194206,3.65,3.49
194306,-.38,-0.54
194406,.69,0.53
194506,2.95,2.79
194606,-.28,-0.44
194706,2.2,2.04
194806,.77,0.61
194906,2.17,2.01
195006,.23,0.07
195106,1.38,1.22
195206,-1.39,-1.55
195306,-3.4,-3.56
195406,-2.87,-3.03
195506,-3.44,-3.60
195606,-6.37,-6.53
195706,4.8,4.64
195806,2.37,2.21
195906,-.08,-0.24
196006,2.1,1.94
196106,1.52,1.36
196206,.87,0.71
196306,-2.84,-3.00
196406,-3.65,-3.81
196506,.23,0.07
196606,-2.89,-3.05
196706,-.02,-0.18
196806,1.69,1.53
196906,2.41,2.25
197006,-1.16,-1.32
197106,-1.8,-1.96
197206,-1.98,-2.14
197306,3.85,3.69
197406,2.36,2.20
197506,4.03,3.87
197606,-1.17,-1.33
197706,-1.46,-1.62
197806,-1.27,-1.43
197906,1.19,1.03
198006,-.42,-0.58
198106,-3.51,-3.67
198206,2.82,2.66
198306,2.08,1.92
198406,-.75,-0.91
198506,3.3,3.14
198606,1.79,1.63
198706,3.27,3.11
198806,-1.77,-1.93
198906,1.59,1.43
199006,-.77,-0.93
199106,.17,0.01
199206,2.79,2.63
199306,5.08,4.92
199406,1.41,1.25
199506,3.6,3.44
199606,-3.26,-3.42
199706,3.07,2.91
199806,-1.8,-1.96
199906,3.49,3.33
200006,1.26,1.10
200106,-.71,-0.87
200206,.04,-0.12
200306,-.29,-0.45
200406,.75,0.59
200506,-1.5,-1.66
200606,-5.2,-5.36
200706,3.49,3.33
200806,2.95,2.79
200906,.2,0.04
201006,-.33,-0.49
201106,-4.17,-4.33
201206,-2.74,-2.90
201306,.41,0.25
201406,.52,0.36
201506,3.5,3.34
