Alabama, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-.78,-0.56
189609,-2.91,-2.69
189709,-3.65,-3.43
189809,.61,0.83
189909,-3.12,-2.90
190009,1.66,1.88
190109,1.83,2.05
190209,-3.74,-3.52
190309,-.78,-0.56
190409,-2.86,-2.64
190509,-1.43,-1.21
190609,1.9,2.12
190709,1.33,1.55
190809,-1.13,-0.91
190909,-.62,-0.40
191009,-.77,-0.55
191109,-2.19,-1.97
191209,2.88,3.10
191309,-.75,-0.53
191409,-3.04,-2.82
191509,-1.86,-1.64
191609,-.47,-0.25
191709,1.39,1.61
191809,.16,0.38
191909,2.44,2.66
192009,-.17,0.05
192109,-3.21,-2.99
192209,-1.7,-1.48
192309,-.75,-0.53
192409,-1.15,-0.93
192509,-5.53,-5.31
192609,1.19,1.41
192709,-3.15,-2.93
192809,2.47,2.69
192909,1.71,1.93
193009,-2.78,-2.56
193109,-3.6,-3.38
193209,.79,1.01
193309,-1.45,-1.23
193409,.62,0.84
193509,-1.32,-1.10
193609,-2.02,-1.80
193709,.36,0.58
193809,-.81,-0.59
193909,3.43,3.65
194009,-.81,-0.59
194109,-2.22,-2.00
194209,1.1,1.32
194309,-1.3,-1.08
194409,.84,1.06
194509,-.93,-0.71
194609,3.7,3.92
194709,-1.06,-0.84
194809,.32,0.54
194909,2.63,2.85
195009,2.04,2.26
195109,-1.66,-1.44
195209,-2.44,-2.22
195309,-1.03,-0.81
195409,-5.08,-4.86
195509,-2.68,-2.46
195609,-1.88,-1.66
195709,1.56,1.78
195809,1.2,1.42
195909,.38,0.60
196009,.77,0.99
196109,2.46,2.68
196209,-2.46,-2.24
196309,-1.36,-1.14
196409,1.47,1.69
196509,-.9,-0.68
196609,.37,0.59
196709,2.51,2.73
196809,-2,-1.78
196909,-.05,0.17
197009,-.66,-0.44
197109,1.89,2.11
197209,-.71,-0.49
197309,2.63,2.85
197409,2.9,3.12
197509,5.39,5.61
197609,2.46,2.68
197709,.82,1.04
197809,-1.07,-0.85
197909,3.4,3.62
198009,-1.82,-1.60
198109,-2.79,-2.57
198209,.19,0.41
198309,1.78,2.00
198409,-.91,-0.69
198509,.84,1.06
198609,-3.23,-3.01
198709,-1.82,-1.60
198809,1.56,1.78
198909,2.74,2.96
199009,-2.58,-2.36
199109,-.45,-0.23
199209,1.48,1.70
199309,-1.5,-1.28
199409,1.93,2.15
199509,-1.68,-1.46
199609,1.84,2.06
199709,1.71,1.93
199809,1.14,1.36
199909,-1.57,-1.35
200009,-4.97,-4.75
200109,2.03,2.25
200209,.97,1.19
200309,4.37,4.59
200409,2.1,2.32
200509,-.05,0.17
200609,-3.19,-2.97
200709,-5.02,-4.80
200809,.82,1.04
200909,2.58,2.80
201009,-2.5,-2.28
201109,-2.45,-2.23
201209,1.16,1.38
201309,2.97,3.19
201409,-1.23,-1.01
201509,-1.31,-1.09
