Illinois, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-.55,-0.57
189602,-1.13,-1.15
189702,2.26,2.24
189802,.92,0.90
189902,2.31,2.29
190002,-1.4,-1.42
190102,-1.17,-1.19
190202,-5.6,-5.62
190302,3.26,3.24
190402,.92,0.90
190502,-1.26,-1.28
190602,1.85,1.83
190702,1.37,1.35
190802,3.33,3.31
190902,.94,0.92
191002,1.78,1.76
191102,-.84,-0.86
191202,1.74,1.72
191302,.88,0.86
191402,-2.29,-2.31
191502,-4.1,-4.12
191602,-.36,-0.38
191702,-1.98,-2.00
191802,-1.12,-1.14
191902,-.37,-0.39
192002,-.93,-0.95
192102,-3.54,-3.56
192202,1.04,1.02
192302,-3.51,-3.53
192402,-.05,-0.07
192502,-.82,-0.84
192602,1.06,1.04
192702,2.88,2.86
192802,3.88,3.86
192902,2.67,2.65
193002,-.03,-0.05
193102,-6.14,-6.16
193202,-1.56,-1.58
193302,1.16,1.14
193402,-5,-5.02
193502,1.03,1.01
193602,-.41,-0.43
193702,1.82,1.80
193802,.52,0.50
193902,1.17,1.15
194002,-3.51,-3.53
194102,-3.97,-3.99
194202,2.67,2.65
194302,1.62,1.60
194402,-.05,-0.07
194502,-3.82,-3.84
194602,2.56,2.54
194702,.86,0.84
194802,.22,0.20
194902,2.11,2.09
195002,3.45,3.43
195102,2.3,2.28
195202,2.62,2.60
195302,-1.83,-1.85
195402,-6.03,-6.05
195502,-2,-2.02
195602,-1.77,-1.79
195702,-2.56,-2.58
195802,-.52,-0.54
195902,.68,0.66
196002,1.07,1.05
196102,-2.21,-2.23
196202,3.57,3.55
196302,-2.87,-2.89
196402,-5.17,-5.19
196502,.66,0.64
196602,1.64,1.62
196702,-.2,-0.22
196802,-.32,-0.34
196902,-.3,-0.32
197002,1.08,1.06
197102,2.8,2.78
197202,-.51,-0.53
197302,2.23,2.21
197402,3.82,3.80
197502,2.73,2.71
197602,.06,0.04
197702,-3.21,-3.23
197802,-.69,-0.71
197902,.75,0.73
198002,-1.63,-1.65
198102,-.98,-1.00
198202,3.1,3.08
198302,3.16,3.14
198402,1.63,1.61
198502,2.49,2.47
198602,2.94,2.92
198702,-.64,-0.66
198802,.96,0.94
198902,-2.49,-2.51
199002,1.09,1.07
199102,-.44,-0.46
199202,-.9,-0.92
199302,2.81,2.79
199402,.06,0.04
199502,.52,0.50
199602,-1.67,-1.69
199702,2.01,1.99
199802,.5,0.48
199902,1.88,1.86
200002,-2.61,-2.63
200102,2,1.98
200202,1.73,1.71
200302,-2.3,-2.32
200402,-.45,-0.47
200502,.02,0.00
200602,-3.88,-3.90
200702,2.07,2.05
200802,1.7,1.68
200902,3.65,3.63
201002,4.91,4.89
201102,2.3,2.28
201202,-.17,-0.19
201302,1.12,1.10
201402,-.74,-0.76
201502,2.02,2.00
201602,3.13,3.11
