Kentucky, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,-1.69,-1.63
189605,-2.92,-2.86
189705,-.03,0.03
189805,.88,0.94
189905,-.32,-0.26
190005,-3.21,-3.15
190105,-2.36,-2.30
190205,-3.09,-3.03
190305,-.67,-0.61
190405,-2.09,-2.03
190505,.25,0.31
190605,-1.77,-1.71
190705,1.93,1.99
190805,-.05,0.01
190905,1.65,1.71
191005,.48,0.54
191105,-.94,-0.88
191205,2.35,2.41
191305,-.88,-0.82
191405,-3.21,-3.15
191505,.44,0.50
191605,1.91,1.97
191705,1.97,2.03
191805,-1.45,-1.39
191905,-.68,-0.62
192005,3.09,3.15
192105,-1.59,-1.53
192205,-.3,-0.24
192305,1.3,1.36
192405,.56,0.62
192505,-2.01,-1.95
192605,-1.76,-1.70
192705,4.33,4.39
192805,.19,0.25
192905,1.72,1.78
193005,-2.56,-2.50
193105,-5.46,-5.40
193205,-.98,-0.92
193305,1.84,1.90
193405,-2.72,-2.66
193505,2.53,2.59
193605,-1.41,-1.35
193705,-1.02,-0.96
193805,.4,0.46
193905,-.88,-0.82
194005,-2.03,-1.97
194105,-5.46,-5.40
194205,-3.69,-3.63
194305,1.15,1.21
194405,-2.38,-2.32
194505,1.26,1.32
194605,.48,0.54
194705,.65,0.71
194805,-.27,-0.21
194905,-.72,-0.66
195005,2.32,2.38
195105,2.52,2.58
195205,-.61,-0.55
195305,-1.83,-1.77
195405,-4.78,-4.72
195505,-.49,-0.43
195605,1.41,1.47
195705,.69,0.75
195805,1.22,1.28
195905,-1.57,-1.51
196005,-1.83,-1.77
196105,1.68,1.74
196205,1.67,1.73
196305,-1.14,-1.08
196405,-1.74,-1.68
196505,-1,-0.94
196605,-.06,0.00
196705,.95,1.01
196805,2.03,2.09
196905,-1.52,-1.46
197005,-.59,-0.53
197105,.63,0.69
197205,1.77,1.83
197305,2.91,2.97
197405,1.84,1.90
197505,3.96,4.02
197605,.82,0.88
197705,-2.21,-2.15
197805,1.27,1.33
197905,3.35,3.41
198005,-.87,-0.81
198105,.94,1.00
198205,-.66,-0.60
198305,3.25,3.31
198405,2.42,2.48
198505,-.01,0.05
198605,-2.5,-2.44
198705,-2.29,-2.23
198805,-3.07,-3.01
198905,2.75,2.81
199005,2.29,2.35
199105,-.79,-0.73
199205,.07,0.13
199305,-.6,-0.54
199405,-.17,-0.11
199505,1.62,1.68
199605,1.66,1.72
199705,3.83,3.89
199805,1.3,1.36
199905,-2.19,-2.13
200005,-2.89,-2.83
200105,-2.91,-2.85
200205,2.08,2.14
200305,2.18,2.24
200405,2.95,3.01
200505,-.84,-0.78
200605,.07,0.13
200705,-2.13,-2.07
200805,2.08,2.14
200905,.97,1.03
201005,-.5,-0.44
201105,3.82,3.88
201205,-1.9,-1.84
201305,.98,1.04
201405,2.19,2.25
201505,1.87,1.93
