Alabama, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,-.54,-0.32
189604,-1.71,-1.49
189704,-1.63,-1.41
189804,-4.57,-4.35
189904,-.65,-0.43
190004,1.82,2.04
190104,1.28,1.50
190204,-.67,-0.45
190304,.46,0.68
190404,-2.92,-2.70
190504,-2.42,-2.20
190604,-1.76,-1.54
190704,.64,0.86
190804,-.44,-0.22
190904,1.45,1.67
191004,-3.27,-3.05
191104,-1.98,-1.76
191204,3.01,3.23
191304,-.63,-0.41
191404,-2.89,-2.67
191504,-2.99,-2.77
191604,-2.42,-2.20
191704,-.38,-0.16
191804,-1.77,-1.55
191904,1.73,1.95
192004,3.46,3.68
192104,-.49,-0.27
192204,1.03,1.25
192304,.5,0.72
192404,.21,0.43
192504,-2.91,-2.69
192604,.39,0.61
192704,-1.98,-1.76
192804,1.53,1.75
192904,3.16,3.38
193004,-2.2,-1.98
193104,-2.71,-2.49
193204,0,0.22
193304,.57,0.79
193404,-2.93,-2.71
193504,-.81,-0.59
193604,-.26,-0.04
193704,.97,1.19
193804,1.25,1.47
193904,.37,0.59
194004,-.51,-0.29
194104,-2.49,-2.27
194204,-2.23,-2.01
194304,-.36,-0.14
194404,2.65,2.87
194504,.61,0.83
194604,.88,1.10
194704,2.55,2.77
194804,-.44,-0.22
194904,2.55,2.77
195004,-1.46,-1.24
195104,.76,0.98
195204,-1.66,-1.44
195304,-.88,-0.66
195404,-1.95,-1.73
195504,-3.43,-3.21
195604,-1.98,-1.76
195704,.51,0.73
195804,-.69,-0.47
195904,-1.24,-1.02
196004,-.34,-0.12
196104,2.32,2.54
196204,.42,0.64
196304,-2.3,-2.08
196404,2.53,2.75
196504,-.78,-0.56
196604,-.66,-0.44
196704,-2.54,-2.32
196804,-1.33,-1.11
196904,.08,0.30
197004,-.52,-0.30
197104,1.19,1.41
197204,-1.19,-0.97
197304,2.5,2.72
197404,1.57,1.79
197504,3.43,3.65
197604,2.46,2.68
197704,-.25,-0.03
197804,-1.48,-1.26
197904,2.68,2.90
198004,3.74,3.96
198104,-2.76,-2.54
198204,.98,1.20
198304,3.19,3.41
198404,.2,0.42
198504,-2.11,-1.89
198604,-3.04,-2.82
198704,-1.33,-1.11
198804,-2.46,-2.24
198904,-.87,-0.65
199004,-.36,-0.14
199104,1.04,1.26
199204,-1.13,-0.91
199304,-.47,-0.25
199404,-.22,0.00
199504,-.57,-0.35
199604,2.5,2.72
199704,.98,1.20
199804,2.94,3.16
199904,-1.68,-1.46
200004,-2.73,-2.51
200104,.85,1.07
200204,-1.82,-1.60
200304,1.28,1.50
200404,-1.58,-1.36
200504,2.07,2.29
200604,-2.15,-1.93
200704,-3.4,-3.18
200804,-3.58,-3.36
200904,.72,0.94
201004,-.96,-0.74
201104,-2.06,-1.84
201204,-3.08,-2.86
201304,1.36,1.58
201404,2.65,2.87
201504,-.71,-0.49
