Utah, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,3.17,2.77
189603,-1.14,-1.54
189703,2.5,2.10
189803,1.65,1.25
189903,.83,0.43
190003,-2.92,-3.32
190103,-2.1,-2.50
190203,-3.04,-3.44
190303,1.26,0.86
190403,.6,0.20
190503,1.01,0.61
190603,3.08,2.68
190703,6.22,5.82
190803,2.84,2.44
190903,5.74,5.34
191003,4.7,4.30
191103,2.31,1.91
191203,1.18,0.78
191303,2.18,1.78
191403,2.76,2.36
191503,1.22,0.82
191603,3.28,2.88
191703,3.67,3.27
191803,-1.42,-1.82
191903,-1.01,-1.41
192003,1.73,1.33
192103,2.22,1.82
192203,3.03,2.63
192303,2.69,2.29
192403,-.98,-1.38
192503,-2.17,-2.57
192603,-1.58,-1.98
192703,1.59,1.19
192803,-.78,-1.18
192903,.85,0.45
193003,-1.68,-2.08
193103,-2.28,-2.68
193203,1.62,1.22
193303,-1.72,-2.12
193403,-3.74,-4.14
193503,-4.14,-4.54
193603,-1.25,-1.65
193703,1.9,1.50
193803,.97,0.57
193903,-.38,-0.78
194003,-2.01,-2.41
194103,2.13,1.73
194203,5.55,5.15
194303,-1.07,-1.47
194403,.78,0.38
194503,.56,0.16
194603,-1.15,-1.55
194703,2.19,1.79
194803,2.97,2.57
194903,2.31,1.91
195003,-.53,-0.93
195103,-2.97,-3.37
195203,3.53,3.13
195303,-2.1,-2.50
195403,-2.68,-3.08
195503,-2.71,-3.11
195603,-2.03,-2.43
195703,-3.19,-3.59
195803,4.1,3.70
195903,-2.72,-3.12
196003,-2.69,-3.09
196103,-3.62,-4.02
196203,2.26,1.86
196303,-3.37,-3.77
196403,-3.21,-3.61
196503,1.38,0.98
196603,-.47,-0.87
196703,-.94,-1.34
196803,-.99,-1.39
196903,2.78,2.38
197003,-1.28,-1.68
197103,-.72,-1.12
197203,-1.78,-2.18
197303,4.4,4.00
197403,-1,-1.40
197503,.55,0.15
197603,-.95,-1.35
197703,-4.71,-5.11
197803,1.6,1.20
197903,4.27,3.87
198003,3.6,3.20
198103,-2.16,-2.56
198203,2.05,1.65
198303,5.65,5.25
198403,6.02,5.62
198503,4.76,4.36
198603,2.73,2.33
198703,-1.04,-1.44
198803,.1,-0.30
198903,-2.04,-2.44
199003,-4.62,-5.02
199103,-4.02,-4.42
199203,-1.4,-1.80
199303,3.08,2.68
199403,-1.34,-1.74
199503,2.07,1.67
199603,-1.38,-1.78
199703,1.61,1.21
199803,3.41,3.01
199903,1.58,1.18
200003,-1.84,-2.24
200103,-1.58,-1.98
200203,-3.55,-3.95
200303,-4.13,-4.53
200403,-3.27,-3.67
200503,4.79,4.39
200603,-.34,-0.74
200703,-1.46,-1.86
200803,-1.38,-1.78
200903,-1.97,-2.37
201003,.14,-0.26
201103,2.97,2.57
201203,-1.83,-2.23
201303,-4.16,-4.56
201403,-3.01,-3.41
201503,-3.64,-4.04
