New Hampshire, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-1.14,-0.73
189602,1.03,1.44
189702,-.92,-0.51
189802,3.47,3.88
189902,.97,1.38
190002,2.96,3.37
190102,-2.7,-2.29
190202,.76,1.17
190302,2.76,3.17
190402,-1.82,-1.41
190502,-1.94,-1.53
190602,-1.23,-0.82
190702,-2.15,-1.74
190802,2.16,2.57
190902,-1.89,-1.48
191002,-1.44,-1.03
191102,-3.27,-2.86
191202,-.94,-0.53
191302,-.94,-0.53
191402,-2.5,-2.09
191502,-2.22,-1.81
191602,.44,0.85
191702,-1.31,-0.90
191802,-1.24,-0.83
191902,-1.18,-0.77
192002,.74,1.15
192102,-.97,-0.56
192202,.13,0.54
192302,-1.68,-1.27
192402,-1.28,-0.87
192502,-1.32,-0.91
192602,-.39,0.02
192702,-.21,0.20
192802,2.52,2.93
192902,.49,0.90
193002,-2.78,-2.37
193102,-3.26,-2.85
193202,-1.05,-0.64
193302,.25,0.66
193402,-.79,-0.38
193502,-.13,0.28
193602,.83,1.24
193702,1.41,1.82
193802,-.16,0.25
193902,2.1,2.51
194002,-2.33,-1.92
194102,-.82,-0.41
194202,-3.09,-2.68
194302,-1.74,-1.33
194402,-1.52,-1.11
194502,.64,1.05
194602,-.04,0.37
194702,-.46,-0.05
194802,-2.92,-2.51
194902,-2.06,-1.65
195002,-2.81,-2.40
195102,1.19,1.60
195202,2.54,2.95
195302,1.22,1.63
195402,.34,0.75
195502,.62,1.03
195602,.58,0.99
195702,-1.72,-1.31
195802,-.11,0.30
195902,-.87,-0.46
196002,2.3,2.71
196102,-1.35,-0.94
196202,-1.77,-1.36
196302,-.42,-0.01
196402,-2.05,-1.64
196502,-3.21,-2.80
196602,-3.1,-2.69
196702,-2.05,-1.64
196802,-1.95,-1.54
196902,2.12,2.53
197002,-.1,0.31
197102,-.64,-0.23
197202,.51,0.92
197302,2.02,2.43
197402,2.51,2.92
197502,-.1,0.31
197602,2.68,3.09
197702,-1.1,-0.69
197802,-.89,-0.48
197902,-.39,0.02
198002,-2.64,-2.23
198102,2.64,3.05
198202,2.25,2.66
198302,.29,0.70
198402,2.48,2.89
198502,-2.25,-1.84
198602,-.29,0.12
198702,-1.33,-0.92
198802,-1.1,-0.69
198902,-1.68,-1.27
199002,1.61,2.02
199102,-.89,-0.48
199202,-.7,-0.29
199302,.05,0.46
199402,.04,0.45
199502,-.86,-0.45
199602,2.37,2.78
199702,3.04,3.45
199802,1.82,2.23
199902,.63,1.04
200002,.52,0.93
200102,.14,0.55
200202,-3.5,-3.09
200302,-1.85,-1.44
200402,-1.69,-1.28
200502,1.02,1.43
200602,4.12,4.53
200702,3.44,3.85
200802,4.25,4.66
200902,4,4.41
201002,3.63,4.04
201102,1.36,1.77
201202,-1.11,-0.70
201302,-.41,0.00
201402,1.38,1.79
201502,-.27,0.14
