Nebraska, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,.91,0.39
189602,-.99,-1.51
189702,2.67,2.15
189802,2.07,1.55
189902,-.36,-0.88
190002,-1.22,-1.74
190102,-1.53,-2.05
190202,-1.05,-1.57
190302,3.49,2.97
190402,3.22,2.70
190502,3.12,2.60
190602,4.98,4.46
190702,5.07,4.55
190802,2.47,1.95
190902,4,3.48
191002,.01,-0.51
191102,-1.51,-2.03
191202,1.54,1.02
191302,.21,-0.31
191402,-.24,-0.76
191502,1.31,0.79
191602,6.58,6.06
191702,1.84,1.32
191802,-.59,-1.11
191902,1.82,1.30
192002,2.51,1.99
192102,.05,-0.47
192202,-1.08,-1.60
192302,-.84,-1.36
192402,3.77,3.25
192502,-.02,-0.54
192602,-.31,-0.83
192702,.65,0.13
192802,-.72,-1.24
192902,1.19,0.67
193002,-.31,-0.83
193102,1.91,1.39
193202,1.41,0.89
193302,-1.81,-2.33
193402,-2.33,-2.85
193502,-5.71,-6.23
193602,-1.43,-1.95
193702,-5.04,-5.56
193802,-5,-5.52
193902,-2.98,-3.50
194002,-4.88,-5.40
194102,-3.88,-4.40
194202,1.31,0.79
194302,-.57,-1.09
194402,.69,0.17
194502,2.68,2.16
194602,-.82,-1.34
194702,2.82,2.30
194802,-.22,-0.74
194902,1.34,0.82
195002,1.57,1.05
195102,1.83,1.31
195202,6.33,5.81
195302,-.64,-1.16
195402,-1.76,-2.28
195502,-2.45,-2.97
195602,-4.87,-5.39
195702,-6,-6.52
195802,2.69,2.17
195902,1.68,1.16
196002,2.86,2.34
196102,-1.21,-1.73
196202,1.08,0.56
196302,-.12,-0.64
196402,-1.72,-2.24
196502,-2.02,-2.54
196602,3.35,2.83
196702,-1.09,-1.61
196802,-.73,-1.25
196902,1.89,1.37
197002,-.6,-1.12
197102,1.16,0.64
197202,-.52,-1.04
197302,2.18,1.66
197402,5.01,4.49
197502,-1.69,-2.21
197602,-1.31,-1.83
197702,-3.17,-3.69
197802,2.05,1.53
197902,1.17,0.65
198002,3.39,2.87
198102,-2.89,-3.41
198202,-.34,-0.86
198302,3.86,3.34
198402,3.34,2.82
198502,3.02,2.50
198602,1.74,1.22
198702,3.25,2.73
198802,-.18,-0.70
198902,-1.51,-2.03
199002,-3.88,-4.40
199102,-3.15,-3.67
199202,.99,0.47
199302,3.38,2.86
199402,7.01,6.49
199502,2.98,2.46
199602,2.06,1.54
199702,3.03,2.51
199802,2.22,1.70
199902,3.06,2.54
200002,-1.21,-1.73
200102,1.12,0.60
200202,-.93,-1.45
200302,-3.11,-3.63
200402,-2.65,-3.17
200502,-.49,-1.01
200602,-1.61,-2.13
200702,1.43,0.91
200802,2.14,1.62
200902,4.77,4.25
201002,5.82,5.30
201102,4.32,3.80
201202,.64,0.12
201302,-4.98,-5.50
201402,-1.55,-2.07
201502,1.96,1.44
201602,3.91,3.39
