Arizona, Palmer Drought Severity Index (PDSI), July
Base Period: 1901-2000
Date,Value,Anomaly
189507,1.71,1.36
189607,1.05,0.70
189707,-.72,-1.07
189807,-1.11,-1.46
189907,-2.36,-2.71
190007,-5.07,-5.42
190107,-2.46,-2.81
190207,-5.56,-5.91
190307,-2.18,-2.53
190407,-4.72,-5.07
190507,7.44,7.09
190607,6.21,5.86
190707,5.68,5.33
190807,2.59,2.24
190907,2.76,2.41
191007,-1.79,-2.14
191107,2.48,2.13
191207,2.46,2.11
191307,-.33,-0.68
191407,1.45,1.10
191507,7.29,6.94
191607,5.02,4.67
191707,4.58,4.23
191807,.29,-0.06
191907,3.76,3.41
192007,-.2,-0.55
192107,1.56,1.21
192207,2.01,1.66
192307,.43,0.08
192407,-.1,-0.45
192507,-2.17,-2.52
192607,-.78,-1.13
192707,1.95,1.60
192807,-1.83,-2.18
192907,.63,0.28
193007,.97,0.62
193107,1.65,1.30
193207,4.56,4.21
193307,1.28,0.93
193407,-4.44,-4.79
193507,1.95,1.60
193607,.26,-0.09
193707,2.33,1.98
193807,-.43,-0.78
193907,-1.59,-1.94
194007,-2.97,-3.32
194107,8.17,7.82
194207,-1.02,-1.37
194307,-3.13,-3.48
194407,-.44,-0.79
194507,.99,0.64
194607,.22,-0.13
194707,-3.93,-4.28
194807,-2.14,-2.49
194907,2.15,1.80
195007,-1.56,-1.91
195107,-3.58,-3.93
195207,4.18,3.83
195307,1.04,0.69
195407,-1.14,-1.49
195507,1.2,0.85
195607,-3.69,-4.04
195707,.4,0.05
195807,1.26,0.91
195907,-3.51,-3.86
196007,-1.07,-1.42
196107,-3.4,-3.75
196207,-.69,-1.04
196307,-3.43,-3.78
196407,.24,-0.11
196507,2.77,2.42
196607,3.11,2.76
196707,.68,0.33
196807,2.04,1.69
196907,.43,0.08
197007,-1.22,-1.57
197107,-3.85,-4.20
197207,-3.7,-4.05
197307,6.37,6.02
197407,-3.06,-3.41
197507,-.75,-1.10
197607,-.77,-1.12
197707,-2.37,-2.72
197807,3.66,3.31
197907,6.81,6.46
198007,-.09,-0.44
198107,-2.22,-2.57
198207,.63,0.28
198307,5.46,5.11
198407,1.42,1.07
198507,3.67,3.32
198607,.24,-0.11
198707,-.35,-0.70
198807,.71,0.36
198907,-3.88,-4.23
199007,.91,0.56
199107,-.51,-0.86
199207,4.79,4.44
199307,-.96,-1.31
199407,-2.45,-2.80
199507,-.63,-0.98
199607,-5.02,-5.37
199707,-4.21,-4.56
199807,3.94,3.59
199907,1.36,1.01
200007,-5.14,-5.49
200107,-.5,-0.85
200207,-5.67,-6.02
200307,-3.93,-4.28
200407,-4.3,-4.65
200507,-.49,-0.84
200607,-3.77,-4.12
200707,-4.21,-4.56
200807,-.75,-1.10
200907,-3.11,-3.46
201007,2.29,1.94
201107,-2.91,-3.26
201207,-3.71,-4.06
201307,-3.01,-3.36
201407,-4.64,-4.99
201507,-1.54,-1.89
