Arkansas, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.37,0.41
189601,-.44,-0.40
189701,-2.46,-2.42
189801,1.27,1.31
189901,.62,0.66
190001,-2.6,-2.56
190101,-.93,-0.89
190201,-2.82,-2.78
190301,1.43,1.47
190401,-1.63,-1.59
190501,.27,0.31
190601,3.55,3.59
190701,4.2,4.24
190801,-1,-0.96
190901,-1.65,-1.61
191001,-1.95,-1.91
191101,-1.82,-1.78
191201,.56,0.60
191301,1.05,1.09
191401,-1.27,-1.23
191501,.51,0.55
191601,3.36,3.40
191701,-2.2,-2.16
191801,-1.6,-1.56
191901,-.24,-0.20
192001,2.34,2.38
192101,.9,0.94
192201,-1.39,-1.35
192301,.38,0.42
192401,-.09,-0.05
192501,-2.76,-2.72
192601,-1.76,-1.72
192701,1.64,1.68
192801,-.78,-0.74
192901,.51,0.55
193001,1.55,1.59
193101,-2.84,-2.80
193201,2.85,2.89
193301,-.19,-0.15
193401,-1.09,-1.05
193501,.84,0.88
193601,-1.61,-1.57
193701,2.52,2.56
193801,1.69,1.73
193901,.64,0.68
194001,-3.04,-3.00
194101,-.41,-0.37
194201,-.58,-0.54
194301,-1.3,-1.26
194401,-3.96,-3.92
194501,.6,0.64
194601,4.49,4.53
194701,-.95,-0.91
194801,-.14,-0.10
194901,1.88,1.92
195001,2.98,3.02
195101,-.52,-0.48
195201,1.42,1.46
195301,.25,0.29
195401,-3.12,-3.08
195501,-4.84,-4.80
195601,-3.45,-3.41
195701,.56,0.60
195801,3.67,3.71
195901,-1.1,-1.06
196001,-.03,0.01
196101,-.89,-0.85
196201,2.55,2.59
196301,-1.72,-1.68
196401,-4.18,-4.14
196501,-2.17,-2.13
196601,-1.73,-1.69
196701,-2.06,-2.02
196801,1.78,1.82
196901,2.99,3.03
197001,-1.24,-1.20
197101,-.79,-0.75
197201,-.83,-0.79
197301,2.65,2.69
197401,4.64,4.68
197501,3.61,3.65
197601,-1.09,-1.05
197701,-1.14,-1.10
197801,-.75,-0.71
197901,1.25,1.29
198001,-.36,-0.32
198101,-2.94,-2.90
198201,-.57,-0.53
198301,-.71,-0.67
198401,.3,0.34
198501,-.17,-0.13
198601,-1.12,-1.08
198701,.14,0.18
198801,-.29,-0.25
198901,1.12,1.16
199001,.39,0.43
199101,2.24,2.28
199201,-.4,-0.36
199301,1.94,1.98
199401,1.82,1.86
199501,2.05,2.09
199601,-1.9,-1.86
199701,2.18,2.22
199801,1.64,1.68
199901,-.88,-0.84
200001,-3,-2.96
200101,.72,0.76
200201,1.78,1.82
200301,-.83,-0.79
200401,-.74,-0.70
200501,.33,0.37
200601,-4.01,-3.97
200701,1.78,1.82
200801,-1.53,-1.49
200901,2.32,2.36
201001,6.01,6.05
201101,-3.75,-3.71
201201,-.87,-0.83
201301,.55,0.59
201401,-.46,-0.42
201501,-.58,-0.54
