Utah, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-.81,-1.27
189609,1.11,0.65
189709,.9,0.44
189809,-.87,-1.33
189909,-.79,-1.25
190009,-2.95,-3.41
190109,-2.34,-2.80
190209,-4.05,-4.51
190309,-.17,-0.63
190409,-.36,-0.82
190509,2.07,1.61
190609,5.44,4.98
190709,5.67,5.21
190809,3.64,3.18
190909,5.94,5.48
191009,1.17,0.71
191109,2.38,1.92
191209,1.88,1.42
191309,2.03,1.57
191409,4.12,3.66
191509,1.7,1.24
191609,1.82,1.36
191709,.22,-0.24
191809,.37,-0.09
191909,.38,-0.08
192009,2.35,1.89
192109,3.52,3.06
192209,3.01,2.55
192309,4.11,3.65
192409,-2.43,-2.89
192509,1.57,1.11
192609,-1.52,-1.98
192709,3.73,3.27
192809,-2.24,-2.70
192909,2.84,2.38
193009,1.49,1.03
193109,-4.26,-4.72
193209,-.38,-0.84
193309,-1.5,-1.96
193409,-6.29,-6.75
193509,-2.17,-2.63
193609,-.34,-0.80
193709,1.97,1.51
193809,-.06,-0.52
193909,-1.02,-1.48
194009,1.61,1.15
194109,4.85,4.39
194209,-.79,-1.25
194309,-1.84,-2.30
194409,-1.29,-1.75
194509,-.26,-0.72
194609,-2.5,-2.96
194709,3.54,3.08
194809,1.07,0.61
194909,-.45,-0.91
195009,-1.61,-2.07
195109,.04,-0.42
195209,-.29,-0.75
195309,-2.24,-2.70
195409,-3.33,-3.79
195509,-2.26,-2.72
195609,-3.97,-4.43
195709,2.58,2.12
195809,-1.18,-1.64
195909,-3.01,-3.47
196009,-4.43,-4.89
196109,1.87,1.41
196209,-.71,-1.17
196309,-1.99,-2.45
196409,-1.78,-2.24
196509,6.37,5.91
196609,-1.79,-2.25
196709,2.34,1.88
196809,2,1.54
196909,2.24,1.78
197009,.63,0.17
197109,.08,-0.38
197209,.28,-0.18
197309,3.95,3.49
197409,-3.63,-4.09
197509,-.38,-0.84
197609,-1.38,-1.84
197709,-4.67,-5.13
197809,1.41,0.95
197909,-1.22,-1.68
198009,4.01,3.55
198109,.16,-0.30
198209,4.87,4.41
198309,7.18,6.72
198409,6.13,5.67
198509,3.52,3.06
198609,3.74,3.28
198709,-.62,-1.08
198809,-1.09,-1.55
198909,-3.61,-4.07
199009,-4.69,-5.15
199109,-1.75,-2.21
199209,-2.64,-3.10
199309,2.33,1.87
199409,.01,-0.45
199509,-.17,-0.63
199609,.3,-0.16
199709,5.06,4.60
199809,5.11,4.65
199909,-.05,-0.51
200009,-3.56,-4.02
200109,-2.72,-3.18
200209,-4.87,-5.33
200309,-4.85,-5.31
200409,.2,-0.26
200509,-.03,-0.49
200609,.42,-0.04
200709,-2.88,-3.34
200809,-2.01,-2.47
200909,-1.91,-2.37
201009,-.74,-1.20
201109,5.13,4.67
201209,-4.25,-4.71
201309,-2.26,-2.72
201409,-1.14,-1.60
201509,-2.33,-2.79
