New Hampshire, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,-1.74,-1.48
189603,2.36,2.62
189703,-.62,-0.36
189803,2.13,2.39
189903,2.21,2.47
190003,3.6,3.86
190103,.62,0.88
190203,1.62,1.88
190303,3.26,3.52
190403,-2.04,-1.78
190503,-2,-1.74
190603,-1,-0.74
190703,-2.37,-2.11
190803,-.43,-0.17
190903,-1.96,-1.70
191003,-2.25,-1.99
191103,-2.79,-2.53
191203,.61,0.87
191303,1.21,1.47
191403,.48,0.74
191503,-3.42,-3.16
191603,.14,0.40
191703,-1.28,-1.02
191803,-1.61,-1.35
191903,.51,0.77
192003,1,1.26
192103,-1.13,-0.87
192203,.78,1.04
192303,-1.8,-1.54
192403,-2.08,-1.82
192503,-.6,-0.34
192603,-.79,-0.53
192703,-1.01,-0.75
192803,1.79,2.05
192903,.64,0.90
193003,-1.93,-1.67
193103,-2.95,-2.69
193203,-.9,-0.64
193303,.94,1.20
193403,-.8,-0.54
193503,-.84,-0.58
193603,3.13,3.39
193703,1.33,1.59
193803,-.55,-0.29
193903,2.01,2.27
194003,.43,0.69
194103,-1.28,-1.02
194203,-1.83,-1.57
194303,-1.89,-1.63
194403,-1.23,-0.97
194503,-.88,-0.62
194603,-1.18,-0.92
194703,-.42,-0.16
194803,-2.85,-2.59
194903,-2.45,-2.19
195003,-2.39,-2.13
195103,1.65,1.91
195203,2.14,2.40
195303,3.12,3.38
195403,.56,0.82
195503,.85,1.11
195603,1.13,1.39
195703,-2.37,-2.11
195803,-.51,-0.25
195903,-.67,-0.41
196003,1.68,1.94
196103,-1.6,-1.34
196203,-2.21,-1.95
196303,-.49,-0.23
196403,-1.49,-1.23
196503,-3.93,-3.67
196603,-2.99,-2.73
196703,-2.48,-2.22
196803,.43,0.69
196903,1.71,1.97
197003,-.14,0.12
197103,-.61,-0.35
197203,1.24,1.50
197303,1.41,1.67
197403,2.7,2.96
197503,-.13,0.13
197603,2.38,2.64
197703,-.32,-0.06
197803,-1.16,-0.90
197903,-.49,-0.23
198003,-1.77,-1.51
198103,1.37,1.63
198203,1.81,2.07
198303,1.68,1.94
198403,2.5,2.76
198503,-2.12,-1.86
198603,.32,0.58
198703,-1.44,-1.18
198803,-1.75,-1.49
198903,-1.8,-1.54
199003,.92,1.18
199103,-.64,-0.38
199203,-.36,-0.10
199303,.45,0.71
199403,.71,0.97
199503,-1.12,-0.86
199603,1.63,1.89
199703,3.06,3.32
199803,1.85,2.11
199903,1.29,1.55
200003,.44,0.70
200103,1.28,1.54
200203,-2.92,-2.66
200303,-1.76,-1.50
200403,-2.25,-1.99
200503,1.16,1.42
200603,2.81,3.07
200703,3.13,3.39
200803,4.58,4.84
200903,3.32,3.58
201003,4.77,5.03
201103,1.85,2.11
201203,-1.99,-1.73
201303,-.87,-0.61
201403,1.54,1.80
201503,-1.03,-0.77
201603,0,0.26
