Maine, Palmer Drought Severity Index (PDSI), November
Base Period: 1901-2000
Date,Value,Anomaly
189511,-2.57,-2.24
189611,1.84,2.17
189711,1.57,1.90
189811,1.35,1.68
189911,-1.99,-1.66
190011,-.13,0.20
190111,-1.74,-1.41
190211,1.68,2.01
190311,-3.13,-2.80
190411,-.91,-0.58
190511,-2.3,-1.97
190611,-.81,-0.48
190711,3.05,3.38
190811,-3.32,-2.99
190911,-.32,0.01
191011,-2.1,-1.77
191111,-3.02,-2.69
191211,1.83,2.16
191311,-.85,-0.52
191411,-2.41,-2.08
191511,-1.21,-0.88
191611,-.46,-0.13
191711,-1.07,-0.74
191811,-.13,0.20
191911,-.67,-0.34
192011,1.4,1.73
192111,-2.91,-2.58
192211,-1.94,-1.61
192311,-2.14,-1.81
192411,-2.31,-1.98
192511,2.38,2.71
192611,1.21,1.54
192711,2.73,3.06
192811,-.6,-0.27
192911,-2.85,-2.52
193011,-2.61,-2.28
193111,-1.32,-0.99
193211,1.57,1.90
193311,-.45,-0.12
193411,-.34,-0.01
193511,-1.09,-0.76
193611,-.6,-0.27
193711,.97,1.30
193811,-.83,-0.50
193911,-2.1,-1.77
194011,.79,1.12
194111,-2.95,-2.62
194211,-2,-1.67
194311,2.87,3.20
194411,.95,1.28
194511,.63,0.96
194611,-2.26,-1.93
194711,-3.02,-2.69
194811,-3.09,-2.76
194911,-3.68,-3.35
195011,1.48,1.81
195111,3.14,3.47
195211,-3.33,-3.00
195311,-1.44,-1.11
195411,5.41,5.74
195511,-2.97,-2.64
195611,-1.38,-1.05
195711,.07,0.40
195811,-.11,0.22
195911,1.97,2.30
196011,-.94,-0.61
196111,-.76,-0.43
196211,2.43,2.76
196311,2.44,2.77
196411,-2.48,-2.15
196511,-3.14,-2.81
196611,-1.61,-1.28
196711,-.43,-0.10
196811,.31,0.64
196911,2.19,2.52
197011,-1.12,-0.79
197111,-2.01,-1.68
197211,2.36,2.69
197311,2.51,2.84
197411,-.33,0.00
197511,.31,0.64
197611,3,3.33
197711,2.82,3.15
197811,-3.45,-3.12
197911,-.29,0.04
198011,-.58,-0.25
198111,3.24,3.57
198211,-1.25,-0.92
198311,2.06,2.39
198411,-2.92,-2.59
198511,-.09,0.24
198611,-.51,-0.18
198711,-1.28,-0.95
198811,1.19,1.52
198911,1.28,1.61
199011,2.72,3.05
199111,-.38,-0.05
199211,-.62,-0.29
199311,.5,0.83
199411,-1.24,-0.91
199511,1.76,2.09
199611,2.36,2.69
199711,-1.09,-0.76
199811,-.86,-0.53
199911,1.71,2.04
200011,-1.88,-1.55
200111,-5.4,-5.07
200211,-2.47,-2.14
200311,1.61,1.94
200411,-.38,-0.05
200511,5.74,6.07
200611,5.07,5.40
200711,2.77,3.10
200811,4.9,5.23
200911,3.98,4.31
201011,1.65,1.98
201111,-.89,-0.56
201211,-1.16,-0.83
201311,2.23,2.56
201411,1.9,2.23
201511,.67,1.00
