Colorado, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,3.02,2.52
189609,.62,0.12
189709,1.91,1.41
189809,1.86,1.36
189909,-1.54,-2.04
190009,-2.3,-2.80
190109,-3.18,-3.68
190209,-4.25,-4.75
190309,.14,-0.36
190409,1.18,0.68
190509,-.33,-0.83
190609,3.09,2.59
190709,0,-0.50
190809,-.48,-0.98
190909,4.31,3.81
191009,-2.12,-2.62
191109,.38,-0.12
191209,3.88,3.38
191309,.53,0.03
191409,3.81,3.31
191509,4.95,4.45
191609,2.73,2.23
191709,-.19,-0.69
191809,.93,0.43
191909,.92,0.42
192009,3.27,2.77
192109,4.16,3.66
192209,-1.94,-2.44
192309,4.62,4.12
192409,-1.89,-2.39
192509,.72,0.22
192609,-.56,-1.06
192709,3.93,3.43
192809,2.25,1.75
192909,4.07,3.57
193009,2.01,1.51
193109,-1.92,-2.42
193209,-.82,-1.32
193309,-1.37,-1.87
193409,-5.93,-6.43
193509,-1.94,-2.44
193609,-2.54,-3.04
193709,-2.76,-3.26
193809,2.6,2.10
193909,-3.48,-3.98
194009,.86,0.36
194109,5.22,4.72
194209,4.27,3.77
194309,-.77,-1.27
194409,-1.54,-2.04
194509,0,-0.50
194609,-.48,-0.98
194709,3.65,3.15
194809,2.06,1.56
194909,3.58,3.08
195009,-1.64,-2.14
195109,.21,-0.29
195209,-1.35,-1.85
195309,-2.09,-2.59
195409,-4.77,-5.27
195509,-4.18,-4.68
195609,-4.53,-5.03
195709,4.76,4.26
195809,-.45,-0.95
195909,.64,0.14
196009,-2.42,-2.92
196109,2.45,1.95
196209,-1.11,-1.61
196309,-3.42,-3.92
196409,-4.72,-5.22
196509,6.11,5.61
196609,-1.1,-1.60
196709,2.06,1.56
196809,-.5,-1.00
196909,2.43,1.93
197009,2.9,2.40
197109,1.21,0.71
197209,.16,-0.34
197309,3.54,3.04
197409,-2.56,-3.06
197509,-.65,-1.15
197609,.69,0.19
197709,-4.24,-4.74
197809,-3.05,-3.55
197909,2.44,1.94
198009,-1.72,-2.22
198109,-3.52,-4.02
198209,2.72,2.22
198309,3.44,2.94
198409,3.87,3.37
198509,3.43,2.93
198609,3.22,2.72
198709,2.73,2.23
198809,.37,-0.13
198909,-2.06,-2.56
199009,-1.83,-2.33
199109,.95,0.45
199209,1.52,1.02
199309,2.48,1.98
199409,-1.68,-2.18
199509,4.57,4.07
199609,1.43,0.93
199709,4.38,3.88
199809,2.4,1.90
199909,4.16,3.66
200009,-3.15,-3.65
200109,-2.64,-3.14
200209,-7.85,-8.35
200309,-4.44,-4.94
200409,.75,0.25
200509,-.56,-1.06
200609,1,0.50
200709,.38,-0.12
200809,-.24,-0.74
200909,1.1,0.60
201009,-.7,-1.20
201109,-.5,-1.00
201209,-6.46,-6.96
201309,1.74,1.24
201409,1.63,1.13
201509,1.82,1.32
