Georgia, Palmer Drought Severity Index (PDSI), March
Base Period: 1901-2000
Date,Value,Anomaly
189503,1.26,1.24
189603,-1.4,-1.42
189703,1.9,1.88
189803,-4.81,-4.83
189903,-.23,-0.25
190003,1.33,1.31
190103,1.11,1.09
190203,3.25,3.23
190303,1.68,1.66
190403,-1.17,-1.19
190503,-1.73,-1.75
190603,-.35,-0.37
190703,-2.91,-2.93
190803,1.75,1.73
190903,.75,0.73
191003,-2.19,-2.21
191103,-2.38,-2.40
191203,3.19,3.17
191303,3.6,3.58
191403,-2.07,-2.09
191503,-.6,-0.62
191603,-1.89,-1.91
191703,.89,0.87
191803,-2.78,-2.80
191903,1.75,1.73
192003,1.45,1.43
192103,-2.07,-2.09
192203,1.1,1.08
192303,-.01,-0.03
192403,-.38,-0.40
192503,-1.94,-1.96
192603,-1.31,-1.33
192703,-2.66,-2.68
192803,.74,0.72
192903,4.67,4.65
193003,-.57,-0.59
193103,-1.25,-1.27
193203,-3.22,-3.24
193303,-.43,-0.45
193403,-3.28,-3.30
193503,-2.78,-2.80
193603,1.5,1.48
193703,.49,0.47
193803,-2.87,-2.89
193903,.82,0.80
194003,-1.36,-1.38
194103,-1.8,-1.82
194203,1.68,1.66
194303,-.13,-0.15
194403,1.98,1.96
194503,-2.56,-2.58
194603,1.82,1.80
194703,.79,0.77
194803,3.96,3.94
194903,2.36,2.34
195003,-1.94,-1.96
195103,-1.28,-1.30
195203,.88,0.86
195303,-.57,-0.59
195403,-1.86,-1.88
195503,-4.85,-4.87
195603,-2.62,-2.64
195703,-2.48,-2.50
195803,1.98,1.96
195903,1.29,1.27
196003,2.13,2.11
196103,.63,0.61
196203,.89,0.87
196303,.1,0.08
196403,2.61,2.59
196503,4.42,4.40
196603,2.19,2.17
196703,-1.15,-1.17
196803,-1.52,-1.54
196903,-.5,-0.52
197003,1.6,1.58
197103,1.67,1.65
197203,2.21,2.19
197303,1.73,1.71
197403,.55,0.53
197503,2.4,2.38
197603,-.92,-0.94
197703,.59,0.57
197803,-.9,-0.92
197903,.59,0.57
198003,2.83,2.81
198103,-3.17,-3.19
198203,.18,0.16
198303,1.95,1.93
198403,2.29,2.27
198503,-2.78,-2.80
198603,-1.16,-1.18
198703,2.28,2.26
198803,-2.61,-2.63
198903,-3.03,-3.05
199003,-.09,-0.11
199103,1.38,1.36
199203,-.39,-0.41
199303,3.84,3.82
199403,.65,0.63
199503,-.73,-0.75
199603,1.56,1.54
199703,-.99,-1.01
199803,4.07,4.05
199903,-3.24,-3.26
200003,-3.59,-3.61
200103,-1.95,-1.97
200203,-3.16,-3.18
200303,1.69,1.67
200403,-1.66,-1.68
200503,1.9,1.88
200603,-1.58,-1.60
200703,-3.76,-3.78
200803,-3.36,-3.38
200903,.42,0.40
201003,-.47,-0.49
201103,-2.53,-2.55
201203,-4.84,-4.86
201303,1.43,1.41
201403,2.2,2.18
201503,-.83,-0.85
