Maine, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-.74,-0.52
189602,.82,1.04
189702,-1.08,-0.86
189802,3.86,4.08
189902,.11,0.33
190002,3.31,3.53
190102,-1.23,-1.01
190202,.86,1.08
190302,2.48,2.70
190402,-2.58,-2.36
190502,-1.5,-1.28
190602,-2.26,-2.04
190702,-1.03,-0.81
190802,2.76,2.98
190902,2.02,2.24
191002,-.23,-0.01
191102,-2.38,-2.16
191202,.18,0.40
191302,.95,1.17
191402,-1.16,-0.94
191502,-1.68,-1.46
191602,-.87,-0.65
191702,.51,0.73
191802,-.98,-0.76
191902,-.65,-0.43
192002,1.44,1.66
192102,-.74,-0.52
192202,-3.06,-2.84
192302,.15,0.37
192402,-1.86,-1.64
192502,-2.21,-1.99
192602,-.22,0.00
192702,-.31,-0.09
192802,2.28,2.50
192902,-.63,-0.41
193002,-2.56,-2.34
193102,-3.05,-2.83
193202,-1.44,-1.22
193302,-.04,0.18
193402,-.26,-0.04
193502,-.3,-0.08
193602,1.36,1.58
193702,.8,1.02
193802,-.29,-0.07
193902,.17,0.39
194002,-2.57,-2.35
194102,-1.16,-0.94
194202,-2.53,-2.31
194302,-2.22,-2.00
194402,-1.68,-1.46
194502,1.04,1.26
194602,-.04,0.18
194702,.5,0.72
194802,-3.95,-3.73
194902,-2.47,-2.25
195002,-2.98,-2.76
195102,2.49,2.71
195202,3.68,3.90
195302,.84,1.06
195402,.91,1.13
195502,5.32,5.54
195602,-2.48,-2.26
195702,-2.31,-2.09
195802,2.27,2.49
195902,-1,-0.78
196002,2.96,3.18
196102,.19,0.41
196202,-1.41,-1.19
196302,-.01,0.21
196402,-1.3,-1.08
196502,-1.97,-1.75
196602,-2.99,-2.77
196702,-1.82,-1.60
196802,-.85,-0.63
196902,1.73,1.95
197002,1.1,1.32
197102,.84,1.06
197202,.49,0.71
197302,2.78,3.00
197402,3.29,3.51
197502,-.95,-0.73
197602,1.71,1.93
197702,2.41,2.63
197802,-.93,-0.71
197902,1.64,1.86
198002,-2.31,-2.09
198102,-1.17,-0.95
198202,-.07,0.15
198302,.09,0.31
198402,2.6,2.82
198502,-3.11,-2.89
198602,-.72,-0.50
198702,-1.67,-1.45
198802,-1.34,-1.12
198902,-1.71,-1.49
199002,-.53,-0.31
199102,-.96,-0.74
199202,-.22,0.00
199302,.21,0.43
199402,.69,0.91
199502,-.8,-0.58
199602,2.25,2.47
199702,2.8,3.02
199802,1.32,1.54
199902,.62,0.84
200002,1.35,1.57
200102,-1.93,-1.71
200202,-4.64,-4.42
200302,-2.83,-2.61
200402,-1.64,-1.42
200502,-.53,-0.31
200602,5.01,5.23
200702,2.77,2.99
200802,3.45,3.67
200902,3.78,4.00
201002,2.98,3.20
201102,1.65,1.87
201202,-1.29,-1.07
201302,-.94,-0.72
201402,1.76,1.98
201502,-.57,-0.35
