Georgia, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,.91,0.76
189602,-1.12,-1.27
189702,1.09,0.94
189802,-4.29,-4.44
189902,5.21,5.06
190002,1.21,1.06
190102,.75,0.60
190202,2.49,2.34
190302,1.63,1.48
190402,-.39,-0.54
190502,-1.19,-1.34
190602,-.61,-0.76
190702,-1.76,-1.91
190802,2.45,2.30
190902,.14,-0.01
191002,-1.18,-1.33
191102,-1.89,-2.04
191202,2.54,2.39
191302,2.84,2.69
191402,-1.74,-1.89
191502,-.14,-0.29
191602,-1.11,-1.26
191702,.42,0.27
191802,-1.7,-1.85
191902,2.25,2.10
192002,.96,0.81
192102,-.78,-0.93
192202,.42,0.27
192302,-.2,-0.35
192402,-.15,-0.30
192502,-.94,-1.09
192602,-1.89,-2.04
192702,-2.26,-2.41
192802,.37,0.22
192902,3.98,3.83
193002,-1.06,-1.21
193102,-.89,-1.04
193202,-3.5,-3.65
193302,2.81,2.66
193402,-3.78,-3.93
193502,-2.5,-2.65
193602,2.13,1.98
193702,.87,0.72
193802,-2.37,-2.52
193902,1.37,1.22
194002,-1.09,-1.24
194102,-2,-2.15
194202,.88,0.73
194302,-.97,-1.12
194402,.39,0.24
194502,-1.54,-1.69
194602,1.95,1.80
194702,-.85,-1.00
194802,3.18,3.03
194902,3.35,3.20
195002,-2.59,-2.74
195102,-1.74,-1.89
195202,.24,0.09
195302,.58,0.43
195402,-1.44,-1.59
195502,-4.19,-4.34
195602,-2.75,-2.90
195702,-2.7,-2.85
195802,2.05,1.90
195902,.5,0.35
196002,2.13,1.98
196102,.87,0.72
196202,.67,0.52
196302,.49,0.34
196402,2.32,2.17
196502,4.11,3.96
196602,2.39,2.24
196702,-.06,-0.21
196802,-1.05,-1.20
196902,-.71,-0.86
197002,.92,0.77
197102,.98,0.83
197202,2.72,2.57
197302,1.48,1.33
197402,1.54,1.39
197502,2.05,1.90
197602,-1.12,-1.27
197702,-.62,-0.77
197802,-.7,-0.85
197902,1.43,1.28
198002,.93,0.78
198102,-3.31,-3.46
198202,1.16,1.01
198302,1.45,1.30
198402,2.13,1.98
198502,-1.86,-2.01
198602,-.62,-0.77
198702,2.39,2.24
198802,-2.34,-2.49
198902,-2.99,-3.14
199002,3.34,3.19
199102,.76,0.61
199202,-.4,-0.55
199302,3.53,3.38
199402,.32,0.17
199502,3.9,3.75
199602,.8,0.65
199702,.77,0.62
199802,4.13,3.98
199902,-2.78,-2.93
200002,-3.72,-3.87
200102,-3.53,-3.68
200202,-3.62,-3.77
200302,1.29,1.14
200402,-.28,-0.43
200502,1.45,1.30
200602,-.52,-0.67
200702,-3,-3.15
200802,-3.24,-3.39
200902,-1.18,-1.33
201002,-.16,-0.31
201102,-3.01,-3.16
201202,-4.67,-4.82
201302,1.8,1.65
201402,2.6,2.45
201502,.79,0.64
201602,1.8,1.65
