South Carolina, Palmer Drought Severity Index (PDSI), July
Base Period: 1901-2000
Date,Value,Anomaly
189507,-.69,-0.74
189607,-1.41,-1.46
189707,-.16,-0.21
189807,.5,0.45
189907,-2.1,-2.15
190007,-.21,-0.26
190107,2.43,2.38
190207,-1.7,-1.75
190307,-.51,-0.56
190407,-1.97,-2.02
190507,-1.13,-1.18
190607,2.29,2.24
190707,1.36,1.31
190807,1.84,1.79
190907,2.16,2.11
191007,1.44,1.39
191107,-4.05,-4.10
191207,2.82,2.77
191307,-.72,-0.77
191407,-2.19,-2.24
191507,.67,0.62
191607,3.15,3.10
191707,.8,0.75
191807,-.37,-0.42
191907,2.23,2.18
192007,-.82,-0.87
192107,1.09,1.04
192207,3.1,3.05
192307,-.82,-0.87
192407,2.06,2.01
192507,-3.37,-3.42
192607,-2.02,-2.07
192707,-3.05,-3.10
192807,2.57,2.52
192907,4.34,4.29
193007,-1.86,-1.91
193107,-2.05,-2.10
193207,.03,-0.02
193307,-1.9,-1.95
193407,-2.53,-2.58
193507,.58,0.53
193607,-2,-2.05
193707,-.69,-0.74
193807,1.74,1.69
193907,.03,-0.02
194007,-2.35,-2.40
194107,2.2,2.15
194207,-.2,-0.25
194307,-.11,-0.16
194407,-1.57,-1.62
194507,.35,0.30
194607,.36,0.31
194707,.69,0.64
194807,2.34,2.29
194907,1.26,1.21
195007,-1.4,-1.45
195107,-2.18,-2.23
195207,-2.46,-2.51
195307,-1.98,-2.03
195407,-3.29,-3.34
195507,-2.58,-2.63
195607,-2.53,-2.58
195707,-.52,-0.57
195807,2.55,2.50
195907,1.63,1.58
196007,.7,0.65
196107,2.45,2.40
196207,-.58,-0.63
196307,-.02,-0.07
196407,3.68,3.63
196507,4.31,4.26
196607,1.99,1.94
196707,1.61,1.56
196807,1.41,1.36
196907,1,0.95
197007,-1.76,-1.81
197107,2.38,2.33
197207,2.51,2.46
197307,-.22,-0.27
197407,.33,0.28
197507,3.62,3.57
197607,2.09,2.04
197707,-2.37,-2.42
197807,-.65,-0.70
197907,2.32,2.27
198007,-1.21,-1.26
198107,-2.9,-2.95
198207,1.7,1.65
198307,-1.43,-1.48
198407,3.28,3.23
198507,.61,0.56
198607,-4.44,-4.49
198707,-1.74,-1.79
198807,-2.49,-2.54
198907,1.94,1.89
199007,-2.67,-2.72
199107,2.26,2.21
199207,-.7,-0.75
199307,-2.38,-2.43
199407,1.25,1.20
199507,1.58,1.53
199607,-1.1,-1.15
199707,1.59,1.54
199807,-1.32,-1.37
199907,-2.33,-2.38
200007,-2.8,-2.85
200107,-2.18,-2.23
200207,-5.3,-5.35
200307,4.32,4.27
200407,.05,0.00
200507,1.28,1.23
200607,-1.61,-1.66
200707,-2.02,-2.07
200807,-3.88,-3.93
200907,-.39,-0.44
201007,-2.08,-2.13
201107,-4.45,-4.50
201207,.58,0.53
201307,3.7,3.65
201407,-.57,-0.62
201507,-2.21,-2.26
