South Carolina, Palmer Drought Severity Index (PDSI), August
Base Period: 1901-2000
Date,Value,Anomaly
189508,-.35,-0.37
189608,-1.9,-1.92
189708,-.36,-0.38
189808,1.66,1.64
189908,-2.14,-2.16
190008,-1.36,-1.38
190108,3.44,3.42
190208,-1.7,-1.72
190308,-.11,-0.13
190408,-.85,-0.87
190508,-.94,-0.96
190608,2.53,2.51
190708,1.34,1.32
190808,3.18,3.16
190908,2.07,2.05
191008,1.85,1.83
191108,-3.56,-3.58
191208,2.21,2.19
191308,-1.13,-1.15
191408,.11,0.09
191508,1.29,1.27
191608,-.43,-0.45
191708,.21,0.19
191808,-.73,-0.75
191908,2.18,2.16
192008,.96,0.94
192108,-.16,-0.18
192208,3.19,3.17
192308,-.23,-0.25
192408,1.21,1.19
192508,-4.5,-4.52
192608,-2.59,-2.61
192708,-2.65,-2.67
192808,3.68,3.66
192908,3.39,3.37
193008,-2.61,-2.63
193108,-1.95,-1.97
193208,.22,0.20
193308,-1.91,-1.93
193408,-2.43,-2.45
193508,.96,0.94
193608,-2.17,-2.19
193708,.29,0.27
193808,-.82,-0.84
193908,.76,0.74
194008,-.86,-0.88
194108,-.02,-0.04
194208,-.04,-0.06
194308,-.55,-0.57
194408,-2.11,-2.13
194508,.56,0.54
194608,.58,0.56
194708,.79,0.77
194808,1.75,1.73
194908,2.69,2.67
195008,-1.65,-1.67
195108,-2.81,-2.83
195208,-1.14,-1.16
195308,-2.24,-2.26
195408,-4.27,-4.29
195508,-2.67,-2.69
195608,-2.94,-2.96
195708,-.87,-0.89
195808,-.1,-0.12
195908,1.51,1.49
196008,.32,0.30
196108,3.23,3.21
196208,-.87,-0.89
196308,-.8,-0.82
196408,4.74,4.72
196508,3.82,3.80
196608,1.97,1.95
196708,2.53,2.51
196808,-.73,-0.75
196908,1.79,1.77
197008,-1.4,-1.42
197108,3.35,3.33
197208,2.25,2.23
197308,-.24,-0.26
197408,1.18,1.16
197508,2.85,2.83
197608,1.54,1.52
197708,-2.19,-2.21
197808,-.77,-0.79
197908,1.6,1.58
198008,-2.4,-2.42
198108,-2.38,-2.40
198208,1.21,1.19
198308,-2.44,-2.46
198408,-.3,-0.32
198508,1.33,1.31
198608,.95,0.93
198708,-2.28,-2.30
198808,-2.29,-2.31
198908,1.88,1.86
199008,-2.42,-2.44
199108,3.09,3.07
199208,1.02,1.00
199308,-3.15,-3.17
199408,1.7,1.68
199508,2.82,2.80
199608,0,-0.02
199708,.77,0.75
199808,-1.87,-1.89
199908,-3.06,-3.08
200008,-3.07,-3.09
200108,-2.91,-2.93
200208,-4.82,-4.84
200308,.01,-0.01
200408,.63,0.61
200508,-.04,-0.06
200608,-1.75,-1.77
200708,-3.01,-3.03
200808,.36,0.34
200908,-1.02,-1.04
201008,-2.02,-2.04
201108,-4.76,-4.78
201208,1.34,1.32
201308,4.03,4.01
201408,-.86,-0.88
201508,-2.11,-2.13
