South Carolina, Palmer Drought Severity Index (PDSI), October
Base Period: 1901-2000
Date,Value,Anomaly
189510,-1.83,-1.93
189610,-2.41,-2.51
189710,-.7,-0.80
189810,1.92,1.82
189910,-1.82,-1.92
190010,-1.97,-2.07
190110,2.8,2.70
190210,.39,0.29
190310,-.14,-0.24
190410,-1.52,-1.62
190510,-1.98,-2.08
190610,2.89,2.79
190710,1.08,0.98
190810,3.26,3.16
190910,-.05,-0.15
191010,2.09,1.99
191110,.51,0.41
191210,2.05,1.95
191310,.71,0.61
191410,.12,0.02
191510,.51,0.41
191610,-.86,-0.96
191710,-.21,-0.31
191810,.06,-0.04
191910,-1.27,-1.37
192010,.73,0.63
192110,-1.04,-1.14
192210,2.75,2.65
192310,-1.09,-1.19
192410,3.49,3.39
192510,-5.22,-5.32
192610,-3.65,-3.75
192710,-2.98,-3.08
192810,5.46,5.36
192910,4.81,4.71
193010,-2.43,-2.53
193110,-3.74,-3.84
193210,1.11,1.01
193310,-2.26,-2.36
193410,-2.25,-2.35
193510,.87,0.77
193610,.69,0.59
193710,.47,0.37
193810,-.97,-1.07
193910,-1.33,-1.43
194010,-1.83,-1.93
194110,-1.34,-1.44
194210,-.78,-0.88
194310,-1.56,-1.66
194410,-1.98,-2.08
194510,2.44,2.34
194610,.74,0.64
194710,1.37,1.27
194810,2.1,2.00
194910,.05,-0.05
195010,-.78,-0.88
195110,-3.13,-3.23
195210,-1.31,-1.41
195310,-2.1,-2.20
195410,-4.79,-4.89
195510,-2.11,-2.21
195610,-1.98,-2.08
195710,.6,0.50
195810,-.77,-0.87
195910,4.57,4.47
196010,-.16,-0.26
196110,-1,-1.10
196210,-.9,-1.00
196310,-1.07,-1.17
196410,6.14,6.04
196510,2.93,2.83
196610,-.15,-0.25
196710,1.69,1.59
196810,.62,0.52
196910,1.7,1.60
197010,.57,0.47
197110,3.78,3.68
197210,1.01,0.91
197310,-.78,-0.88
197410,.7,0.60
197510,2.81,2.71
197610,2.62,2.52
197710,.31,0.21
197810,-1.97,-2.07
197910,2.52,2.42
198010,-1.8,-1.90
198110,-2.68,-2.78
198210,.93,0.83
198310,-2.68,-2.78
198410,-1.21,-1.31
198510,.68,0.58
198610,.32,0.22
198710,-1.49,-1.59
198810,-1.29,-1.39
198910,2.98,2.88
199010,2.47,2.37
199110,-1.01,-1.11
199210,1.79,1.69
199310,-2.7,-2.80
199410,3.14,3.04
199510,3.41,3.31
199610,.62,0.52
199710,1.62,1.52
199810,-1.88,-1.98
199910,-1.32,-1.42
200010,-2.39,-2.49
200110,-3.23,-3.33
200210,.44,0.34
200310,.24,0.14
200410,-.38,-0.48
200510,.33,0.23
200610,.12,0.02
200710,-3.72,-3.82
200810,.71,0.61
200910,.49,0.39
201010,-2.33,-2.43
201110,-4.36,-4.46
201210,-.6,-0.70
201310,-.87,-0.97
201410,-.86,-0.96
201510,2.78,2.68
