Arkansas, Palmer Drought Severity Index (PDSI), February
Base Period: 1901-2000
Date,Value,Anomaly
189502,-.89,-0.69
189602,-.63,-0.43
189702,-2.68,-2.48
189802,.52,0.72
189902,-.45,-0.25
190002,-2,-1.80
190102,-1.18,-0.98
190202,-2.84,-2.64
190302,2.52,2.72
190402,-1.92,-1.72
190502,-.25,-0.05
190602,2.66,2.86
190702,3.43,3.63
190802,-.47,-0.27
190902,.43,0.63
191002,-1.69,-1.49
191102,-1.64,-1.44
191202,.25,0.45
191302,.95,1.15
191402,-1.03,-0.83
191502,.63,0.83
191602,-.65,-0.45
191702,-2.6,-2.40
191802,-2.37,-2.17
191902,-.44,-0.24
192002,1.3,1.50
192102,.66,0.86
192202,-1.32,-1.12
192302,.6,0.80
192402,-.59,-0.39
192502,-2.79,-2.59
192602,-2.32,-2.12
192702,.91,1.11
192802,-1.27,-1.07
192902,.59,0.79
193002,-.18,0.02
193102,-2.4,-2.20
193202,2.65,2.85
193302,-.18,0.02
193402,-1.48,-1.28
193502,.22,0.42
193602,-2.03,-1.83
193702,-.55,-0.35
193802,2,2.20
193902,2.04,2.24
194002,-2.9,-2.70
194102,-.65,-0.45
194202,-.81,-0.61
194302,-2.16,-1.96
194402,1.06,1.26
194502,1.7,1.90
194602,4.31,4.51
194702,-1.71,-1.51
194802,.79,0.99
194902,1.58,1.78
195002,3.39,3.59
195102,-.16,0.04
195202,1.15,1.35
195302,0,0.20
195402,-3.45,-3.25
195502,-4.16,-3.96
195602,-1.74,-1.54
195702,.72,0.92
195802,2.77,2.97
195902,-.81,-0.61
196002,-.19,0.01
196102,.18,0.38
196202,2.58,2.78
196302,-2.28,-2.08
196402,-4.05,-3.85
196502,-1.52,-1.32
196602,-.98,-0.78
196702,-2.4,-2.20
196802,1.02,1.22
196902,-.14,0.06
197002,-1.27,-1.07
197102,-.79,-0.59
197202,-1.64,-1.44
197302,2.22,2.42
197402,3.76,3.96
197502,3.72,3.92
197602,-1.45,-1.25
197702,-1.54,-1.34
197802,-1.16,-0.96
197902,1.52,1.72
198002,-.99,-0.79
198102,-2.85,-2.65
198202,-.81,-0.61
198302,-.8,-0.60
198402,.38,0.58
198502,.07,0.27
198602,-1.33,-1.13
198702,.89,1.09
198802,-.58,-0.38
198902,2.52,2.72
199002,1.14,1.34
199102,1.87,2.07
199202,-.69,-0.49
199302,-.28,-0.08
199402,1.6,1.80
199502,-.62,-0.42
199602,-2.46,-2.26
199702,2.54,2.74
199802,1.65,1.85
199902,-1.74,-1.54
200002,-3.24,-3.04
200102,1.87,2.07
200202,1.22,1.42
200302,-.05,0.15
200402,-.58,-0.38
200502,-.44,-0.24
200602,-4.01,-3.81
200702,-.44,-0.24
200802,.2,0.40
200902,1.61,1.81
201002,-.11,0.09
201102,-3.35,-3.15
201202,-1.17,-0.97
201302,.52,0.72
201402,-.75,-0.55
201502,-.67,-0.47
201602,1.59,1.79
