Maryland, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,.74,0.85
189604,-1.88,-1.77
189704,.41,0.52
189804,-.67,-0.56
189904,-.76,-0.65
190004,-.52,-0.41
190104,1.06,1.17
190204,-.04,0.07
190304,3.06,3.17
190404,-1.19,-1.08
190504,-.62,-0.51
190604,1.27,1.38
190704,1.26,1.37
190804,-.88,-0.77
190904,.15,0.26
191004,.72,0.83
191104,-1.33,-1.22
191204,1.81,1.92
191304,.52,0.63
191404,-.98,-0.87
191504,-1.62,-1.51
191604,.28,0.39
191704,.41,0.52
191804,1.3,1.41
191904,.15,0.26
192004,1.82,1.93
192104,-1.56,-1.45
192204,-.68,-0.57
192304,.94,1.05
192404,1.96,2.07
192504,-1.94,-1.83
192604,-1.95,-1.84
192704,.68,0.79
192804,1.21,1.32
192904,1.2,1.31
193004,-1.56,-1.45
193104,-5.55,-5.44
193204,.62,0.73
193304,2.15,2.26
193404,-.41,-0.30
193504,1.22,1.33
193604,-.1,0.01
193704,2.4,2.51
193804,-1.94,-1.83
193904,2.55,2.66
194004,1.52,1.63
194104,-1.41,-1.30
194204,-3.11,-3.00
194304,-.33,-0.22
194404,1.36,1.47
194504,-1.18,-1.07
194604,-1.85,-1.74
194704,-1.92,-1.81
194804,.04,0.15
194904,-.6,-0.49
195004,-.52,-0.41
195104,-.31,-0.20
195204,2.64,2.75
195304,2.07,2.18
195404,-2.51,-2.40
195504,-2.78,-2.67
195604,-.23,-0.12
195704,-.6,-0.49
195804,2.46,2.57
195904,-1.19,-1.08
196004,-.67,-0.56
196104,2.03,2.14
196204,.91,1.02
196304,-1.88,-1.77
196404,1.53,1.64
196504,-2.27,-2.16
196604,-3.76,-3.65
196704,-1.33,-1.22
196804,-1.58,-1.47
196904,-2.6,-2.49
197004,1.35,1.46
197104,-.85,-0.74
197204,2.5,2.61
197304,3.51,3.62
197404,-.81,-0.70
197504,1.22,1.33
197604,-2.09,-1.98
197704,-1.93,-1.82
197804,1.79,1.90
197904,2.03,2.14
198004,-.18,-0.07
198104,-2.55,-2.44
198204,.49,0.60
198304,2.43,2.54
198404,3.09,3.20
198504,-2.99,-2.88
198604,-1.46,-1.35
198704,-1.65,-1.54
198804,-1.78,-1.67
198904,.7,0.81
199004,.1,0.21
199104,-.91,-0.80
199204,-3.2,-3.09
199304,2.89,3.00
199404,-.57,-0.46
199504,-2.62,-2.51
199604,1.65,1.76
199704,-.31,-0.20
199804,2.76,2.87
199904,-2.89,-2.78
200004,1.14,1.25
200104,-1.29,-1.18
200204,-3.72,-3.61
200304,2.01,2.12
200404,3.44,3.55
200504,.3,0.41
200604,-2.05,-1.94
200704,-.23,-0.12
200804,-2.44,-2.33
200904,.39,0.50
201004,-.9,-0.79
201104,-.92,-0.81
201204,-2.14,-2.03
201304,-.7,-0.59
201404,2.32,2.43
201504,-.09,0.02
