Mississippi, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,-.73,-0.61
189609,-2.98,-2.86
189709,-3.95,-3.83
189809,1.39,1.51
189909,-3.42,-3.30
190009,-.67,-0.55
190109,1.17,1.29
190209,.38,0.50
190309,-1.73,-1.61
190409,-2.5,-2.38
190509,1.1,1.22
190609,1.65,1.77
190709,-.9,-0.78
190809,-.07,0.05
190909,-.28,-0.16
191009,-.58,-0.46
191109,-.64,-0.52
191209,3.03,3.15
191309,1.41,1.53
191409,1.02,1.14
191509,-.56,-0.44
191609,-.38,-0.26
191709,-1.24,-1.12
191809,.04,0.16
191909,1.26,1.38
192009,2.68,2.80
192109,-2.24,-2.12
192209,-1.04,-0.92
192309,3.32,3.44
192409,-2.76,-2.64
192509,-5.45,-5.33
192609,-.82,-0.70
192709,-.78,-0.66
192809,-.4,-0.28
192909,.1,0.22
193009,-2.71,-2.59
193109,-.88,-0.76
193209,.94,1.06
193309,-1.07,-0.95
193409,.31,0.43
193509,-1.29,-1.17
193609,-3.86,-3.74
193709,-2.02,-1.90
193809,-1.38,-1.26
193909,-.35,-0.23
194009,-.1,0.02
194109,-2.09,-1.97
194209,-1.06,-0.94
194309,-2.91,-2.79
194409,-.92,-0.80
194509,.92,1.04
194609,2.96,3.08
194709,-.98,-0.86
194809,.58,0.70
194909,3.1,3.22
195009,3.09,3.21
195109,-2.03,-1.91
195209,-4.07,-3.95
195309,-1.69,-1.57
195409,-4.6,-4.48
195509,-1.79,-1.67
195609,-2.48,-2.36
195709,2.06,2.18
195809,4.45,4.57
195909,1.17,1.29
196009,.65,0.77
196109,2.65,2.77
196209,-2.12,-2.00
196309,-3.25,-3.13
196409,.79,0.91
196509,-1.53,-1.41
196609,-1.35,-1.23
196709,1.61,1.73
196809,.46,0.58
196909,-1.18,-1.06
197009,.35,0.47
197109,2.13,2.25
197209,-.39,-0.27
197309,2.35,2.47
197409,4.21,4.33
197509,5.02,5.14
197609,-.62,-0.50
197709,.82,0.94
197809,-.9,-0.78
197909,4.36,4.48
198009,-1.51,-1.39
198109,-2.61,-2.49
198209,.29,0.41
198309,3.24,3.36
198409,.82,0.94
198509,1.07,1.19
198609,-3.23,-3.11
198709,-.95,-0.83
198809,.79,0.91
198909,3.66,3.78
199009,-1.89,-1.77
199109,-.21,-0.09
199209,2.32,2.44
199309,.81,0.93
199409,1.77,1.89
199509,-.88,-0.76
199609,.67,0.79
199709,1.87,1.99
199809,-1.64,-1.52
199909,-2.25,-2.13
200009,-4.7,-4.58
200109,2.46,2.58
200209,2.68,2.80
200309,3.88,4.00
200409,2.42,2.54
200509,-.1,0.02
200609,-2.81,-2.69
200709,-2.88,-2.76
200809,2.37,2.49
200909,2.32,2.44
201009,-2.33,-2.21
201109,-1.76,-1.64
201209,2.43,2.55
201309,2.17,2.29
201409,-.32,-0.20
201509,-1.27,-1.15
