North Carolina, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,2.55,2.47
189604,-2.26,-2.34
189704,.95,0.87
189804,.26,0.18
189904,3.79,3.71
190004,1.36,1.28
190104,1.5,1.42
190204,-.56,-0.64
190304,2.36,2.28
190404,-1.67,-1.75
190504,.43,0.35
190604,-.88,-0.96
190704,.69,0.61
190804,1.71,1.63
190904,1.6,1.52
191004,-2.05,-2.13
191104,-1.08,-1.16
191204,1.58,1.50
191304,.17,0.09
191404,-.49,-0.57
191504,-1.18,-1.26
191604,-1.35,-1.43
191704,.63,0.55
191804,1.42,1.34
191904,-.54,-0.62
192004,1.62,1.54
192104,-.73,-0.81
192204,1.68,1.60
192304,.95,0.87
192404,.37,0.29
192504,-2,-2.08
192604,-2.32,-2.40
192704,-4.02,-4.10
192804,1.14,1.06
192904,2.7,2.62
193004,-2.08,-2.16
193104,-2.83,-2.91
193204,-2.61,-2.69
193304,-.86,-0.94
193404,.52,0.44
193504,-.19,-0.27
193604,2.97,2.89
193704,2.25,2.17
193804,.51,0.43
193904,1.33,1.25
194004,-1.88,-1.96
194104,-2.07,-2.15
194204,-3.81,-3.89
194304,.35,0.27
194404,2.15,2.07
194504,-2.26,-2.34
194604,1.5,1.42
194704,-.91,-0.99
194804,-.4,-0.48
194904,.46,0.38
195004,-2.38,-2.46
195104,-1.38,-1.46
195204,-.74,-0.82
195304,-.81,-0.89
195404,-1.68,-1.76
195504,-3.24,-3.32
195604,.64,0.56
195704,-.74,-0.82
195804,2.88,2.80
195904,1.13,1.05
196004,2.44,2.36
196104,1.15,1.07
196204,1.54,1.46
196304,-.5,-0.58
196404,1.54,1.46
196504,1.58,1.50
196604,.29,0.21
196704,-2.03,-2.11
196804,-1.1,-1.18
196904,.52,0.44
197004,-.57,-0.65
197104,.86,0.78
197204,.81,0.73
197304,3.4,3.32
197404,.59,0.51
197504,2.43,2.35
197604,-2.59,-2.67
197704,-.77,-0.85
197804,2.11,2.03
197904,1.79,1.71
198004,-.06,-0.14
198104,-3.86,-3.94
198204,1.16,1.08
198304,3.33,3.25
198404,2.6,2.52
198504,-3.04,-3.12
198604,-3.46,-3.54
198704,2.02,1.94
198804,-2.58,-2.66
198904,1.61,1.53
199004,2.02,1.94
199104,.84,0.76
199204,-.03,-0.11
199304,3.11,3.03
199404,.45,0.37
199504,-1.56,-1.64
199604,1.39,1.31
199704,2.49,2.41
199804,3.27,3.19
199904,-2.23,-2.31
200004,-.74,-0.82
200104,-2.19,-2.27
200204,-3.83,-3.91
200304,2.63,2.55
200404,-1.74,-1.82
200504,-.08,-0.16
200604,-2.06,-2.14
200704,-1.4,-1.48
200804,-3.74,-3.82
200904,-.46,-0.54
201004,-1.1,-1.18
201104,-2.15,-2.23
201204,-2.84,-2.92
201304,.48,0.40
201404,2.04,1.96
201504,-.11,-0.19
