West Virginia, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,-1.96,-2.19
189606,.23,0.00
189706,1.15,0.92
189806,-.52,-0.75
189906,-.44,-0.67
190006,-2.15,-2.38
190106,3.31,3.08
190206,-.19,-0.42
190306,-.12,-0.35
190406,-1.39,-1.62
190506,.33,0.10
190606,.33,0.10
190706,3.13,2.90
190806,-.36,-0.59
190906,1.19,0.96
191006,1.39,1.16
191106,-1.39,-1.62
191206,1.92,1.69
191306,1.17,0.94
191406,-1.71,-1.94
191506,.06,-0.17
191606,2.7,2.47
191706,2.73,2.50
191806,2.01,1.78
191906,.89,0.66
192006,2.55,2.32
192106,-1.99,-2.22
192206,.22,-0.01
192306,.16,-0.07
192406,2.44,2.21
192506,-2.13,-2.36
192606,-1.09,-1.32
192706,2.96,2.73
192806,2.98,2.75
192906,-.06,-0.29
193006,-3.18,-3.41
193106,.17,-0.06
193206,.69,0.46
193306,-.72,-0.95
193406,-2.37,-2.60
193506,2.29,2.06
193606,-1.91,-2.14
193706,1.18,0.95
193806,1.39,1.16
193906,.43,0.20
194006,1.81,1.58
194106,-2.54,-2.77
194206,.34,0.11
194306,-.48,-0.71
194406,-.54,-0.77
194506,.27,0.04
194606,.83,0.60
194706,-3.1,-3.33
194806,1.25,1.02
194906,1.1,0.87
195006,2.17,1.94
195106,3.66,3.43
195206,-.43,-0.66
195306,-1.28,-1.51
195406,-3.84,-4.07
195506,-.74,-0.97
195606,2.2,1.97
195706,-1.2,-1.43
195806,1.36,1.13
195906,-2.05,-2.28
196006,-1.6,-1.83
196106,1.87,1.64
196206,-.95,-1.18
196306,-1,-1.23
196406,-2.35,-2.58
196506,-1.82,-2.05
196606,-4.37,-4.60
196706,-.93,-1.16
196806,-.51,-0.74
196906,-3.14,-3.37
197006,-1.29,-1.52
197106,.32,0.09
197206,2.85,2.62
197306,2.43,2.20
197406,3,2.77
197506,2.82,2.59
197606,.05,-0.18
197706,.37,0.14
197806,.19,-0.04
197906,2.31,2.08
198006,1.76,1.53
198106,1.67,1.44
198206,.79,0.56
198306,-.32,-0.55
198406,-.99,-1.22
198506,-1.02,-1.25
198606,-1.95,-2.18
198706,-.94,-1.17
198806,-3.81,-4.04
198906,2.83,2.60
199006,1.41,1.18
199106,-2.35,-2.58
199206,-.54,-0.77
199306,-.86,-1.09
199406,3.03,2.80
199506,1.53,1.30
199606,2.83,2.60
199706,2.69,2.46
199806,3.74,3.51
199906,-3.96,-4.19
200006,.65,0.42
200106,.85,0.62
200206,1.46,1.23
200306,3.22,2.99
200406,4.14,3.91
200506,-1.21,-1.44
200606,1.01,0.78
200706,-1.66,-1.89
200806,1.81,1.58
200906,1.17,0.94
201006,-.82,-1.05
201106,1.91,1.68
201206,-1.46,-1.69
201306,.75,0.52
201406,-.49,-0.72
201506,1.32,1.09
