California, Palmer Drought Severity Index (PDSI), October
Base Period: 1901-2000
Date,Value,Anomaly
189510,-.5,-0.54
189610,2.62,2.58
189710,-.53,-0.57
189810,-1.53,-1.57
189910,1.9,1.86
190010,1.74,1.70
190110,2.15,2.11
190210,1.23,1.19
190310,-1.28,-1.32
190410,3.02,2.98
190510,-.79,-0.83
190610,3.47,3.43
190710,.27,0.23
190810,1.14,1.10
190910,.54,0.50
191010,-2.19,-2.23
191110,-.42,-0.46
191210,.03,-0.01
191310,.88,0.84
191410,-.22,-0.26
191510,1.94,1.90
191610,.8,0.76
191710,-1.26,-1.30
191810,-1.08,-1.12
191910,-1.3,-1.34
192010,1.58,1.54
192110,-.29,-0.33
192210,.19,0.15
192310,-.08,-0.12
192410,1.19,1.15
192510,-.03,-0.07
192610,-.85,-0.89
192710,1.45,1.41
192810,-1.93,-1.97
192910,-1.79,-1.83
193010,-.99,-1.03
193110,.03,-0.01
193210,-1,-1.04
193310,-.55,-0.59
193410,.43,0.39
193510,-.4,-0.44
193610,-.67,-0.71
193710,-.78,-0.82
193810,.22,0.18
193910,-1.44,-1.48
194010,.46,0.42
194110,3.56,3.52
194210,2.19,2.15
194310,-.34,-0.38
194410,.56,0.52
194510,1.56,1.52
194610,-1.67,-1.71
194710,-1.11,-1.15
194810,-.22,-0.26
194910,-1.78,-1.82
195010,1.35,1.31
195110,.41,0.37
195210,.87,0.83
195310,-.63,-0.67
195410,-1.09,-1.13
195510,-.67,-0.71
195610,1.03,0.99
195710,3,2.96
195810,-.71,-0.75
195910,-3.19,-3.23
196010,-2.89,-2.93
196110,-1.87,-1.91
196210,1.68,1.64
196310,2.75,2.71
196410,.18,0.14
196510,-.98,-1.02
196610,-3,-3.04
196710,-.41,-0.45
196810,.1,0.06
196910,-.4,-0.44
197010,-1.63,-1.67
197110,-.33,-0.37
197210,.72,0.68
197310,.51,0.47
197410,-.69,-0.73
197510,1.82,1.78
197610,-2.26,-2.30
197710,-.55,-0.59
197810,-.84,-0.88
197910,.79,0.75
198010,-.82,-0.86
198110,.91,0.87
198210,4.23,4.19
198310,5.53,5.49
198410,.53,0.49
198510,.59,0.55
198610,-.37,-0.41
198710,-3.23,-3.27
198810,-2.35,-2.39
198910,1.28,1.24
199010,-2.71,-2.75
199110,-1.48,-1.52
199210,-2.32,-2.36
199310,-.7,-0.74
199410,-2.44,-2.48
199510,3.38,3.34
199610,1.84,1.80
199710,.31,0.27
199810,5.34,5.30
199910,-.76,-0.80
200010,-.1,-0.14
200110,-3.08,-3.12
200210,-3.77,-3.81
200310,-1.35,-1.39
200410,1.6,1.56
200510,3,2.96
200610,-1.78,-1.82
200710,-3.33,-3.37
200810,-4.29,-4.33
200910,-2.51,-2.55
201010,1.99,1.95
201110,-.09,-0.13
201210,-1.97,-2.01
201310,-2.93,-2.97
201410,-5.29,-5.33
201510,-4.53,-4.57
