Utah, Palmer Drought Severity Index (PDSI), October
Base Period: 1901-2000
Date,Value,Anomaly
189510,-1.11,-1.60
189610,-.36,-0.85
189710,1.86,1.37
189810,-.92,-1.41
189910,-.35,-0.84
190010,-2.77,-3.26
190110,-2.21,-2.70
190210,-4.33,-4.82
190310,-.32,-0.81
190410,-.38,-0.87
190510,1.5,1.01
190610,4.43,3.94
190710,5.27,4.78
190810,4.42,3.93
190910,4.65,4.16
191010,1.29,0.80
191110,2.41,1.92
191210,3.45,2.96
191310,1.74,1.25
191410,3.98,3.49
191510,.71,0.22
191610,3.58,3.09
191710,-.85,-1.34
191810,.38,-0.11
191910,.73,0.24
192010,3.4,2.91
192110,2.91,2.42
192210,2.39,1.90
192310,4.21,3.72
192410,-2.07,-2.56
192510,1.98,1.49
192610,-2.03,-2.52
192710,3.52,3.03
192810,.58,0.09
192910,-.46,-0.95
193010,1.26,0.77
193110,-4.06,-4.55
193210,-.68,-1.17
193310,-2.05,-2.54
193410,-6.33,-6.82
193510,-2.6,-3.09
193610,.37,-0.12
193710,-.42,-0.91
193810,.22,-0.27
193910,-1.02,-1.51
194010,1.47,0.98
194110,6.41,5.92
194210,-.88,-1.37
194310,-1.54,-2.03
194410,-1.85,-2.34
194510,.07,-0.42
194610,1.72,1.23
194710,3.48,2.99
194810,.94,0.45
194910,.57,0.08
195010,-2.37,-2.86
195110,.36,-0.13
195210,-1.35,-1.84
195310,-2.04,-2.53
195410,-3.25,-3.74
195510,-2.78,-3.27
195610,-3.79,-4.28
195710,3.09,2.60
195810,-1.87,-2.36
195910,-3.06,-3.55
196010,-3.49,-3.98
196110,1.97,1.48
196210,-.92,-1.41
196310,-2.31,-2.80
196410,-2.48,-2.97
196510,5.22,4.73
196610,-1.8,-2.29
196710,-.66,-1.15
196810,1.55,1.06
196910,2.57,2.08
197010,.62,0.13
197110,1.24,0.75
197210,2.17,1.68
197310,3.06,2.57
197410,-2.6,-3.09
197510,-.31,-0.80
197610,-1.51,-2.00
197710,-4.66,-5.15
197810,.63,0.14
197910,-1.3,-1.79
198010,3.73,3.24
198110,1.55,1.06
198210,4.82,4.33
198310,6.38,5.89
198410,6.44,5.95
198510,3.44,2.95
198610,3.68,3.19
198710,.17,-0.32
198810,-1.93,-2.42
198910,-3.57,-4.06
199010,-4.42,-4.91
199110,-1.52,-2.01
199210,.06,-0.43
199310,2.74,2.25
199410,.75,0.26
199510,-.83,-1.32
199610,.47,-0.02
199710,4.54,4.05
199810,5.37,4.88
199910,-.95,-1.44
200010,-2,-2.49
200110,-3.11,-3.60
200210,-4.17,-4.66
200310,-5.22,-5.71
200410,1.89,1.40
200510,.1,-0.39
200610,1.9,1.41
200710,-2.83,-3.32
200810,-2.14,-2.63
200910,-1.85,-2.34
201010,.96,0.47
201110,4.76,4.27
201210,-4.08,-4.57
201310,-2.03,-2.52
201410,-1.96,-2.45
201510,-1.88,-2.37
