Indiana, Palmer Drought Severity Index (PDSI), July
Base Period: 1901-2000
Date,Value,Anomaly
189507,-3.22,-3.08
189607,1.97,2.11
189707,-.33,-0.19
189807,.79,0.93
189907,-1.83,-1.69
190007,-1.22,-1.08
190107,-3.33,-3.19
190207,1.47,1.61
190307,.08,0.22
190407,-.69,-0.55
190507,.7,0.84
190607,-1.72,-1.58
190707,2.16,2.30
190807,-1.27,-1.13
190907,2.58,2.72
191007,.8,0.94
191107,-1.96,-1.82
191207,1.77,1.91
191307,-1.82,-1.68
191407,-4.06,-3.92
191507,1.58,1.72
191607,-.77,-0.63
191707,-.11,0.03
191807,-1.33,-1.19
191907,-1.28,-1.14
192007,-.32,-0.18
192107,-2.92,-2.78
192207,-1.45,-1.31
192307,-.41,-0.27
192407,-.63,-0.49
192507,-2.61,-2.47
192607,-.98,-0.84
192707,3.09,3.23
192807,2.08,2.22
192907,2.27,2.41
193007,-3.32,-3.18
193107,-5.66,-5.52
193207,-1.74,-1.60
193307,-2.28,-2.14
193407,-5.82,-5.68
193507,-1.41,-1.27
193607,-4.91,-4.77
193707,1.51,1.65
193807,2.61,2.75
193907,-.2,-0.06
194007,-3.04,-2.90
194107,-4.68,-4.54
194207,.87,1.01
194307,-.28,-0.14
194407,-3.02,-2.88
194507,2.36,2.50
194607,-.84,-0.70
194707,-.03,0.11
194807,.94,1.08
194907,1.14,1.28
195007,4.01,4.15
195107,2.73,2.87
195207,-.67,-0.53
195307,-1.6,-1.46
195407,-4.53,-4.39
195507,-.34,-0.20
195607,-.35,-0.21
195707,2.65,2.79
195807,3.64,3.78
195907,-.95,-0.81
196007,-.05,0.09
196107,2.1,2.24
196207,.81,0.95
196307,-1,-0.86
196407,-2.63,-2.49
196507,-2.81,-2.67
196607,-2.13,-1.99
196707,-.88,-0.74
196807,1.04,1.18
196907,1.34,1.48
197007,.56,0.70
197107,.68,0.82
197207,-.46,-0.32
197307,3.13,3.27
197407,1.08,1.22
197507,1.55,1.69
197607,.47,0.61
197707,-2.07,-1.93
197807,1.25,1.39
197907,2.88,3.02
198007,1.74,1.88
198107,2.11,2.25
198207,1.7,1.84
198307,-1.17,-1.03
198407,-.91,-0.77
198507,-1.14,-1.00
198607,.94,1.08
198707,-1.16,-1.02
198807,-3.38,-3.24
198907,1.79,1.93
199007,3.13,3.27
199107,-2.51,-2.37
199207,2.05,2.19
199307,2.72,2.86
199407,-.79,-0.65
199507,-.5,-0.36
199607,3.09,3.23
199707,2.84,2.98
199807,2.66,2.80
199907,-1.24,-1.10
200007,1.03,1.17
200107,.89,1.03
200207,-1.07,-0.93
200307,2.59,2.73
200407,2.56,2.70
200507,-1.36,-1.22
200607,1.34,1.48
200707,-1.76,-1.62
200807,3.67,3.81
200907,2.7,2.84
201007,1.57,1.71
201107,2.54,2.68
201207,-4.45,-4.31
201307,-.11,0.03
201407,1.46,1.60
201507,4.24,4.38
