Michigan, Palmer Drought Severity Index (PDSI), July
Base Period: 1901-2000
Date,Value,Anomaly
189507,-4.23,-4.13
189607,.29,0.39
189707,.31,0.41
189807,-1.02,-0.92
189907,1.4,1.50
190007,1.52,1.62
190107,-.98,-0.88
190207,2.7,2.80
190307,1.89,1.99
190407,.17,0.27
190507,2.48,2.58
190607,-.6,-0.50
190707,-.44,-0.34
190807,-.63,-0.53
190907,-.88,-0.78
191007,-3.75,-3.65
191107,-3.05,-2.95
191207,.73,0.83
191307,-.88,-0.78
191407,-1.33,-1.23
191507,1.31,1.41
191607,-1.06,-0.96
191707,.01,0.11
191807,-1.79,-1.69
191907,-1.5,-1.40
192007,.81,0.91
192107,-3.08,-2.98
192207,1.39,1.49
192307,-1.2,-1.10
192407,1.45,1.55
192507,-3.05,-2.95
192607,.49,0.59
192707,-.04,0.06
192807,1.8,1.90
192907,-.13,-0.03
193007,-1.81,-1.71
193107,-6.02,-5.92
193207,.59,0.69
193307,-1.82,-1.72
193407,-5.26,-5.16
193507,-1.45,-1.35
193607,-3.71,-3.61
193707,-.01,0.09
193807,1.26,1.36
193907,-.69,-0.59
194007,.76,0.86
194107,-2.69,-2.59
194207,1.49,1.59
194307,.04,0.14
194407,-.72,-0.62
194507,2.29,2.39
194607,-1.5,-1.40
194707,.11,0.21
194807,-.93,-0.83
194907,1.02,1.12
195007,2.96,3.06
195107,2.48,2.58
195207,2.88,2.98
195307,1.28,1.38
195407,1.83,1.93
195507,-2.14,-2.04
195607,1.63,1.73
195707,1.29,1.39
195807,.75,0.85
195907,.06,0.16
196007,3.02,3.12
196107,.47,0.57
196207,-1.47,-1.37
196307,-2.93,-2.83
196407,-4.04,-3.94
196507,-1.27,-1.17
196607,-2.04,-1.94
196707,1.79,1.89
196807,2.38,2.48
196907,3.31,3.41
197007,.99,1.09
197107,-1.25,-1.15
197207,.42,0.52
197307,2.89,2.99
197407,1.62,1.72
197507,1.59,1.69
197607,-.83,-0.73
197707,-4.24,-4.14
197807,.11,0.21
197907,1.98,2.08
198007,.92,1.02
198107,1.17,1.27
198207,1.64,1.74
198307,-1.09,-0.99
198407,-.71,-0.61
198507,1.27,1.37
198607,2.25,2.35
198707,-3.71,-3.61
198807,-3.8,-3.70
198907,-.69,-0.59
199007,1.12,1.22
199107,-.24,-0.14
199207,1.38,1.48
199307,2.67,2.77
199407,2.18,2.28
199507,-1,-0.90
199607,2.17,2.27
199707,-.67,-0.57
199807,-2.4,-2.30
199907,-1.15,-1.05
200007,1.59,1.69
200107,-.6,-0.50
200207,-.33,-0.23
200307,-1.32,-1.22
200407,2.21,2.31
200507,-2.21,-2.11
200607,.56,0.66
200707,-2.05,-1.95
200807,2.06,2.16
200907,2.4,2.50
201007,2.09,2.19
201107,2,2.10
201207,-1.55,-1.45
201307,3.02,3.12
201407,2.66,2.76
201507,1.54,1.64
