Georgia, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,1.1,1.21
189606,-3.12,-3.01
189706,-1.6,-1.49
189806,-4.88,-4.77
189906,-2.37,-2.26
190006,2.44,2.55
190106,2.04,2.15
190206,-1.74,-1.63
190306,2.56,2.67
190406,-2.31,-2.20
190506,-1.75,-1.64
190606,.9,1.01
190706,.8,0.91
190806,-.77,-0.66
190906,.93,1.04
191006,1.47,1.58
191106,-3.27,-3.16
191206,4.08,4.19
191306,-1.24,-1.13
191406,-3.83,-3.72
191506,-.84,-0.73
191606,0,0.11
191706,-.91,-0.80
191806,-2.52,-2.41
191906,1.77,1.88
192006,1.99,2.10
192106,-2.12,-2.01
192206,1.98,2.09
192306,2.25,2.36
192406,.66,0.77
192506,-3.64,-3.53
192606,-1.96,-1.85
192706,-3.15,-3.04
192806,2.72,2.83
192906,4.5,4.61
193006,-1.22,-1.11
193106,-2.12,-2.01
193206,.86,0.97
193306,-1.43,-1.32
193406,-1.49,-1.38
193506,-2.96,-2.85
193606,-1.64,-1.53
193706,-.68,-0.57
193806,1.04,1.15
193906,.86,0.97
194006,.12,0.23
194106,-2.63,-2.52
194206,-.41,-0.30
194306,-.23,-0.12
194406,-1.5,-1.39
194506,-2.09,-1.98
194606,2.16,2.27
194706,1.52,1.63
194806,2.6,2.71
194906,2.39,2.50
195006,-2.25,-2.14
195106,-1.75,-1.64
195206,-.79,-0.68
195306,.33,0.44
195406,-2.79,-2.68
195506,-3.55,-3.44
195606,-2.34,-2.23
195706,1.28,1.39
195806,1.88,1.99
195906,1.24,1.35
196006,-.63,-0.52
196106,2.18,2.29
196206,-.82,-0.71
196306,1.48,1.59
196406,2.34,2.45
196506,2.93,3.04
196606,2.63,2.74
196706,.9,1.01
196806,-1.22,-1.11
196906,.42,0.53
197006,.83,0.94
197106,1.39,1.50
197206,2.45,2.56
197306,3.8,3.91
197406,.85,0.96
197506,2.98,3.09
197606,2.41,2.52
197706,-2.07,-1.96
197806,-.38,-0.27
197906,1.3,1.41
198006,-.2,-0.09
198106,-3.48,-3.37
198206,.78,0.89
198306,-.04,0.07
198406,2.05,2.16
198506,-2.72,-2.61
198606,-3.34,-3.23
198706,-.79,-0.68
198806,-3.07,-2.96
198906,1.89,2.00
199006,-1.87,-1.76
199106,2.31,2.42
199206,.73,0.84
199306,-1.15,-1.04
199406,1.18,1.29
199506,-1.03,-0.92
199606,-1.02,-0.91
199706,.84,0.95
199806,-1.53,-1.42
199906,-2.73,-2.62
200006,-4.39,-4.28
200106,-1.35,-1.24
200206,-3.58,-3.47
200306,3.45,3.56
200406,.88,0.99
200506,2.93,3.04
200606,-2.44,-2.33
200706,-4.51,-4.40
200806,-3.79,-3.68
200906,-.62,-0.51
201006,-.74,-0.63
201106,-3.91,-3.80
201206,-4.22,-4.11
201306,2.71,2.82
201406,-.24,-0.13
201506,-1.05,-0.94
