Ohio, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,-2.45,-2.50
189605,-3.65,-3.70
189705,3.06,3.01
189805,2.37,2.32
189905,-1.18,-1.23
190005,-2.9,-2.95
190105,-2.2,-2.25
190205,-3.53,-3.58
190305,-.67,-0.72
190405,-.14,-0.19
190505,.7,0.65
190605,-1.52,-1.57
190705,2,1.95
190805,3.55,3.50
190905,1.78,1.73
191005,-1.61,-1.66
191105,-1.24,-1.29
191205,2.22,2.17
191305,-.2,-0.25
191405,-.56,-0.61
191505,-.02,-0.07
191605,3.03,2.98
191705,.91,0.86
191805,-.58,-0.63
191905,.6,0.55
192005,1.51,1.46
192105,-.41,-0.46
192205,1.96,1.91
192305,-.19,-0.24
192405,1.69,1.64
192505,-2.02,-2.07
192605,-.62,-0.67
192705,3.79,3.74
192805,1.38,1.33
192905,1.89,1.84
193005,-1.74,-1.79
193105,-5.7,-5.75
193205,-2.23,-2.28
193305,2.25,2.20
193405,-4.24,-4.29
193505,.73,0.68
193605,-1.04,-1.09
193705,1.66,1.61
193805,2.13,2.08
193905,-1.22,-1.27
194005,1.61,1.56
194105,-3.77,-3.82
194205,-.02,-0.07
194305,2.09,2.04
194405,-1.35,-1.40
194505,1.86,1.81
194605,.81,0.76
194705,1.68,1.63
194805,1.78,1.73
194905,-.73,-0.78
195005,2.15,2.10
195105,-.24,-0.29
195205,-.05,-0.10
195305,-2.44,-2.49
195405,-4.85,-4.90
195505,-1.08,-1.13
195605,2.19,2.14
195705,.97,0.92
195805,.21,0.16
195905,-.48,-0.53
196005,-1.43,-1.48
196105,1.57,1.52
196205,-1.43,-1.48
196305,-1.48,-1.53
196405,-2.73,-2.78
196505,-2.72,-2.77
196605,-.68,-0.73
196705,1.09,1.04
196805,1.79,1.74
196905,0,-0.05
197005,.4,0.35
197105,-1.11,-1.16
197205,.82,0.77
197305,2.45,2.40
197405,1.85,1.80
197505,2.03,1.98
197605,-1.63,-1.68
197705,-2.07,-2.12
197805,-.63,-0.68
197905,1.15,1.10
198005,2.16,2.11
198105,2.24,2.19
198205,-.76,-0.81
198305,1.77,1.72
198405,2.13,2.08
198505,-1.52,-1.57
198605,-1.53,-1.58
198705,-1.97,-2.02
198805,-2.99,-3.04
198905,1.89,1.84
199005,2.23,2.18
199105,-1.14,-1.19
199205,-3.59,-3.64
199305,-.74,-0.79
199405,-.35,-0.40
199505,1.09,1.04
199605,2.86,2.81
199705,2.94,2.89
199805,1.34,1.29
199905,-1.69,-1.74
200005,.47,0.42
200105,.57,0.52
200205,1.27,1.22
200305,1.25,1.20
200405,3.49,3.44
200505,-.47,-0.52
200605,.19,0.14
200705,-1.17,-1.22
200805,2.54,2.49
200905,-.53,-0.58
201005,.39,0.34
201105,3.81,3.76
201205,-1.96,-2.01
201305,-1.05,-1.10
201405,2.14,2.09
201505,.86,0.81
