Indiana, Palmer Drought Severity Index (PDSI), May
Base Period: 1901-2000
Date,Value,Anomaly
189505,-2.75,-2.74
189605,-3.42,-3.41
189705,-.17,-0.16
189805,1.78,1.79
189905,-1.2,-1.19
190005,-2.86,-2.85
190105,-2.36,-2.35
190205,-3.92,-3.91
190305,-.63,-0.62
190405,-.3,-0.29
190505,.55,0.56
190605,-1.43,-1.42
190705,1.3,1.31
190805,3.73,3.74
190905,1.57,1.58
191005,-1.75,-1.74
191105,-.86,-0.85
191205,1.82,1.83
191305,-.64,-0.63
191405,-2.48,-2.47
191505,.56,0.57
191605,.07,0.08
191705,.94,0.95
191805,-1.1,-1.09
191905,-.03,-0.02
192005,-.13,-0.12
192105,-1.45,-1.44
192205,-.39,-0.38
192305,.46,0.47
192405,1.19,1.20
192505,-2.99,-2.98
192605,-.54,-0.53
192705,3.97,3.98
192805,1.03,1.04
192905,2.18,2.19
193005,-1.92,-1.91
193105,-6.07,-6.06
193205,-1.68,-1.67
193305,3.7,3.71
193405,-4.99,-4.98
193505,-2,-1.99
193605,-2.6,-2.59
193705,1.54,1.55
193805,1.81,1.82
193905,-1.1,-1.09
194005,-2.09,-2.08
194105,-5.52,-5.51
194205,.14,0.15
194305,1.98,1.99
194405,-1.04,-1.03
194505,1.65,1.66
194605,-.69,-0.68
194705,1.61,1.62
194805,.51,0.52
194905,1.21,1.22
195005,3.91,3.92
195105,2.84,2.85
195205,2.3,2.31
195305,-1.31,-1.30
195405,-4.37,-4.36
195505,-.51,-0.50
195605,.93,0.94
195705,1.59,1.60
195805,-1.68,-1.67
195905,-.31,-0.30
196005,.22,0.23
196105,1.85,1.86
196205,-1.18,-1.17
196305,-1.21,-1.20
196405,-3,-2.99
196505,-2.83,-2.82
196605,-1.05,-1.04
196705,.47,0.48
196805,1.2,1.21
196905,-1.08,-1.07
197005,.37,0.38
197105,.11,0.12
197205,-.38,-0.37
197305,2.11,2.12
197405,2.35,2.36
197505,2.07,2.08
197605,-1.13,-1.12
197705,-2.15,-2.14
197805,1.22,1.23
197905,1.17,1.18
198005,1.46,1.47
198105,1.82,1.83
198205,1.73,1.74
198305,1.91,1.92
198405,1.55,1.56
198505,-1.07,-1.06
198605,.22,0.23
198705,-2.23,-2.22
198805,-2,-1.99
198905,1.49,1.50
199005,2.88,2.89
199105,-.62,-0.61
199205,-2.49,-2.48
199305,2.23,2.24
199405,-.74,-0.73
199505,1.49,1.50
199605,2.46,2.47
199705,3.11,3.12
199805,.89,0.90
199905,-.63,-0.62
200005,0,0.01
200105,-1.6,-1.59
200205,4.29,4.30
200305,.93,0.94
200405,1.99,2.00
200505,-1.27,-1.26
200605,.98,0.99
200705,-1.14,-1.13
200805,3.07,3.08
200905,2.4,2.41
201005,.35,0.36
201105,3.45,3.46
201205,-2.53,-2.52
201305,.99,1.00
201405,1.05,1.06
201505,1.53,1.54
