Arizona, Palmer Drought Severity Index (PDSI), September
Base Period: 1901-2000
Date,Value,Anomaly
189509,1.16,0.94
189609,1.07,0.85
189709,.96,0.74
189809,-1.89,-2.11
189909,-2.78,-3.00
190009,-4.53,-4.75
190109,-3.19,-3.41
190209,-5.06,-5.28
190309,-1.82,-2.04
190409,-3.33,-3.55
190509,6.1,5.88
190609,5.36,5.14
190709,4.67,4.45
190809,2.33,2.11
190909,3.78,3.56
191009,-2.53,-2.75
191109,2.47,2.25
191209,1.33,1.11
191309,-.66,-0.88
191409,-.76,-0.98
191509,5.09,4.87
191609,4.61,4.39
191709,-.59,-0.81
191809,-.63,-0.85
191909,3.76,3.54
192009,-.39,-0.61
192109,1.75,1.53
192209,-.37,-0.59
192309,1.51,1.29
192409,-1.41,-1.63
192509,.62,0.40
192609,.77,0.55
192709,3.01,2.79
192809,-2.54,-2.76
192909,1.39,1.17
193009,.64,0.42
193109,2.32,2.10
193209,-.72,-0.94
193309,-.39,-0.61
193409,-3.69,-3.91
193509,2.65,2.43
193609,.23,0.01
193709,-.27,-0.49
193809,-.93,-1.15
193909,1.52,1.30
194009,1.29,1.07
194109,7.62,7.40
194209,-1.53,-1.75
194309,.64,0.42
194409,-.92,-1.14
194509,-.86,-1.08
194609,1.21,0.99
194709,-3.21,-3.43
194809,-2.45,-2.67
194909,-.34,-0.56
195009,-2.37,-2.59
195109,.87,0.65
195209,-.29,-0.51
195309,-1.29,-1.51
195409,-.93,-1.15
195509,-.95,-1.17
195609,-4.77,-4.99
195709,-.96,-1.18
195809,2.05,1.83
195909,-.75,-0.97
196009,-1.7,-1.92
196109,.55,0.33
196209,-1.13,-1.35
196309,-1.44,-1.66
196409,.97,0.75
196509,2.04,1.82
196609,2.78,2.56
196709,1.15,0.93
196809,-.85,-1.07
196909,.11,-0.11
197009,.7,0.48
197109,1.31,1.09
197209,-3.44,-3.66
197309,-1.54,-1.76
197409,-3.1,-3.32
197509,-1.32,-1.54
197609,1.05,0.83
197709,-2.05,-2.27
197809,2,1.78
197909,4.51,4.29
198009,-.77,-0.99
198109,-2.15,-2.37
198209,1.31,1.09
198309,6.86,6.64
198409,2.27,2.05
198509,2.85,2.63
198609,.5,0.28
198709,-.64,-0.86
198809,-.5,-0.72
198909,-4.33,-4.55
199009,1.62,1.40
199109,-.85,-1.07
199209,4.17,3.95
199309,-.92,-1.14
199409,.09,-0.13
199509,-.75,-0.97
199609,-4.03,-4.25
199709,.7,0.48
199809,.16,-0.06
199909,1.85,1.63
200009,-5.01,-5.23
200109,-1.39,-1.61
200209,-5.07,-5.29
200309,-3.7,-3.92
200409,.32,0.10
200509,-.87,-1.09
200609,-2.86,-3.08
200709,-3.95,-4.17
200809,-1.1,-1.32
200909,-4.16,-4.38
201009,-.89,-1.11
201109,-3.15,-3.37
201209,-3.22,-3.44
201309,-1.74,-1.96
201409,-2,-2.22
201509,-1.36,-1.58
