Minnesota, Palmer Drought Severity Index (PDSI), April
Base Period: 1901-2000
Date,Value,Anomaly
189504,-1.25,-1.51
189604,2.64,2.38
189704,3,2.74
189804,-2.13,-2.39
189904,.8,0.54
190004,-.93,-1.19
190104,-.38,-0.64
190204,-1.15,-1.41
190304,2.63,2.37
190404,3.71,3.45
190504,1.76,1.50
190604,2.83,2.57
190704,3.01,2.75
190804,1.93,1.67
190904,1.02,0.76
191004,-1.68,-1.94
191104,-7.67,-7.93
191204,-.74,-1.00
191304,-1.75,-2.01
191404,1.24,0.98
191504,-1.28,-1.54
191604,3.23,2.97
191704,2.05,1.79
191804,-3.34,-3.60
191904,1.37,1.11
192004,2.27,2.01
192104,-1.65,-1.91
192204,-2.01,-2.27
192304,-2.64,-2.90
192404,-5.67,-5.93
192504,-.71,-0.97
192604,-.96,-1.22
192704,2.51,2.25
192804,.36,0.10
192904,-.2,-0.46
193004,-2.56,-2.82
193104,-3.79,-4.05
193204,-1.75,-2.01
193304,-2.21,-2.47
193404,-5.99,-6.25
193504,.6,0.34
193604,-.03,-0.29
193704,-3.76,-4.02
193804,.65,0.39
193904,-1.62,-1.88
194004,-3.73,-3.99
194104,.72,0.46
194204,1.38,1.12
194304,2.05,1.79
194404,.92,0.66
194504,3.24,2.98
194604,1.7,1.44
194704,2.69,2.43
194804,.71,0.45
194904,-2.4,-2.66
195004,2.31,2.05
195104,1.51,1.25
195204,-.97,-1.23
195304,.75,0.49
195404,1.88,1.62
195504,-1.8,-2.06
195604,-1.92,-2.18
195704,.06,-0.20
195804,-.95,-1.21
195904,-3.56,-3.82
196004,1.18,0.92
196104,-1.3,-1.56
196204,.57,0.31
196304,.22,-0.04
196404,.5,0.24
196504,2.43,2.17
196604,4.76,4.50
196704,1.19,0.93
196804,.69,0.43
196904,-.65,-0.91
197004,1.22,0.96
197104,1.79,1.53
197204,2.79,2.53
197304,2.04,1.78
197404,2.19,1.93
197504,2.24,1.98
197604,-.93,-1.19
197704,-7.34,-7.60
197804,2.3,2.04
197904,3.35,3.09
198004,-1.4,-1.66
198104,-1.7,-1.96
198204,2.03,1.77
198304,3.09,2.83
198404,2.62,2.36
198504,2.34,2.08
198604,4.39,4.13
198704,-1.69,-1.95
198804,-4.18,-4.44
198904,-3.11,-3.37
199004,.29,0.03
199104,1.05,0.79
199204,2.58,2.32
199304,2.19,1.93
199404,3.88,3.62
199504,2.96,2.70
199604,2.71,2.45
199704,2.74,2.48
199804,1.21,0.95
199904,1.66,1.40
200004,1.19,0.93
200104,3.81,3.55
200204,.18,-0.08
200304,-.48,-0.74
200404,-3.11,-3.37
200504,1.89,1.63
200604,-.15,-0.41
200704,-1.76,-2.02
200804,1.66,1.40
200904,-.31,-0.57
201004,-1.36,-1.62
201104,4.05,3.79
201204,-4,-4.26
201304,1.43,1.17
201404,1.79,1.53
201504,-2.77,-3.03
