Rhode Island, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.08,0.06
189601,.69,0.67
189701,-.47,-0.49
189801,2.19,2.17
189901,4.4,4.38
190001,.21,0.19
190101,-1.73,-1.75
190201,1.83,1.81
190301,.89,0.87
190401,-.39,-0.41
190501,-.57,-0.59
190601,.71,0.69
190701,-.28,-0.30
190801,2.01,1.99
190901,.17,0.15
191001,.71,0.69
191101,-1.72,-1.74
191201,.81,0.79
191301,.37,0.35
191401,-.46,-0.48
191501,1.8,1.78
191601,-.87,-0.89
191701,-1.54,-1.56
191801,-1.08,-1.10
191901,.37,0.35
192001,1.6,1.58
192101,-.88,-0.90
192201,-.97,-0.99
192301,2.2,2.18
192401,1.47,1.45
192501,-1.52,-1.54
192601,.72,0.70
192701,-.3,-0.32
192801,3.14,3.12
192901,.13,0.11
193001,-1.13,-1.15
193101,-2.74,-2.76
193201,-1.69,-1.71
193301,1.27,1.25
193401,-.52,-0.54
193501,.79,0.77
193601,1.14,1.12
193701,1.7,1.68
193801,.92,0.90
193901,2.05,2.03
194001,-1.67,-1.69
194101,-.65,-0.67
194201,-2.48,-2.50
194301,-.14,-0.16
194401,-2.78,-2.80
194501,-.41,-0.43
194601,-.13,-0.15
194701,-2.19,-2.21
194801,-.4,-0.42
194901,-.96,-0.98
195001,-3.79,-3.81
195101,-2.25,-2.27
195201,1.24,1.22
195301,.7,0.68
195401,.61,0.59
195501,-1.02,-1.04
195601,2.56,2.54
195701,-1.13,-1.15
195801,1.61,1.59
195901,-1.33,-1.35
196001,.56,0.54
196101,-.65,-0.67
196201,.36,0.34
196301,-.39,-0.41
196401,.42,0.40
196501,-2.67,-2.69
196601,-4.77,-4.79
196701,-3.26,-3.28
196801,-.17,-0.19
196901,-1.55,-1.57
197001,-.96,-0.98
197101,-1.03,-1.05
197201,-2.02,-2.04
197301,4.23,4.21
197401,2.69,2.67
197501,1.08,1.06
197601,2.89,2.87
197701,-.9,-0.92
197801,3.83,3.81
197901,2.89,2.87
198001,-1.44,-1.46
198101,-2.98,-3.00
198201,1.35,1.33
198301,.25,0.23
198401,2.08,2.06
198501,-2.52,-2.54
198601,-.2,-0.22
198701,2.78,2.76
198801,-1.74,-1.76
198901,-1.48,-1.50
199001,3.39,3.37
199101,-.39,-0.41
199201,-.27,-0.29
199301,1.94,1.92
199401,1.14,1.12
199501,-1.11,-1.13
199601,1.31,1.29
199701,3.06,3.04
199801,.85,0.83
199901,.98,0.96
200001,.44,0.42
200101,-.66,-0.68
200201,-2.81,-2.83
200301,.69,0.67
200401,-.8,-0.82
200501,1.62,1.60
200601,3.64,3.62
200701,2.85,2.83
200801,-2.39,-2.41
200901,2.42,2.40
201001,2.9,2.88
201101,1.04,1.02
201201,-.31,-0.33
201301,-.95,-0.97
201401,-1.53,-1.55
201501,-.05,-0.07
201601,-1.77,-1.79
