Alabama, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,.58,0.67
189606,-1.59,-1.50
189706,-3.12,-3.03
189806,-5.43,-5.34
189906,-2.25,-2.16
190006,3.03,3.12
190106,-.33,-0.24
190206,-2.7,-2.61
190306,1.46,1.55
190406,-3,-2.91
190506,-1.58,-1.49
190606,-1.58,-1.49
190706,1.63,1.72
190806,-.27,-0.18
190906,3.16,3.25
191006,1.14,1.23
191106,-2.49,-2.40
191206,2.64,2.73
191306,-.9,-0.81
191406,-4.3,-4.21
191506,-2.51,-2.42
191606,-2.07,-1.98
191706,-.88,-0.79
191806,-2.22,-2.13
191906,2.23,2.32
192006,3.26,3.35
192106,-2.01,-1.92
192206,-.11,-0.02
192306,1.9,1.99
192406,.67,0.76
192506,-4.03,-3.94
192606,.28,0.37
192706,-2,-1.91
192806,3.45,3.54
192906,3.29,3.38
193006,-2.66,-2.57
193106,-3.16,-3.07
193206,.5,0.59
193306,-1.16,-1.07
193406,.25,0.34
193506,-.6,-0.51
193606,-2.1,-2.01
193706,.55,0.64
193806,.82,0.91
193906,1.63,1.72
194006,.87,0.96
194106,-3.43,-3.34
194206,.38,0.47
194306,-.95,-0.86
194406,-1.15,-1.06
194506,-.45,-0.36
194606,2.36,2.45
194706,2.94,3.03
194806,-.95,-0.86
194906,2.54,2.63
195006,-1.59,-1.50
195106,-.8,-0.71
195206,-1.95,-1.86
195306,-1.1,-1.01
195406,-2.62,-2.53
195506,-2.53,-2.44
195606,-2.19,-2.10
195706,1.21,1.30
195806,.19,0.28
195906,.58,0.67
196006,-.68,-0.59
196106,2.8,2.89
196206,-1.18,-1.09
196306,-1.57,-1.48
196406,1.22,1.31
196506,-1.35,-1.26
196606,-.63,-0.54
196706,.58,0.67
196806,-1.77,-1.68
196906,-.56,-0.47
197006,.7,0.79
197106,1,1.09
197206,.46,0.55
197306,3.45,3.54
197406,1.7,1.79
197506,3.48,3.57
197606,3.56,3.65
197706,-1.6,-1.51
197806,1.56,1.65
197906,1.93,2.02
198006,-.26,-0.17
198106,-2.5,-2.41
198206,.69,0.78
198306,4.11,4.20
198406,.21,0.30
198506,-.08,0.01
198606,-3.07,-2.98
198706,-.72,-0.63
198806,-3.63,-3.54
198906,2.6,2.69
199006,-.38,-0.29
199106,2.67,2.76
199206,.51,0.60
199306,-.62,-0.53
199406,.96,1.05
199506,-.94,-0.85
199606,1.1,1.19
199706,2.8,2.89
199806,-1.42,-1.33
199906,1.45,1.54
200006,-3.6,-3.51
200106,1.77,1.86
200206,-1.68,-1.59
200306,3.75,3.84
200406,1.19,1.28
200506,2.17,2.26
200606,-2.39,-2.30
200706,-4.56,-4.47
200806,-3.29,-3.20
200906,1.31,1.40
201006,-.78,-0.69
201106,-2.99,-2.90
201206,-2.8,-2.71
201306,1.73,1.82
201406,2.56,2.65
201506,-.92,-0.83
