Arizona, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,1.67,1.65
189601,-.79,-0.81
189701,2.23,2.21
189801,-.22,-0.24
189901,-1.66,-1.68
190001,-3.7,-3.72
190101,-3.56,-3.58
190201,-3.69,-3.71
190301,-3.74,-3.76
190401,-3.53,-3.55
190501,.98,0.96
190601,5.75,5.73
190701,5.9,5.88
190801,2.86,2.84
190901,2.22,2.20
191001,.56,0.54
191101,.63,0.61
191201,-1.5,-1.52
191301,-.93,-0.95
191401,-.17,-0.19
191501,2.88,2.86
191601,5.74,5.72
191701,3.99,3.97
191801,.34,0.32
191901,.57,0.55
192001,4.04,4.02
192101,-1.16,-1.18
192201,1.56,1.54
192301,-1.08,-1.10
192401,-.36,-0.38
192501,-1.62,-1.64
192601,-.79,-0.81
192701,-.51,-0.53
192801,-.91,-0.93
192901,-1.98,-2.00
193001,-1,-1.02
193101,-.86,-0.88
193201,3.02,3.00
193301,1.15,1.13
193401,-1.4,-1.42
193501,.64,0.62
193601,-.8,-0.82
193701,1.03,1.01
193801,-1.73,-1.75
193901,-.99,-1.01
194001,-1.17,-1.19
194101,3.16,3.14
194201,-.33,-0.35
194301,-1.49,-1.51
194401,-.72,-0.74
194501,.6,0.58
194601,-.98,-1.00
194701,-.67,-0.69
194801,-2.45,-2.47
194901,1.68,1.66
195001,-.91,-0.93
195101,-3.63,-3.65
195201,1.85,1.83
195301,-.66,-0.68
195401,-2.15,-2.17
195501,-1.56,-1.58
195601,-2.23,-2.25
195701,.99,0.97
195801,-1.03,-1.05
195901,-1.7,-1.72
196001,1.9,1.88
196101,-1.38,-1.40
196201,1.04,1.02
196301,-1.53,-1.55
196401,-1.76,-1.78
196501,.25,0.23
196601,3.45,3.43
196701,-.63,-0.65
196801,1.4,1.38
196901,.23,0.21
197001,-1.06,-1.08
197101,-1.48,-1.50
197201,-.72,-0.74
197301,2.94,2.92
197401,-1.86,-1.88
197501,-2.09,-2.11
197601,-2.05,-2.07
197701,-.75,-0.77
197801,1.08,1.06
197901,6.06,6.04
198001,3.06,3.04
198101,-2.55,-2.57
198201,.24,0.22
198301,2.33,2.31
198401,-.46,-0.48
198501,3.56,3.54
198601,-1.19,-1.21
198701,.92,0.90
198801,1.15,1.13
198901,-.82,-0.84
199001,-4.06,-4.08
199101,.9,0.88
199201,.98,0.96
199301,6.42,6.40
199401,-1.16,-1.18
199501,2.03,2.01
199601,-2.92,-2.94
199701,-3.09,-3.11
199801,.12,0.10
199901,-1.46,-1.48
200001,-2.97,-2.99
200101,1.68,1.66
200201,-2.69,-2.71
200301,-4.68,-4.70
200401,-3.47,-3.49
200501,2.92,2.90
200601,-2.87,-2.89
200701,-3.03,-3.05
200801,-2.07,-2.09
200901,-1.43,-1.45
201001,1.59,1.57
201101,-1.39,-1.41
201201,-2.67,-2.69
201301,-2.82,-2.84
201401,-2.25,-2.27
201501,-1.78,-1.80
201601,0,-0.02
