Texas, Palmer Drought Severity Index (PDSI), June
Base Period: 1901-2000
Date,Value,Anomaly
189506,1.95,2.00
189606,-2.67,-2.62
189706,-1.64,-1.59
189806,-1.97,-1.92
189906,-1.84,-1.79
190006,2.92,2.97
190106,-3.6,-3.55
190206,-5.69,-5.64
190306,2.52,2.57
190406,-2.97,-2.92
190506,3.15,3.20
190606,1.43,1.48
190706,-1.74,-1.69
190806,2.89,2.94
190906,-3.94,-3.89
191006,-3.82,-3.77
191106,-4.49,-4.44
191206,-.11,-0.06
191306,-.55,-0.50
191406,4.49,4.54
191506,4.22,4.27
191606,-3.33,-3.28
191706,-5.69,-5.64
191806,-6.54,-6.49
191906,4.61,4.66
192006,4.81,4.86
192106,1.13,1.18
192206,2.31,2.36
192306,-.39,-0.34
192406,-.04,0.01
192506,-5.72,-5.67
192606,2.65,2.70
192706,-.83,-0.78
192806,-2.12,-2.07
192906,1.69,1.74
193006,-.46,-0.41
193106,2.92,2.97
193206,1.87,1.92
193306,-1.53,-1.48
193406,-2.64,-2.59
193506,2.35,2.40
193606,-.61,-0.56
193706,-1.23,-1.18
193806,1.31,1.36
193906,-2.54,-2.49
194006,.84,0.89
194106,6.13,6.18
194206,4.05,4.10
194306,-2.52,-2.47
194406,2.24,2.29
194506,1.99,2.04
194606,1.15,1.20
194706,1.84,1.89
194806,-1.4,-1.35
194906,2.12,2.17
195006,.92,0.97
195106,-3.19,-3.14
195206,-4.46,-4.41
195306,-3.75,-3.70
195406,-4.06,-4.01
195506,-5.1,-5.05
195606,-6.52,-6.47
195706,3.82,3.87
195806,3.79,3.84
195906,1.3,1.35
196006,1.12,1.17
196106,2.64,2.69
196206,-1.65,-1.60
196306,-3.71,-3.66
196406,-3.3,-3.25
196506,-.9,-0.85
196606,1.11,1.16
196706,-4.68,-4.63
196806,3.81,3.86
196906,3.39,3.44
197006,-.04,0.01
197106,-4.88,-4.83
197206,-.17,-0.12
197306,3.11,3.16
197406,-2.28,-2.23
197506,4.16,4.21
197606,.12,0.17
197706,-.25,-0.20
197806,-3.05,-3.00
197906,3.07,3.12
198006,-1.21,-1.16
198106,1.52,1.57
198206,1.39,1.44
198306,1.73,1.78
198406,-2.37,-2.32
198506,2.56,2.61
198606,.97,1.02
198706,4.89,4.94
198806,-1.37,-1.32
198906,-.82,-0.77
199006,-.55,-0.50
199106,.99,1.04
199206,6.13,6.18
199306,4.72,4.77
199406,-.84,-0.79
199506,2.4,2.45
199606,-4.78,-4.73
199706,4.09,4.14
199806,-2.98,-2.93
199906,1.62,1.67
200006,-3.47,-3.42
200106,-.94,-0.89
200206,-1.86,-1.81
200306,-1.17,-1.12
200406,2.29,2.34
200506,-1.09,-1.04
200606,-5.57,-5.52
200706,4.22,4.27
200806,-3.07,-3.02
200906,-4.73,-4.68
201006,2.13,2.18
201106,-6.56,-6.51
201206,-4.15,-4.10
201306,-4.85,-4.80
201406,-3.15,-3.10
201506,5.14,5.19
