West Virginia, Palmer Drought Severity Index (PDSI), January
Base Period: 1901-2000
Date,Value,Anomaly
189501,.78,0.54
189601,-4.47,-4.71
189701,-1.34,-1.58
189801,1.37,1.13
189901,1.51,1.27
190001,-2.92,-3.16
190101,-3.19,-3.43
190201,2.22,1.98
190301,.85,0.61
190401,-2.12,-2.36
190501,-3.77,-4.01
190601,1.34,1.10
190701,2.48,2.24
190801,3.71,3.47
190901,.01,-0.23
191001,1.21,0.97
191101,1.4,1.16
191201,1.73,1.49
191301,2.03,1.79
191401,1.6,1.36
191501,1.8,1.56
191601,2.46,2.22
191701,2.06,1.82
191801,1.42,1.18
191901,1.5,1.26
192001,3.24,3.00
192101,-.73,-0.97
192201,1.98,1.74
192301,1.31,1.07
192401,1.43,1.19
192501,-.72,-0.96
192601,1.31,1.07
192701,3.54,3.30
192801,2.12,1.88
192901,-.54,-0.78
193001,-.9,-1.14
193101,-7.89,-8.13
193201,.48,0.24
193301,.87,0.63
193401,-1,-1.24
193501,.74,0.50
193601,2.8,2.56
193701,2.41,2.17
193801,-.85,-1.09
193901,.17,-0.07
194001,-3.49,-3.73
194101,-.88,-1.12
194201,-2.81,-3.05
194301,3.13,2.89
194401,-2.37,-2.61
194501,.61,0.37
194601,-.44,-0.68
194701,-2.11,-2.35
194801,-2.6,-2.84
194901,2.94,2.70
195001,2.01,1.77
195101,3.1,2.86
195201,1.9,1.66
195301,-1.79,-2.03
195401,-4.78,-5.02
195501,1.58,1.34
195601,-3.3,-3.54
195701,2.82,2.58
195801,.48,0.24
195901,-1.14,-1.38
196001,-1.77,-2.01
196101,-2.08,-2.32
196201,1.77,1.53
196301,-.63,-0.87
196401,-2.35,-2.59
196501,.62,0.38
196601,-4.36,-4.60
196701,-1.01,-1.25
196801,-.32,-0.56
196901,-1.78,-2.02
197001,-.79,-1.03
197101,.75,0.51
197201,.62,0.38
197301,3.34,3.10
197401,2.75,2.51
197501,1.89,1.65
197601,.29,0.05
197701,-1.19,-1.43
197801,2.26,2.02
197901,2.92,2.68
198001,2.91,2.67
198101,-1.68,-1.92
198201,.15,-0.09
198301,-1.14,-1.38
198401,.79,0.55
198501,-.27,-0.51
198601,-1.03,-1.27
198701,.01,-0.23
198801,-2.67,-2.91
198901,-.48,-0.72
199001,2.77,2.53
199101,2.92,2.68
199201,-.53,-0.77
199301,-.88,-1.12
199401,2.44,2.20
199501,-.66,-0.90
199601,1.49,1.25
199701,3.8,3.56
199801,1.49,1.25
199901,-2.93,-3.17
200001,-4.35,-4.59
200101,-1.58,-1.82
200201,-2.65,-2.89
200301,.9,0.66
200401,4.99,4.75
200501,4.09,3.85
200601,-1.47,-1.71
200701,-.65,-0.89
200801,.44,0.20
200901,1.42,1.18
201001,1.64,1.40
201101,-1.95,-2.19
201201,-.14,-0.38
201301,1.55,1.31
201401,1.67,1.43
201501,.25,0.01
