New Hampshire, Palmer Drought Severity Index (PDSI), December
Base Period: 1901-2000
Date,Value,Anomaly
189512,1.09,1.45
189612,-1.11,-0.75
189712,2.44,2.80
189812,1.35,1.71
189912,-3.45,-3.09
190012,-1.47,-1.11
190112,1.37,1.73
190212,2.63,2.99
190312,-1.59,-1.23
190412,-1.65,-1.29
190512,-.84,-0.48
190612,-1.46,-1.10
190712,2.15,2.51
190812,-4.03,-3.67
190912,-3.02,-2.66
191012,-3.35,-2.99
191112,-.43,-0.07
191212,-.69,-0.33
191312,-2.17,-1.81
191412,-3.75,-3.39
191512,-.96,-0.60
191612,-.89,-0.53
191712,-1.2,-0.84
191812,-.7,-0.34
191912,-.84,-0.48
192012,2.49,2.85
192112,-1.96,-1.60
192212,-1.93,-1.57
192312,-1.33,-0.97
192412,-1.63,-1.27
192512,-.54,-0.18
192612,-.43,-0.07
192712,3.37,3.73
192812,-1.43,-1.07
192912,-2.41,-2.05
193012,-3,-2.64
193112,-1.46,-1.10
193212,-.83,-0.47
193312,-.58,-0.22
193412,.4,0.76
193512,-1.27,-0.91
193612,1.07,1.43
193712,1.57,1.93
193812,2.65,3.01
193912,-2.14,-1.78
194012,-.04,0.32
194112,-3.27,-2.91
194212,-.98,-0.62
194312,-1.12,-0.76
194412,.13,0.49
194512,2.08,2.44
194612,-.57,-0.21
194712,-2.74,-2.38
194812,-2.62,-2.26
194912,-3.84,-3.48
195012,.57,0.93
195112,2.5,2.86
195212,.86,1.22
195312,.2,0.56
195412,3.83,4.19
195512,-1.07,-0.71
195612,-.67,-0.31
195712,1.09,1.45
195812,-1.18,-0.82
195912,2.04,2.40
196012,-.95,-0.59
196112,-2.12,-1.76
196212,-.09,0.27
196312,-2.42,-2.06
196412,-3.56,-3.20
196512,-3.67,-3.31
196612,-1.92,-1.56
196712,-.9,-0.54
196812,1.6,1.96
196912,3.31,3.67
197012,-1.1,-0.74
197112,-1.39,-1.03
197212,2.75,3.11
197312,3.32,3.68
197412,.36,0.72
197512,2.33,2.69
197612,-1.01,-0.65
197712,2.33,2.69
197812,-2.53,-2.17
197912,-.98,-0.62
198012,-2.39,-2.03
198112,2.55,2.91
198212,-2.21,-1.85
198312,2.51,2.87
198412,-1.83,-1.47
198512,.3,0.66
198612,1.59,1.95
198712,-.97,-0.61
198812,-.92,-0.56
198912,1.29,1.65
199012,3.3,3.66
199112,-.1,0.26
199212,-.47,-0.11
199312,.33,0.69
199412,-1.1,-0.74
199512,1.77,2.13
199612,3.97,4.33
199712,1.12,1.48
199812,-1.62,-1.26
199912,-1.25,-0.89
200012,-.01,0.35
200112,-4.11,-3.75
200212,-1.72,-1.36
200312,3.15,3.51
200412,1.45,1.81
200512,5,5.36
200612,4.89,5.25
200712,2.5,2.86
200812,5.47,5.83
200912,4.02,4.38
201012,1.71,2.07
201112,-.18,0.18
201212,.71,1.07
201312,1.19,1.55
201412,1.96,2.32
201512,1.1,1.46
